Question,A,B,C,D,Answer,Grade
Thể loại mà nhà văn Mĩ O. Hen-ri chuyên viết là gì?,Truyện dài,Truyện ngắn,Truyện ngụ ngôn,Tiểu thuyết,D,Ngữ văn 8
Vì sao Giôn-xi tin rằng khi chiếc lá cuối cùng rụng xuống thì cô cũng vĩnh viễn rời xa cõi đời này?,Vì Giôn-xi bị ốm nặng và vô phương cứu chữa,Vì Giôn-xi không còn niềm tin vào cuộc sống.,Vì Giôn-xi là người rất mê tín.,Vì Giôn-xi và chiếc lá có mối quan hệ mật thiết với nhau,A,Ngữ văn 8
Ý nghĩ nào đã xuất hiện trong đầu cụ Bơ-men khi cụ cùng Xiu lên gác trong đêm hôm trước?,Tìm một bác sĩ để chữa bệnh cho Giôn-xi,Tại sao không vẽ một chiếc lá thường xuân bất tử để cứu cô gái?,Đưa Giôn-xi đến một nơi khác để chữa bệnh,Đưa Giôn-xi về nhà để em không còn thấy chiếc lá.,A,Ngữ văn 8
Tại sao chiếc lá trên cây thường xuân không bao giờ rụng nữa?,Vì chiếc lá đó chưa đến lúc rụng xuống.,Vì chiếc lá đó đã được cụ Bơ-men buộc chặt trên cây.,"Vì đó là kiệt tác do cụ Bơ-men tạo ra, những chiếc lá thật đã rụng hết.",Vì chiếc lá hiểu tâm trạng của Giôn-xi.,A,Ngữ văn 8
"Vì sao trong đoạn trích, tác giả không kể lại chi tiết cụ Bơ-men vẽ chiếc lá?",Vì đó không phải là nội dung chính của tác phẩm.,Vì tác giả muốn người đọc tự phát hiện và cảm nhận.,Vị tác giả muốn tạo sự bất ngờ cho người đọc.,Vì tác giả cảm thấy không cần thiết.,A,Ngữ văn 8
"Đọi, trốc, nác, cươi, bữa diếp thuộc loại nào trong các đáp án?",Từ toàn dân,Từ địa phương miền Bắc,Từ địa phương miền Trung,Từ địa phương miền Nam,A,Ngữ văn 8
Cà rem thuộc loại nào trong các đáp án?,Từ toàn dân,Từ địa phương miền Bắc,Từ địa phương miền Trung,Từ địa phương miền Nam,A,Ngữ văn 8
Lộ chao cẳng mô ri eng thuộc loại nào trong các đáp án?,Từ toàn dân,Từ địa phương miền Bắc,Từ địa phương miền Trung,Từ địa phương miền Nam,A,Ngữ văn 8
Đoạn thơ sau sử dụng những từ ngữ địa phương của vùng nào?,Bắc Bộ,Trung Bộ,Tây Nguyên,Nam Bộ,D,Ngữ văn 8
Chà bông là từ ngữ địa phương của vùng nào?,Bắc Bộ,Trung Bộ,Tây Nguyên,Nam Bộ,B,Ngữ văn 8
Các từ in đậm trong đoạn thơ là từ ngữ ở vùng nào là chủ yếu?,Miền Bắc,Miền Trung,Miền Nam,Đây là từ ngữ toàn dâm,A,Ngữ văn 8
Từ “dằm thượng” ở ví dụ trên có nghĩa là gì?,Túi áo trên,"Vật nhọn, nhỏ được làm bằng thân cây tre","Vật nhọn, nhỏ được làm bằng kim loại để cài áo","Cả A, B, C đều sai",D,Ngữ văn 8
"Cho đoạn văn sau: Bởi tôi ăn uống điều độ và làm việc có chừng mực nên tôi chóng lớn lắm. Chẳng bao lâu tôi đã trở thành một chàng dế thanh niên cường tráng. Ðôi càng tôi mẫm bóng. Những cái vuốt ở chân, ở khoeo cứ cứng dần và nhọn hoắt. Thỉnh thoảng, muốn thử sự lợi hại của những chiếc vuốt, tôi co cẳng lên, đạp phanh phách vào các ngọn cỏ. Những ngọn cỏ gãy rạp, y như có nhát dao vừa lia qua. Ðôi cánh tôi, trước kia ngắn hủn hoẳn bây giờ thành cái áo dài kín xuống tận chấm đuôi. Mỗi khi tôi vũ lên, đã nghe tiếng phành phạch giòn giã.",Vuốt,Vũ,Vuột,Khoeo,A,Ngữ văn 8
Từ địa phương 'tía' của Nam Bộ có nghĩa toàn dân là gì ?,Lá tía tô,Bố,Màu đỏ,Quả na,B,Ngữ văn 8
"Có thể thay thế từ ""bây chừ"" trong đoạn thơ sau bằng từ nào?",Ngày nay.,Bây giờ.,Bấy giờ.,Hôm qua.,B,Ngữ văn 8
Từ “u” trong câu: “U nó không được thế!” thuộc từ gì?,Biệt ngữ xã hội,Từ địa phương,Từ mượn,Từ toàn dân,B,Ngữ văn 8
Những mặt khác biệt trong tiếng nói của mỗi địa phương thể hiện ở phương diện nào?,"Ngữ âm, từ vựng, ngữ pháp.","Ngữ pháp, từ vựng.","Ngữ âm, từ vựng.","Ngữ âm, ngữ pháp.",A,Ngữ văn 8
Đoạn thơ sau có mấy từ địa phương?,Hai từ,Ba từ,Bốn từ,Không có từ địa phương,B,Ngữ văn 8
"Từ địa phương ""Mãng cầu"" của Nam Bộ có nghĩa toàn dân là gì ?",Qủa măng cụt,Qủa cầu,Qủa xoài,Quả na,A,Ngữ văn 8
Khi sử dụng từ ngữ địa phương cần chú ý điều gì ?,"Không nên quá lạm dụng từ ngữ địa phương, biệt ngữ xã hội",Tùy hoàn cảnh và đối tượng giao tiếp mà sử dụng từ ngữ địa phương hoặc biệt ngữ xã hội cho phù hợp,Không phải từ nào đối tượng giao tiếp cũng có thể hiểu được từ ngữ địa phương hoặc biệt ngữ xã hội,"Cả A, B, C là đúng",D,Ngữ văn 8
"Từ ngữ nào đồng nghĩa với các từ má, u, bầm...",Mẹ,Bố,Ông,Bà,A,Ngữ văn 8
"Tại sao trong đoạn văn này, có chỗ tác giả dùng từ mẹ, có chỗ lại dùng từ mợ?",Mẹ và mợ là hai từ đồng nghĩa,"Vì trước Cách mạng tháng Tám 1945, tầng lớp thị dân tư sản thời Pháp thuộc gọi mẹ là mợ","Dùng mẹ vì đó là lời kể của tác giả với đối tượng là độc giả, dùng mợ vì đó là lời đáp của chú bé Hồng khi đối thoại với người cô, giữa họ cùng một tầng lớp xã hội","Cả A, B, C là đúng",C,Ngữ văn 8
"Khi con tu hú gọi bầy Lúa chiêm dang chín, trái cây ngọt dần Vườn râm dậy tiếng ve ngân Bắp rây vàng hạt, dầy sân nắng đào. (Tố Hữu, Khi con tu hú) Từ bắp có thể được thay thế bằng từ ngữ toàn dân nào khác?",Ngô,Sắn,Lúa mì,Khoai,A,Ngữ văn 8
Dòng nào ghi đầy đủ những hoạt động của lũ trẻ vào năm học cuối cùng trước khi nghỉ hè với hai cây phong trong đoạn trích Hai cây phong?,"Reo hò, chạy lên đồi, chơi bịt mắt bắt dê và trốn tìm dưới bóng râm mát rượi.","Reo hò, huýt còi ầm ĩ chạy lên đồi, công kênh nhau trèo lên cây, thi xem ai can đảm và khéo léo hơn.","Reo hò, huýt còi ầm ĩ chạy lên đồi, hái hoa, bắt bướm dưới tán lá xào xạc, dịu hiền.","Reo hò, nhảy múa và thi hát những bài ca về quê hương giàu đẹp dưới gốc cây.",B,Ngữ văn 8
Dòng nào nói lên sự đánh giá của người kể chuyện về những miền đất mở ra trước mắt người kể chuyện cùng bọn trẻ trong đoạn trích Hai cây phong?,"Rộng bao la, có một vẻ sinh động khác thường.","Đẹp đẽ vô ngần, rộng bao la, bí ẩn, đầy sức quyến rũ.","Rộng bao la, bí ẩn, đầy sức quyến rũ.","Rộng lớn nhất thế gian, bí ẩn, đầy sức quyến rũ.",B,Ngữ văn 8
"Trong đoạn trích Hai cây phong, hai cây phong khác cây khác trong làng ở đặc điểm nào?","Chúng không cần người ta chăm sóc, tưới tắm vẫn vươn cao kiêu hãnh.","Chúng có tiếng nói riêng, có một tâm hồn riêng, chan chứa những lời ca êm dịu.",Chúng là loài cây quý hiếm nhất trong vùng.,Chúng mọc ở trên đồi cao phía trên làng và vô cùng xanh tốt.,A,Ngữ văn 8
Nhà văn Ai-ma-tốp là người nước nào?,Nga,Bồ Đào Nha,Cư-rơ-gư-xtan,Phần Lan,A,Ngữ văn 8
Đâu không phải là sáng tác của nhà văn Ai-ma-tốp?,Cây phong non trùm khăn đỏ,Cô bé trùm khăn đỏ,Người thầy đầu tiên,Con tàu trắng,C,Ngữ văn 8
"Trong hai mạch kể của văn bản, mạch kể nào quan trọng hơn?",Mạch kể của người kể chuyện xưng “tôi”,Mạch kể của người kể chuyện xưng “chúng ta”,Mạch kể của người kể chuyện xưng “ta”,Mạch kể của người kể chuyện xưng “chúng tôi”,A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, hình ảnh hai cây phong lúc hiện ra trước mắt mọi người được tác giả so sánh với hình ảnh nào?",Như những đốm lửa vô hình.,Những ngọn hải đăng đặt trên núi.,Hai người khổng lồ.,Như một làn sóng thuỷ triều dâng lên vỗ vào bãi cát.,A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, bọn trẻ ngồi nép mình trên cành cây và suy nghĩ điều gì?",Không suy nghĩ về điều gì cả.,Đấy đã phải là nơi tận cùng thế giới chưa hay phía sau vẫn còn có một thế giới khác.,Đến bao giờ thì chúng có thể đi đến những dòng sông lấp lánh tận chân trời như những sợi chỉ bạ mỏng manh.,"Sau khi rời nhà trường, chúng sẽ được đi học trên đường huyện khang trang và đẹp đẽ hơn.",B,Ngữ văn 8
Văn bản Hai cây phong được trích từ tác phẩm nào?,Truyện ngắn Con tàu trắng,Truyện ngắn Cây phong non trùm khăn đỏ,Truyện Người thầy đầu tiên,"Cả A, B, C đều sai",B,Ngữ văn 8
"Trong Hai cây phong, người kể chuyện giới thiệu mình làm nghề gì?",Nhà báo,Hoạ sĩ,Nhạc sĩ,Nhà văn,A,Ngữ văn 8
"Trong mạch kể của người kể chuyện xưng “chúng tôi”, các sự việc được kể và tả lại ứng với khoảng thời gian nào trong cuộc đời của người kể chuyện?",Trong một lần người kể chuyện đi công tác xa trở về,"Vào năm học cuối cùng, trước khi bắt đầu nghỉ hè",Khi người kể chuyện đi xe lửa qua làng,Khi người kể chuyện từ trường học trở về làng Ku – ku – rêu.,A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, điều bí ẩn của hai cây phong mà tác giả khám phá ra là gì?","Đó là hai cây phong không bình thường, có lai lịch rất huyền bí.",Từng có người chiến sĩ hi sinh cho sự nghiệp chống giặc bảo vệ quê hương dưới gốc cây.,Dưới gốc hai cây phong có chôn mảnh vỡ của chiếc gương thần xanh.,Chẳng qua chúng đứng trên đồi cao lộng gió nên đáp lại bất kì chuyển động khẽ nào của không khí.,A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, khi mây đen kéo đến cùng với bão dông xô gãy cành, tỉa trụi lá, hai cây phong được ví với hình ảnh nào?",Như một đốm lửa vô hình.,Những ngọn hải đăng trên núi.,Như một làn sóng thuỷ triều.,Như một ngọn lửa bốc cháy rừng rực.,A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, làng Ku-ku-rêu nằm ở vị trí nào?",A. Trên lưng chừng vách núi của rặng núi Đen.,"B. Giữa thung lũng đất vàng, đồng cỏ mênh mông.",C. Trên bãi sông đất mỡ màng do phù sa bồi đắp.,"D. Ven chân núi, trên một cao nguyên rộng.",A,Ngữ văn 8
Nhận xét nào nói đúng nhất nguyên nhân khiến hai cây phong chiếm vị trí quan trọng và gây xúc động sâu sắc cho người kể chuyện?,Hai cây phong gắn bó với những kỉ niệm xa xưa của tuổi học trò của người kể chuyện,Hai cây phong là nhân chứng hết sức xúc động về thầy Đuy – sen và cô bé An-tư-nai gần bốn chục năm về trước,Hai cây phong là dấu hiệu để người kể chuyện nhận ra ngôi làng Ku – ru – rêu của mình mỗi lần đi xa về,Kết hợp A và B,B,Ngữ văn 8
Nội dung văn bản có thể chia thành mấy phần?,3,4,5,2,B,Ngữ văn 8
Hình ảnh cây phong biểu tượng cho điều gì?,Là tín hiệu của làng,Là biểu tượng của quê hương.,thể hiện niềm tự hào của dân làng Ku-ku-rêu về hai cây phong.,Tất cả đều đúng,D,Ngữ văn 8
Hình ảnh cây phong lúc hiện ra trước mắt mọi người được tác giả so sánh với hình ảnh nào ?,Như hai người khổng lồ,Như những đốm lửa vô hình,Như những ngọn hải đăng trên núi,Như một làn sóng thuỷ triều dâng lên vỗ vào bãi cát,A,Ngữ văn 8
"Từ láy nào sau đây không được dùng để miêu tả vẻ đẹp, thần sắc của hai cây phong?",thì thầm,thì thào,rì rào,xào xạc,D,Ngữ văn 8
Tác phẩm nào sau đây không phải là của nhà văn Ai-ma-tốp?,Người thầy đầu tiên,Đôn Ki-hô-tê,Cây phong non trùm khăn đỏ,Con tàu trắng,A,Ngữ văn 8
Đoạn trích trên của tác giả Ai-ma-tốp được viết trong hoàn cảnh nào?,Tác giả sinh sống ở làng và kể lại chuyện làng mình.,Tác giả kể lại câu chuyện do người khác nói lại.,Tác giả nhìn thấy hai cây phong và nhớ lại khoảng thời gian khi tác giả còn cắp sách đến trưởng.,"Tác giả là một nhân vật trong truyện, nhân vật ấy hồi tưởng lại quá khứ với biết bao kỷ niệm thời tuổi thơ trong đó có ngôi trường dấu yêu.",D,Ngữ văn 8
"Tác giả đã sử dụng biện pháp tu từ nào trong câu văn: “Cứ mỗi lần chúng tôi reo hò, huýt còi ầm ĩ chạy lên đồi là hai cây phong khổng lồ lại nghiêng ngả đung đưa như muốn chào mời chúng tôi đến với bóng râm mát rợi và tiếng lá xào xạc dịu hiền”?",Hoán dụ,Nhân hóa,Ẩn dụ,So sánh,A,Ngữ văn 8
"Nội dung của đoạn văn sau là gì? Làng Ku-ku-rêu chúng tôi nằm ven chân núi, trên một cao nguyên rộng có những khe nước ào ào từ nhiều ngách đổ xuống. Phía dưới làng tôi là thung lũng Đất vàng, là cánh thảo nguyên Ca-dắc-xtan mênh mông nằm giữa các nhánh của rặng núi Đen và con đường sắt làm thành một dải thẫm màu băng qua đồng bằng chạy tít đến tận chân trời phía tây. (Hai cây phong)",Miêu tả vị trí và quang cảnh ngôi làng Ku-ku-rêu.,Kể về những địa danh nổi tiếng xung quanh làng Ku-ku-rêu.,Miêu tả vẻ đẹp độc đáo mà chỉ làng Ku-ku-rêu mới có.,"Cả (1), (2), (3) đều sai.",A,Ngữ văn 8
"Trong câu văn: ""Cứ mỗi lần chúng tôi reo hò, huýt còi ầm ĩ chạy lên đồi là hai cây phong khổng lồ lại nghiêng ngả đung đưa như muốn chào mời chúng tôi đến với bóng râm mát rượi và tiếng lá xào xạc dịu hiền"" (Hai cây phong), hai cây phong được miêu tả giống như con người. Những từ ngữ nói lên điều đó?","A. chào mời, dịu hiền.","B. chạy, nghiêng ngả, đung đưa.","C. reo hò, huýt còi ầm ĩ.","D. mát rượi, xào xạc.",A,Ngữ văn 8
"Trong đoạn trích Hai cây phong, vì sao quả đồi có hai cây phong được người làng Ku-ku-rêu gọi là trường Đuy-sen?",Vì để kỉ niệm người anh hùng đã hi sinh cho sự nghiệp cách mạng.,"Vì Đuy-sen là vị chủ tịch của nông trang, người có nhiều đóng góp cho việc xây dựng trường.",Vì thầy giáo Đuy-sen đã mở trường học trên đồi và trồng hai cây phong ở đó.,Vì một sự ngẫu nhiên.,C,Ngữ văn 8
Đặc điểm nào ở hai cây phong đã để lại trong tác giả nhiều ấn tượng nhất?,Hai cây phong có vẻ đẹp không gì so sánh được.,Hai cây phong có tiếng nói và tâm hồn.,Hai cây phong gắn liền với tuổi thơ của tác giả và nó như một mảnh vỡ của chiếc gương thần xanh.,Hai cây phong là biểu tượng của làng quê.,C,Ngữ văn 8
Cái cô đơn nhất trong khắp thế gian là một tâm hồn đang chuẩn bị sẵn sàng cho chuyến đi xa xôi bí ẩn của mình. sử dụng biện pháp tu từ gì?,Chơi chữ,Ẩn dụ,Nói quá,"Nói giảm, nói tránh",B,Ngữ văn 8
Các ý chính của bài văn tự sự kết hợp với miêu tả và biểu cảm là gì?,Là cảm xúc của người viết.,Là diễn biến nội tâm của các nhân vật.,Chủ yếu vẫn là các sự việc chính.,Là những suy nghĩ của các nhân vật.,C,Ngữ văn 8
Yếu tố nòng cốt của văn tự sự là gì?,Sự việc,Nhân vật,Cả A và B đều đúng.,Cả A và B đều sai.,C,Ngữ văn 8
Câu nào thuộc trong phần Mở bài để có dàn ý của truyện Lão Hạc?,"A. 1, 3","B. 1, 5","C. 5, 1","D. 3, 1",A,Ngữ văn 8
Câu nào thuộc trong phần Kết bài để có dàn ý của truyện Lão Hạc?,A. 8,B. 9,"C. 8, 9","D. 9, 8",C,Ngữ văn 8
Xác định quy trình để viết một đoạn văn tự sự có sử dụng các yếu tố miêu tả và biểu cảm,"Lựa chọn ngôi kể, Xác định thứ tự kể, Lựa chọn sự việc chính, Xác định các yếu tố miêu tả và biểu cảm dùng trong đoạn văn tự sự sẽ viết, Viết thành đoạn văn kể chuyện, kết hợp các yếu tố miêu tả và biểu cảm sao cho hợp lí","Xác định thứ tự kể, Lựa chọn ngôi kể, Xác định các yếu tố miêu tả và biểu cảm dùng trong đoạn văn tự sự sẽ viết, Lựa chọn sự việc chính, Viết thành đoạn văn kể chuyện, kết hợp các yếu tố miêu tả và biểu cảm sao cho hợp lí","Lựa chọn sự việc chính, Lựa chọn ngôi kể, Xác định thứ tự kể, Xác định các yếu tố miêu tả và biểu cảm dùng trong đoạn văn tự sự sẽ viết, Viết thành đoạn văn kể chuyện, kết hợp các yếu tố miêu tả và biểu cảm sao cho hợp lí","Lựa chọn ngôi kể, Xác định thứ tự kể, Xác định các yếu tố miêu tả và biểu cảm dùng trong đoạn văn tự sự sẽ viết, Lựa chọn sự việc chính, Viết thành đoạn văn kể chuyện, kết hợp các yếu tố miêu tả và biểu cảm sao cho hợp lí",A,Ngữ văn 8
Hãy sắp xếp lại các câu sau theo một thứ tự hợp lí để được dàn ý phần Thân bài của đoạn trích Trong lòng mẹ của Nguyên Hồng.,"A. 5, 2, 4, 3, 1","B. 5, 2, 1, 3, 4","C. 2, 5, 4, 1, 3","D. 5, 2, 4, 1, 3",D,Ngữ văn 8
Dàn ý của bài văn tự sự gồm mấy phần,1,2,3,4,B,Ngữ văn 8
Bài văn trên có thể chia làm mấy phần,1,2,3,4,C,Ngữ văn 8
Ai là người kể chuyện.? ,"Trang, ngôi kể thứ nhất","Trinh, ngôi kể thứ nhất","Trang, ngôi kể thứ ba","Trinh,  ngôi kể thứ ba",B,Ngữ văn 8
Yếu tố nòng cốt của văn tự sự là gì?,Sự việc,Nhân vật,"A, B đều đúng.","A, B đều sai.",A,Ngữ văn 8
Phần kết bài nên viết về nội dung gì?,"Những sự việc, chi tiết chính theo diễn biến câu chuyện.",Liệt kê những điểm nổi bật của câu chuyện.,"Nêu nhận xét, đánh giá về tác giả.","Nêu cảm nghĩa của nhân vật, hoặc một chi tiết thật đặc sắc, ý nghĩa.",D,Ngữ văn 8
Thế nào là lập dàn ý bài văn tự sự?,"Là nêu rõ những nội dung chính cho câu chuyện mà mình sẽ viết, sẽ kể.",Là phân tích nội dung chi tiết cho từng phần phân tích của mình.,Là việc tóm tắt lại nội dung chính của một tác phẩm.,Là bày tỏ quan điểm cá nhân về một chi tiết trong tác phẩm.,A,Ngữ văn 8
Dàn ý sau phù hợp với đề bài nào?,"A. Sau cái đêm ấy, chị Dậu gặp một cán bộ cách mạng và được giác ngộ. Trong cuộc Tổng khởi nghĩa thang Tám 1945, chị Dậu dẫn đầu đoàn nông dân lên cướp chính quyền huyện, phá kho thóc Nhật chia cho dân nghèo.","B. Cuộc kháng chiến chống thực dân Pháp nổ ra. Tuy sống trong vùng địch hậu, chị Dậu vẫn bí mật nuôi giấu cán bộ, nhiều lần đậy nắp hầm bem cho cán bộ.","C. Chị Dậu chân yếu tay mềm đã không thể chống lại với thời thế, dành nhắm mắt mặc kệ số phận nổi trôi. Bầu trời ngoài kia xám đen như chính tương lai phía trước của chị.",D. Chị Dậu vùng lên nhưng lại nhận được cái kết bi thảm. Đến cái sinh mạng của mình chị cũng chẳng giữ được nữa rồi.,A,Ngữ văn 8
"Với đề bài: Con chim vàng anh bị nhốt trong lồng tự kể chuyện mình, ý nào sau đây không phù hợp?",Cuộc sống tự do của con chim vàng anh khi chưa bị nhốt,Cuộc sống và tâm tư của con chim vàng anh khi bị nhốt.,Tưởng tượng về tương lai,Lựa chọn ngôi kể là ngôi thứ ba,A,Ngữ văn 8
Theo mô hình cấu trúc truyền thống của tác phẩm tự sự (trình bày – khai đoan – phát triển – đỉnh điểm – kết thúc) thì khai đoan nằm ở phần nào?,Mở bài,Thân bài,Kết bài,Có thể cả ở mở bài và thân bài,D,Ngữ văn 8
"Khi viết về câu chuyện: Một học sinh tốt, phạm phải sai lầm nhưng đã kịp thời tỉnh ngộ và vươn lên thì ý nào sau đây không phải là ý chính của câu chuyện?",Những đức tính tốt đẹp của học sinh.,"Bị kẻ xấu lôi kéo, phạm sai lầm.","Những tâm tư đau khổ, dằn vặt.",Cuộc đấu tranh vươn lên.,B,Ngữ văn 8
Câu 5: Những câu nào có chứa yếu tố miêu tả?,"A. Câu (1), (3), (4), (9), (10), (12), (13)","B. Câu (1), (3), (4), (9), (10), (12), (14)","C. Câu (1), (2), (3), (4), (9), (10), (12)","D. Câu (3), (9), (10)",A,Ngữ văn 8
Sắp xếp các ý sau theo thứ tự hợp lí về quá trình lập ý cho bài tự sự:,1 – 4 – 3 – 2,1 – 2 – 3 – 4,3 – 4 – 1 – 2,4 – 3 – 1 – 2,B,Ngữ văn 8
Nhận xét nào nói đúng nhất tác dụng của biện pháp nói quá trong hai câu thơ sau?,Nhấn mạnh tình thương yêu bao la của Bác Hồ,Nhấn mạnh sự tài trí tuyệt vời của Bác Hồ.,Nhấn mạnh sự dũng cảm của Bác Hồ.,Nhấn mạnh sự hiểu biết rộng của Bác Hồ.,A,Ngữ văn 8
"Trong các câu sau, câu nào không sử dụng phép nói quá?",Cưới nàng anh toan dẫn voi - Anh sợ quốc cấm nên voi không bàn...,Người ta là hoa của đất.,Thuận vợ thuận chồng tát biển Đông cũng cạn.,"Đồn rằng bác mẹ anh hiền - Cắn hạt cơm không vỡ, cắn đồng tiền vỡ tư.",B,Ngữ văn 8
"Thành ngữ, tục ngữ nào có sử dụng biện pháp nói quá?",Ăn cây táo rào cây sung,Ăn to nói lớn,Ăn quả nhớ kẻ trồng cây,"Ăn như rồng cuốn, nói như rồng leo",B,Ngữ văn 8
"Cho các ví dụ sau: chân cứng đá mềm, đen như cột nhà cháy, dời non lấp biển, ngàn cân treo sợi tóc, xanh như tàu lá, gầy như que củi, long trời lở đất... Nhận xét nào sau đây nói đúng nhất về các ví dụ trên?",Là các câu thành ngữ có sử dụng biện pháp nói quá.,Là các câu tục ngữ có sử dụng biện pháp so sánh.,Là các câu thành ngữ dùng biện pháp so sánh.,Là các câu tục ngữ có sử dụng biện pháp nói quá.,B,Ngữ văn 8
Nói quá là gì?,"Là phương tiện tu từ làm giảm nhẹ, làm yếu đi một đặc trưng tích cực nào đó của một đối tượng được nói đến.","Là cách thức xếp đặt để đối chiếu hai sự vật, hiện tượng có mối liên hệ giống nhau.","Là một biện pháp tu từ phóng đại mức độ, quy mô, tính chất của sự vật, hiện tượng.",Là một phương thức chuyển tên gọi từ một vật này sang một vật khác.,A,Ngữ văn 8
Khi sử dụng biện pháp tu từ nói quá cần chú ý điều gì?,Đối tượng giao tiếp,Hoàn cảnh giao tiếp,Tình huống giao tiếp,Cả 3 ý trên,D,Ngữ văn 8
Biện pháp nói quá ít được dùng trong văn bản nào?,Văn bản tự sự,Văn bản miêu tả,"Văn bản hành chính, khoa học",Văn bản biểu cảm,C,Ngữ văn 8
Nói quá thường được dùng kèm với biện pháp tu từ nào?,So sánh,Ẩn dụ,Nhân hóa,"Cả A, B, C đều đúng",D,Ngữ văn 8
Ý kiến nào nói đúng nhất tác dụng của biện pháp nói quá?,"Để gợi ra hình ảnh chân thực và cụ thể về sự vật, hiện tượng được nói đến trong câu","Để bộc lộ thái độ, tình cảm, cảm xúc của người nói",Để cho người nghe thấm thía được vẻ đẹp hàm ẩn trong cách nói kín đáo giàu cảm xúc,"Để nhấn mạnh, gây ấn tượng và tăng sức biểu cảm cho sự vật, hiện tượng được nói đến trong câu",D,Ngữ văn 8
Biện pháp nói quá trong đoạn sau có tác dụng gì?,Tô đậm sức mạnh và sự khéo léo của Đăm Săn trong lúc múa khiên,Tô đậm vẻ đẹp hình thể của Đăm Săn trong lúc múa khiên,Tô đậm sự lợi hại của vũ khí trong tay Đăm Săn,"Cả A, B, C đều sai",A,Ngữ văn 8
Câu ca dao nào dưới đây sử dụng biện pháp nói quá?,Chẳng tham nhà ngói ba toà Tham vì một nỗi mẹ cha hiền lành,Miệng cười như thể hoa ngâu Cái khăn đội đầu như thể hoa sen,Làm trai cho đáng nên trai Khom lưng chống gối gánh những hai hạt vừng,Hỡi cô tát nước bên đàng Sao cô múc ánh trăng vàng đổ đi,A,Ngữ văn 8
Nhận xét nào sau đây nói đúng nhất về các ví dụ trên?,Là các câu ca dao có sử dụng biện pháp so sánh,Là các câu ca dao có sử dụng biện pháp nói quá,Là các câu ca dao có sử dụng biện pháp nhân hóa,Là các câu ca dao có sử dụng biện pháp ẩn dụ,A,Ngữ văn 8
Nói quá được hiểu như thế nào?,"Là phương tiện tu từ làm giảm nhẹ, làm yếu đi một đặc trưng tích cực nào đó của một đối tượng được nói đến.","Là cách thức xếp đặt để đối chiếu hai sự vật, hiện tượng có mối liên hệ giống nhau.","Là một biện pháp tu từ phóng đại mức độ, quy mô, tính chất của sự vật, hiện tượng.",Là một phương thức chuyển tên gọi từ một vật này sang một vật khác.,A,Ngữ văn 8
"Cho các ví dụ sau:  nghiêng nước nghiêng thành, dời non lấp biển, lấp biển vá trời, mình đồng da sắt, nghĩ nát óc... Nhận xét nào sau đây nói đúng nhất về các ví dụ trên?",Là các câu thành ngữ có sử dụng biện pháp nói quá.,Là các câu tục ngữ có sử dụng biện pháp so sánh.,Là các câu thành ngữ dùng biện pháp so sánh.,Là các câu tục ngữ có sử dụng biện pháp nói quá.,A,Ngữ văn 8
"Điền các thành ngữ sau đây vào chỗ trống để tạo biên pháp tu từ nói quá: Ở nơi thế này, cỏ không mọc nổi nữa là trồng rau, trồng cà.",bầm gan tím ruột,chó ăn đá gà ăn sỏi,nở từng khúc ruột,vắt chân lên cổ,B,Ngữ văn 8
Câu ca dao nào dưới đây sử dụng biện pháp nói quá?,Chẳng tham nhà ngói ba toà/ Tham vì một nỗi mẹ cha hiền lành,Miệng cười như thể hoa ngâu/ Cái khăn đội đầu như thể hoa sen.,Làm trai cho đáng nên trai/ Khom lưng chống gối gánh những hai hạt vừng.,Hỡi cô tát nước bên đàng/ Sao cô múc ánh trăng vàng đổ đi.,A,Ngữ văn 8
Biện pháp nói quá được in đậm trong khổ thơ sau nói về điều gì?,Nhấn mạnh đặc điểm của đêm tháng năm và ngày tháng mười nhằm giúp người nông dân biết về thời gian mà điều chỉnh công việc cho hợp lí.,Nhấn mạnh thời gian,Nhấn mạnh việc tháng năm không ngủ được,Nhấn mạnh việc tháng mười có nhiều chuyện không vui,A,Ngữ văn 8
Điền các thành ngữ sau đây vào chỗ trống để tạo biên pháp tu từ nói quá: Bọn giặc hoảng hồn....... mà chạy..,Bọn giặc hoảng hồn bầm gan tím ruột mà chạy..,Bọn giặc hoảng hồn chó ăn đá gà ăn sỏi mà chạy..,Bọn giặc hoảng hồn nở từng khúc ruột mà chạy..,Bọn giặc hoảng hồn vắt chân lên cổ mà chạy..,A,Ngữ văn 8
"Dòng nào nói đúng nhất giá trị của các văn bản Tức nước vỡ bờ, Những ngày thơ ấu, Lão Hạc?",Giá trị hiện thực,Giá trị nhân đạo,Cả A và B đều đúng,Cả A và B đều sai,C,Ngữ văn 8
"Các tác giả Nguyên Hồng, Ngô Tất Tố, Nam Cao đã dành tình cảm gì cho nhân vật của mình?","Ca ngợi, trân trọng tình cảm tốt đẹp, phẩm chất tốt đẹp của con người.","Thương xót, đồng cảm cho số phận bất hạnh của những con người mang bản chất tốt đẹp","Cả A, B đều đúng","Cả A, B đều sai",C,Ngữ văn 8
