Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
571,The most important manifestation of the emergence of imperialism is,emergence of bourgeoisie and proletariat,the emergence of monopolies,imperialist war to divide colonies,intense social conflict,B,History 11,True
573,Which of the following is not the domestic significance of the establishment of the Union of Soviet Socialist Republics?,Open the way to properly solve the national problem in the Soviet Union on the basis of equality and mutual assistance.,In accordance with the common interests of the peoples of the Soviet Union,Create conditions for rapid economic and social development of all Republics,Affirming that the construction of socialism in the Soviet Union has been completed,D,History 11,True
574,Which of the following is not true about the economic reforms that Cuba implemented to follow the path of building socialism?,Implement economic reforms gradually and selectively,Policy of building a centralized economy managed by the State,Focus on developing defense industry,"Focus on new industries such as: tourism industry, biotechnology, oil and gas exploitation,...",C,History 11,True
575,Which of the following is not a reason why island Southeast Asia was the first to attract the attention of Western colonists?,Resource-rich area,Has a rich source of spices and goods,Located on the vital sea route,Residents have a tradition of hard work and diligence.,D,History 11,True
576,What is the common point in the political governance policies of Western colonial countries in Southeast Asia?,Still maintaining local feudal powers as a tool to implement ruling policies,Only representatives of the colonial government were allowed to carry out the governing policy.,Using troops from the mother country to protect the colonial ruling apparatus,Establish dominance in the same form,A,History 11,True
579,"After the death of Lenin - the great leader of the proletariat, head of the Soviet Party and State, who continued to lead the construction and protection of the Soviet Union?",VIXTALIN,M. Gorbachev,N. Dry - shrink - foam,Bre - gi - lip,A,History 11,True
580,"After World War II, socialism was expanded in","Eastern Europe, some countries in Asia and Latin America",Eastern Europe and some Asian countries,some Asian and Latin American countries,"some Western European countries, Eastern European countries and Latin American region",A,History 11,True
583,What was the urgent task facing Germany and Italy in the second half of the 19th century?,Escape from foreign domination,Establishment of the bourgeois government,Eliminate political division and unify the country,Solving land problems for farmers,B,History 11,True
584,One of the characteristics of modern capitalism is,The greatest capitalist powers have divided up the world's land.,the fusion of banking capital with industrial capital into financial capital.,"The labor force has many changes in structure, expertise and profession.",The emergence of monopolies that play a decisive role in economic life.,C,History 11,True
586,The Soviet emblem symbolizes:,Image of farmer,"The hammer and sickle image on the globe is drawn against a background of sun rays, surrounded by ears of wheat.",Other answers,Image of workers,B,History 11,True
587,Fill in the blank: “... is an alliance between large capitalists to concentrate in their hands most of the production or consumption of a number of goods in order to gain high profits”.,Exclusive organization.,Capitalism.,Monopoly.,Capitalist enterprise.,A,History 11,True
589,When and when did serf reform take place in Russia?,1863,1862,1861,1864,C,History 11,True
590,What is the role of the Warsaw Pact?,Cooperate and help countries around the world.,Maintain peace and security in Europe and the world.,Support and help countries under socialist regimes.,Is the military and political defense organization of socialist countries.,B,History 11,True
591,Which is not a socialist country from 1991 to present?,China,Poland,Vietnam,Cuba,B,History 11,True
594,When did the oil crisis take place?,1974,1973,1976,1975,C,History 11,True
595,The formation of the world socialist system is associated with which of the following events?,Eastern European countries overthrew fascist rule and regained power.,The Union of Soviet Socialist Republics (abbreviated as: Soviet Union) was born.,The German Democratic Republic was born and followed the path of socialism.,Eastern European countries basically completed the people's democratic revolution.,D,History 11,True
596,China carried out reform and opening up from:,November 1998,January 1990,June 1985,December 1978,D,History 11,True
597,"In the late 19th and early 20th centuries, in many capitalist countries, the concentration of production and large capital resources led to the emergence of",guild,monopoly organization,firm.,craft site,B,History 11,True
598,"The Great Depression, the most severe economic crisis in the history of capitalism, occurred around what time?",1924-1933,1923-1933,1922-1925,1929-1933,D,History 11,True
599,Which of the following is not the domestic significance of the establishment of the Union of Soviet Socialist Republics?,Affirming that the construction of socialism in the Soviet Union has been completed.,"In accordance with the common interests of the peoples of the Soviet Union, creating conditions for the rapid economic and social development of all the Republics.",Create the premise for the birth of the socialist system in the world.,Opened the way for a correct solution of the national question in the Soviet Union on the basis of equality and mutual assistance.,A,History 11,True
602,"In bourgeois revolutions, what is the decisive driving force for the victory of the revolution?",The promises of a bright future for the people from the ruling class.,The ruling class and the masses,All of the above.,The amount of money the masses receive when they win,B,History 11,True
604,Does the meaning not accurately reflect the highlights of the uprisings against Chinese domination?,"Consecutive outbreaks in three districts of Giao Chi, Cuu Chan and Nhat Nam",With the participation and response of many people,"Many uprisings were victorious, establishing autonomous governments for a period of time.",Opened a period of lasting national independence,D,History 11,True
605,Which of the following ideas does not reflect the crisis and decline of the Tran Dynasty at the end of the 14th century?,"Economic collapse, crop failure, constant famine",The king and his mandarins indulged in debauchery and did not care about the people's lives.,The Ming Dynasty prepared to invade Dai Viet.,Peasant and slave uprisings broke out everywhere.,C,History 11,True
606,What was the purpose of Le Thanh Tong's reform?,Strengthening the power of the emperor and the state apparatus,Perfecting the state apparatus,Stabilize the political situation to develop the economy and culture,Strengthening potential to deal with foreign invaders,A,History 11,True
607,What was the purpose of Minh Mang's reform?,Stabilize the country's social situation,Territorial unification of the country,Reform and improve the bureaucracy system,Overcoming decentralization and lack of unity,D,History 11,True
612,The agency responsible for forwarding and storing official documents under King Minh Mang was,Academy,Privy Council,Cabinet,Censorate,C,History 11,True
614,The unique point of the Hai Ba Trung uprising is:,widely participated,have links with ethnic minority chiefs,Many female generals participated in commanding the uprising.,"The insurgent force was organized into many parts: navy, infantry and elephant troops.",C,History 11,True
615,The content of Ho Quy Ly's reform in the economic field is,redistribute land to everyone 18 years of age and older,"Issue paper money to replace copper coins, issue land limit policy, re-regulate poll tax and land tax",prescribes a tax rate that all landowners and landless people must pay,"Regulate land ownership for all people, each person can own no more than 10 acres, including the King and the Crown Princess",B,History 11,True
616,Which policy of King Le Thanh Tong helped to concentrate maximum power in the hands of the king?,"Abolish the positions of Prime Minister, Grand Chancellor, and agencies directly commanded by the king.",Divide the country into 13 administrative regions.,Enact the Hong Duc Law to protect the interests of the court.,Strengthening the imperial army,A,History 11,True
617,The supreme advisory body to the king on important military matters is the,Academy,Privy Council,Cabinet,Censorate,B,History 11,True
618,Which victory completely ended the Yuan Dynasty's ambition to invade Dai Viet in 1288?,Eastern Head,Eternal Life,Van Don,Bach Dang,D,History 11,True
619,"Who was the leader of the people who carried out the Lam Son uprising and won, establishing the Le So Dynasty?",Le Hoan,Nguyen Trai,Le Loi,Nguyen Hue,C,History 11,True
620,What was the purpose of Ho Quy Ly's policy of limiting land and slaves?,Promote agricultural production,Limiting the power of the Tran aristocracy,Distribute public land to poor farmers,Promote handicraft and commercial production,B,History 11,True
621,What was the main method of selecting mandarins under King Le Thanh Tong?,Recommend,Examination,Candidacy,Warm up,B,History 11,True
623,Production of material wealth is a process.,Create material wealth.,Social production.,Humans act on nature to create products that suit their needs.,"Create food, clothing, create means of production.",C,Civics 11,True
626,"""The buffalo goes first, the plow follows"" refers to which of the following factors in the labor process?",Labor object.,Labor materials.,Labor,Labor materials.,B,Civics 11,True
627,The system of objects that transmit human impact to the object of labor is,Workers,Labor resources,Production materials,Ingredient,B,Civics 11,True
634,Money is used to pay after transactions and purchases. What function does money perform then?,Measure of value,Means of transport,Storage media,Payment method,D,Civics 11,True
640,The law of value requires that the total value of goods after sale must be equal to,Total cost of producing goods,Total value of goods created during the production process,Total quantity of goods created during the production process,Total time to produce goods,B,Civics 11,True
643,Which of the following options explains the cause of competition?,Due to the development of market economy,"Due to the existence of many owners as independent economic units, freely producing and doing business",Because the State encourages businesses to develop,Because the supply-demand relationship affects producers and businesses.,B,Civics 11,True
645,Which of the following statements shows a limitation of competition?,Maximize the power of the country,"Some people use illegal, dishonest tricks.",Eliminate businesses in the same industry,Make more profit for yourself than others,B,Civics 11,True
646,The production and trade of counterfeit goods is which of the following limitations of competition?,Causes serious environmental degradation and imbalance,"Use illegal, dishonest tricks",Speculation and hoarding disrupt the market.,Rich-poor polarization among producers,B,Civics 11,True
647,Which of the following options shows a limitation of competition?,Make supply greater than demand,Accumulated speculation disrupts the market,Paper money is scarce in the market.,Cause inflation,B,Civics 11,True
648,The act of discharging untreated wastewater into the river by Company V in its production activities shows which of the following limitations in competition?,"Use illegal, dishonest tricks",Market disruption,Causes serious environmental degradation and imbalance,Cause economic recession,C,Civics 11,True
652,"When the demand for electric fans decreases sharply in winter, which of the following market factors will decrease as well?",Compete,Value,Value in use,Price,D,Civics 11,True
655,What is industrialization?,Objective necessity for countries moving towards socialism,Objective necessity for poor and backward countries,Needs of underdeveloped countries,Benefits of agricultural countries,A,Civics 11,True
657,What is one of the basic contents of industrialization and modernization in our country today?,Building the material and technical foundations of socialism,Narrowing the backwardness gap with developed countries,Strong development of productive forces,Create high social labor productivity,C,Civics 11,True
658,Economic components are,basic form of ownership of the means of production,A type of economic relationship based on a certain form of ownership of the means of production.,Different types of economic relations in society,Different types of business organization in the economy,B,Civics 11,True
661,Which of the following actions demonstrates citizens' responsibility for implementing a multi-sector economy?,Absorb and apply modern scientific and technological achievements in production,Actively participate in activities to build and protect the government,Actively seek jobs in industries and economic sectors that suit your abilities.,Regularly study to improve your education,C,Civics 11,True
663,One of the roles of material wealth production is,The basis of social existence.,Create material and spiritual values.,Help people have jobs.,Promote economic growth.,A,Civics 11,True
665,Which of the following is one of the labor subjects in the Mining Industry?,Tractor.,Charcoal.,Airport.,Factory.,B,Civics 11,True
666,The natural elements that human labor acts on are called,Labor object,Labor resources,Natural resources,Ingredient,A,Civics 11,True
667,Based on which of the following bases can we distinguish between objects as objects of labor or means of labor?,Purpose of use associated with function,Usability,The origin of that thing,The value of that thing,A,Civics 11,True
668,"Economic growth is associated with a reasonable, progressive and socially equitable economic structure.",Economic development,Economic stimulus,Economic change,Economic stability,A,Civics 11,True
674,Which of the following factors can cause the price of a commodity to be higher or lower than its value?,"Supply-demand, competition",Consumer demand,Producer's ability,Number of goods on the market,A,Civics 11,True
678,The ultimate goal of competition is,Get more profit for yourself than others,Gain absolute prestige for your business,Influence in society,Serving social interests,A,Civics 11,True
681,Which of the following is not a sign?,Paint company H produces 3 million cans of paint every month to bring to the market.,Clothes are sold in fashion stores.,Mekong Delta prepares to harvest 10 tons of rice for export,"Clean vegetables are grown by households for eating, not for sale.",D,Civics 11,True
687,Which of the following options determines the responsibility of citizens for the cause of industrialization and modernization of the country?,Criticize and fight against unfair competition,Absorb and apply modern scientific and technological achievements in production,Ready to participate in building socialism,Due attention should be paid to the role of goods and the production of goods.,A,Civics 11,True
690,Which of the following is the effect of implementing a multi-sector economy?,Create a vibrant market,Making economic values grow,Make socio-economic relations better,"Create more capital, more jobs, promote economic growth",D,Civics 11,True
691,"When you discover a store that specializes in selling counterfeit goods, which of the following options will you follow?",Still buy goods there because the price is cheaper than elsewhere,Don't go to that store to buy anything again.,Notify the authorities,Find out for yourself the origin of those counterfeit goods.,C,Civics 11,True
698,"Demand for construction materials increases sharply at the end of the year, but supply is not enough to meet demand. What will happen below?",Construction material prices increase,Construction material prices decrease,Stable price,Saturated market,A,Civics 11,True
704,Which of the following is a basic political characteristic of socialism in our country?,"As a society with rich people, strong country, democracy, fairness and civilization",People-led,"Has an advanced culture, rich in national identity",People are liberated from oppression and injustice.,B,Civics 11,True
706,The outstanding and overarching feature of the transition period to socialism in our country is,"Rich people, strong country, democracy, civilization",The intertwined existence and struggle between elements of the new society and the remnants of the old society,Ethnic groups in the country are equal and united.,Highly developed economy,B,Civics 11,True
707,The difference in people's lives between regions of the country is a characteristic of the transitional period in which of the following areas?,Politics,Economy,Ideology and culture,Society,D,Civics 11,True
708,How is the national character of our State expressed below?,Our state is a state of the peoples.,The State takes care of all aspects of the interests of all ethnic groups in Vietnam.,Each nation has its own identity.,Every nation has its own writing.,B,Civics 11,True
712,Which of the following functions of our State is the most fundamental?,Political security function,Organization and construction functions,Function of ensuring social order and security,Organizational and educational functions,B,Civics 11,True
714,Which of the following behaviors does not demonstrate the responsibility of citizens in participating in building the socialist rule of law state of Vietnam?,Mr. G did not break the law.,Mr. C did not report the crime.,H joined the ward militia.,Uncle D propagates and mobilizes everyone in the neighborhood to comply with the law.,B,Civics 11,True
715,"Mr. A was bribed and lured into joining an organization that specializes in inciting and sabotaging national security. If you were in Mr. A's situation, which of the following actions would you choose to be appropriate?",Invite another person to join,Notify the competent state agency,Ignore it,Happy to join that organization,B,Civics 11,True
717,Which of the following rights is one of the contents of democracy in the political field?,Literary rights,Gender equality,Freedom of the press,Labor rights,C,Civics 11,True
718,Labor rights demonstrate democracy in which of the following areas?,Economy,Culture,Politics,Society,D,Civics 11,True
719,The right to literary criticism represents democracy in the field.,Culture,Education,Politics,Society,A,Civics 11,True
720,Which of the following rights of citizens demonstrates democracy in the social sphere?,Right to information,Right to social insurance,Right to complain,Right to participate in state management,B,Civics 11,True
722,Which of the following is one of the goals of our country's population policy?,Propaganda and education on family planning measures,Well organized population work apparatus,Improve population quality,Human resource development,C,Civics 11,True
723,Which of the following is one of the basic directions of population policy in our country?,Strengthening the State apparatus for population work,Strengthening leadership and management of population work,Continue to slow down population growth,Reasonable population distribution,B,Civics 11,True
726,"In our country, effectively implementing population policy is aimed at which of the following?","stabilize all aspects of social life, economic development",Ensure social order and safety,Implement hunger eradication and poverty reduction,Promote production development,A,Civics 11,True
727,The State creates conditions for all families and individuals to voluntarily and proactively participate in population work with the aim of which of the following?,Widespread dissemination of family planning measures,Improve population quality,Strengthen your leadership and management role,Implementing socialization of population work,D,Civics 11,True
729,The goal of reasonable population distribution of our country's population policy is to,Reducing regional labor disparities,Exploiting the potential and promoting the strengths of each region,Limit population concentration in large cities,Reducing surplus labor in urban areas,B,Civics 11,True
730,Which of the following folk beliefs negatively affects the State's population policy?,The father is a powerful man.,A drop of blood is thicker than water,"Parents give birth to children, God gives them character.",Many children are more than many properties.,D,Civics 11,True
731,The current unemployment situation in our country is,A very pressing problem in both rural and urban areas.,Content of interest in major cities,Worrying things in cities,Problems to be solved in the delta region,A,Civics 11,True
734,Which of the following is true about the current employment situation in our country?,Create more jobs for workers,Low unemployment rate,Lack of jobs for workers in big cities,Underemployment in rural and urban areas,D,Civics 11,True
736,Which of the following activities contributes to environmental protection?,"Collect, classify and dispose of waste in designated areas.",Select toxic waste into the soil,Burning of waste,Recycle and use waste,A,Civics 11,True
737,The state stipulates that all resources put into use must pay taxes or rent for the purpose of,Limit resource usage,Use resources wisely,Increase state budget,Prevent resource exploitation,C,Civics 11,True
740,One of the basic characteristics of socialism in Vietnam is,"Has a progressive culture, rich in national identity",Has a modern culture,Has tangible and intangible cultural heritage,There is an abundant labor force.,A,Civics 11,True
744,"The policy of ""integration but not assimilation"" in the process of integration with world culture reflects which of the following basic characteristics of socialism in our country?","As a rich people, strong country, democracy, fairness, civilization",People-owned,Have friendly relations and cooperation with people of countries around the world,"Has an advanced culture, rich in national identity",D,Civics 11,True
746,Which of the following tools is the most effective for the State to manage society?,Plan,Policy,Law,Policy,C,Civics 11,True
747,"The rule of law means that all activities of state agencies, social organizations and all citizens are carried out on the basis of",Law,Policy,Public opinion,Faith,A,Civics 11,True
748,The basic function of the Socialist Republic of Vietnam's rule of law state is,Suppress destructive forces,Organization and construction,Maintain social order,Maintain national security,B,Civics 11,True
751,Direct democracy is when the people directly participate in deciding the work of the government.,State,Individual,Officer,People,A,Civics 11,True
752,Which of the following behaviors is not a form of direct democracy?,Candidate for Ward People's Council,People participate in discussing and giving opinions on amending the Constitution,People participate in monitoring and inspecting the activities of local government agencies.,National Assembly deputies represent the people in participating in the making of laws.,D,Civics 11,True
755,"When a population officer comes to a family to promote family planning, but they are not interested and do not cooperate. In your opinion, which of the following should the population officer do?","Still enthusiastically explain, convince them to understand and cooperate",The population officer stood up and left.,Invite the family to the People's Committee of the commune to resolve,Criticize and discipline that family.,A,Civics 11,True
756,One of the goals of employment policy in our country is,Promote production and service development,Efficient use of capital,Promote labor export,Human resource development,D,Civics 11,True
757,One of the basic directions of employment policy in our country is,Encourage workers to self-study to improve their qualifications,Encourage legal enrichment,Encourage vocational training for workers,Encourage businesses to create more jobs,B,Civics 11,True
758,Which of the following environmental protection activities is not encouraged?,"Production, trade and consumption of environmentally friendly products","Reduce, collect, reuse and recycle waste",Use clean energy,Bury all kinds of waste in the ground,D,Civics 11,True
759,One of the basic directions of resource and environmental protection policy is?,"Maintain the status of resources, do not exploit and use",Prohibit activities that affect resources and the environment,"Proactively prevent and stop pollution, improve the environment, and preserve nature.",Applying modern technology to exploiting resources and protecting the environment,C,Civics 11,True
760,Which of the following behaviors is not an environmental protection behavior?,Waste management,Prevention and response to environmental incidents,Illegal logging,Garbage classification,C,Civics 11,True
762,Which of the following measures contributes to the protection of rare and wild animals?,Take good care of them when keeping them as pets.,Release animals back into their habitats,Organization of captivity of wild and rare animals,Purchase of rare and wild animals,B,Civics 11,True
763,"To protect and develop forests, the law strictly prohibits which of the following acts?","Deforestation, illegal logging","Afforestation, development of nature reserves",Protect upstream forests,Expanding forest area,A,Civics 11,True
764,The mission of education and training in our country is,Training Vietnamese people to develop comprehensively,"Improve people's knowledge, train human resources, foster talents",Serving the cause of industrialization and modernization of the country,"Preserve, develop and spread human civilization",B,Civics 11,True
767,The State mobilizes all resources to develop education and training to implement the content of the direction?,Expanding education,Prioritize investment in education,Achieving social justice in education,Socialization of education,B,Civics 11,True
769,Which of the following contents belongs to the direction of our country's education and training policy?,Proactive and active international economic integration,Strengthen and enhance relations with other countries,Building scientific and technological potential,Strengthening international cooperation in education and training,D,Civics 11,True
770,Educational development is the career of,State and people,Party and State,Ministry of Education and Training,State and Ministry of Education and Training,A,Civics 11,True
771,"The State has the right policies in developing, training, fostering and using talents for the purpose of",Improve the quality and effectiveness of education and training,First priority for education,Achieving social justice in education,Expanding education,A,Civics 11,True
772,"To improve the quality and effectiveness of education and training, we must","Implement comprehensive education, innovate teaching content and methods",Prioritize investment in education,Strengthening international cooperation and education,Socialization of education,A,Civics 11,True
777,An object oscillates harmonically when moving from the equilibrium position to the negative boundary position then,velocity and acceleration are both positive.,The magnitude of velocity and the magnitude of acceleration decrease together.,velocity vector is opposite to acceleration vector.,The magnitude of velocity increases and the magnitude of acceleration remains unchanged.,C,Physics 11,True
778,Choose the most correct option. The initial phase of harmonic oscillation depends on,time origin,coordinate axis,amplitude of oscillation,time origin and coordinate axis.,D,Physics 11,True
781,"In the harmonic oscillation of an object, which of the following three sets of quantities does not change over time?","Velocity, displacement, acceleration.","Kinetic energy, amplitude, displacement.","Kinetic energy, potential energy, mechanical energy.","Mechanical energy, amplitude, period.",D,Physics 11,True
790,"A simple pendulum oscillates in harmonic motion with an angular amplitude of α0. Take the potential energy as the reference point at the equilibrium position. At the position where the pendulum has kinetic energy equal to potential energy, its angular displacement is equal to:",±α0/2√2,±α0/2√3,±α0/√2,±α0/2,C,Physics 11,True
796,Which of the following statements is most correct?,Wave propagation speed v is the speed of propagation of oscillations in the medium.,Wavelength λ is the distance a wave travels in one period.,"For each medium, the wave propagation speed v has a constant value.","A, B and C are all correct.",D,Physics 11,True
798,"On a long string, a sinusoidal transverse wave is passing along the positive direction of the Ox axis. At time t<sub>0</sub>, a section of the string has the shape as shown in the figure. Two string elements at M and O oscillate out of phase with each other.",3π/4,π/2,π/5,5π/6,A,Physics 11,True
810,Choose the wrong statement from the following options:,Harmonic oscillation is periodic.,Oscillation is a back and forth motion around a special position called the equilibrium position.,Simple harmonic oscillation is an oscillation in which the displacement of the object is a tan (or cotangent) function of time.,"Periodic oscillation is an oscillation in which the state of an object repeats itself in the same direction after equal, definite intervals of time.",C,Physics 11,True
815,Two point charges of the same sign and magnitude 3.10^(-7) C are placed 1 m apart in a vacuum.,repel each other with a force of 8.1 x 10-4 N.,attract each other with a force of 8.1 x 10-4 N.,repel each other with a force of 4 N.,repel each other with a force of 4.10-4 N.,A,Physics 11,True
816,Two opposite charges will:,attract each other,push each other,do not interact with each other.,both attract and repel each other.,A,Physics 11,True
820,"Two charges q1 = 6.10^-8C and q2 = 3.10^-8C placed in a vacuum, to interact with each other by a force of magnitude 1.8.10^-2 N, they must be placed",0.3 cm,3 cm,3m,0.03 m,D,Physics 11,True
821,"simple pendulum consists of a string of negligible mass, inextensible, length l and a small ball of mass m. The pendulum is stimulated to oscillate harmonically in a place with gravitational acceleration g. If the potential energy point is chosen at the equilibrium position of the ball, the potential energy of this pendulum at angular displacement α has the expression",mgl(1-sinα),mgl(cosα-sinα),mgl(sinα-cosα),mgl(sinα+cosα),B,Physics 12,True
823,"Two pendulums oscillate in harmony at the same position on Earth. The length and period of oscillation of the pendulum are T1 and T2, respectively. Knowing that T1=T2. The correct formula is",1/4,1/8,5/12,2/5,A,Physics 12,True
824,"A pendulum oscillates in harmonic motion with an angular amplitude of α_0. Take the potential energy as the reference point at the equilibrium position. At the position where the pendulum has kinetic energy equal to potential energy, its angular displacement is equal to:",±α_0√2,±α_0√3,±α_0√2,±α_0/2,C,Physics 12,True
828,"At a given location, the period of harmonic oscillation of a pendulum is directly proportional to",1/g,l,√g,√l,D,Physics 12,True
829,"simple pendulum is suspended at a fixed point. Pull the pendulum away from the equilibrium position so that the string makes an angle of 60° with the vertical and then release, ignoring friction. The motion of the pendulum is",circular motion,uniform circular motion,periodic oscillation,harmonic oscillation,C,Physics 12,True
836,Which of the following statements is incorrect when talking about the oscillation of a pendulum (ignoring resistance)?,"If the amplitude of oscillation is small, the oscillation of the pendulum is harmonic oscillation.","When the heavy object passes through the equilibrium position, the force of gravity acting on it is balanced by the tension in the string.",The movement of the pendulum from the boundary position to the equilibrium position is gradually accelerated.,The movement of the pendulum from the equilibrium position to the boundary position is gradually slowed down.,B,Physics 12,True
837,pendulum is oscillating with an angular amplitude α0 at a place where the gravitational acceleration is g. The maximum tension in the string is 1.02 times the minimum tension in the string. The value of α0 is,3.1,5.4,6.6,7.2,C,Physics 12,True
846,Which of the following statements is correct when talking about forced oscillation?,Forced oscillation has constant amplitude.,The frequency of forced oscillation is equal to the frequency of the forcing force.,Oscillations subjected to a periodic external force are called forced oscillations.,"A, B and C are all correct.",D,Physics 12,True
849,"An object oscillates under the influence of an external force F = F<sub>0</sub>cospft (with F<sub>0</sub> and f constant, t in s). The forced oscillation frequency of the object is",0.2f,0.5f,f,1.2f,B,Physics 12,True
859,"Two material points oscillate in harmonic motion, in the same direction and with the same frequency, with displacements x₁ and x₂ respectively. The displacements of the two material points satisfy the condition: 1.5x₁² + 2x₂² = 18cm². Calculate the total amplitude of the two oscillations above.",√21cm,√11cm,√7cm,√17cm,A,Physics 12,True
862,Given two harmonic oscillations in the same direction with the equations x₁ = A₁cos(ωt + 0.35) and x₂ = A₂cos(ωt - 1.57) respectively. The resultant oscillation of these two oscillations has the equation x = 20cos(ωt + φ) cm. The maximum value of (A₁ + A₂) is closest to which of the following values?,35 cm,42 cm,55 cm,60 cm,A,Physics 12,True
863,A material point simultaneously participates in two harmonic oscillations on the Ox axis with equations x₁ = A₁cos(10t) and x₂ = A₂cos(10t + φ₂). The combined oscillation equation x = A₁√3cos(10t + φ) in which φ₂ - φ = π/6. The ratio φ/φ₂ is equal to,2,0.5,1,1.5,B,Physics 12,True
864,"An object with a mass of 0.5 kg simultaneously performs two harmonic oscillations in the same direction, with the same angular frequency of 4π rad/s, x₁ = A₁cos(ωt + π/6) cm and x₂ = 4sin(ωt - π/3) cm. Knowing that the resultant force acting on the object has a maximum magnitude of 2.4 N. The amplitude A₁ has the value",1.5 cm,3.4 cm,5 cm,7 cm,D,Physics 12,True
866,Transverse wave is,wave in which the particles of the medium oscillate in the direction parallel to the wave propagation.,Waves propagate along the x-axis of the coordinate axis.,wave in which the particles of the medium oscillate perpendicular to the direction of wave propagation.,Horizontal wave propagation.,C,Physics 12,True
867,Which of the following statements is incorrect when talking about mechanical waves?,Mechanical waves are mechanical vibrations that propagate in a medium.,Mechanical waves can be transmitted in a vacuum.,The amplitude of a wave at a given point in the medium through which the wave passes is the amplitude of the oscillation of the material elements there.,Wave energy is the vibrational energy of the particles of the medium through which the wave propagates.,B,Physics 12,True
868,Transverse waves can be transmitted in various media.,solid and gas,liquid and gas,solid and liquid surface.,"solid, vacuum.",C,Physics 12,True
869,Longitudinal waves can be transmitted in various media.,solid and liquid,liquid and gas,"solid, liquid and gas.","solid, liquid, gas and vacuum.",C,Physics 12,True
871,Which of the following statements is most correct?,Wave propagation speed v is the speed of propagation of oscillations in the medium.,Wavelength λ is the distance a wave travels in one period.,"For each medium, the wave propagation speed v has a constant value.","A, B and C are all correct.",D,Physics 12,True
877,"On a long string, a sinusoidal transverse wave is passing along the positive direction of the Ox axis. At time t₀, a section of the string has the shape as shown in the figure. Two string elements at M and O oscillate out of phase with each other.",3π/4,π/2,π/5,5π/6,A,Physics 12,True
881,Two coherent wave sources are two wave sources that oscillate in the same direction and frequency.,amplitude,frequency,initial phase,frequency and has a phase difference that is constant over time,D,Physics 12,True
882,"In the interference of two coherent sources with wavelength λ. On a segment of length l of the straight line connecting the two sources, there are N consecutive maxima. We always have",2N+1λ,1/2Nλ,N-1λ/2,N-1λ,C,Physics 12,True
883,"Two points M and N lie on the same direction of wave propagation, separated by a distance of λ/3. At time t, when the oscillation displacement at M is uM = +3cm, the oscillation displacement at N is uN = -3cm. The wave amplitude has the value of",2 cm,3 cm,2√3cm,3√2cm,C,Physics 12,True
891,Which of the following statements is incorrect when talking about standing waves?,Points on an antinode oscillate in phase.,In standing waves there is phase transfer from one point to another.,The antipoint is the point where the incident and reflected waves are in phase.,The nodal point is the point where the incident and reflected waves are out of phase.,B,Physics 12,True
907,Which of the following systems is not a system of first-degree inequalities with one variable?,x+2y>3,x³+2y≤3,-2x+2y>0,"x≥0, 5x+y<0, y+2≥0",B,Math 10,True
908,Which inequality is a first-degree inequality with two unknowns?,3x - 2y = 4,x – 2y<sup>2</sup> &lt; 3,x – y + 1 ≥ 2x - 1,2x + y<sup>4</sup> – 3 &lt; 0,C,Math 10,True
914,The pair of numbers (2; – 3) is not a solution to which of the following inequality?,-3x + 2y + 1 < 0,2x - y - 3 > 0,x - 2y + 1 ≤ 0,4x - 2y - 14 ≥ 0,C,Math 10,True
915,The half-plane is the solution domain of the inequality – x + 2 + 2(y – 2) < 2(1 – x) containing which of the following points:,(0; 3),(2; 1),(4; 2),(1; -1),D,Math 10,True
917,How many positive integer values of m are there so that the pair of numbers (– 2m; 1) is a solution to the inequality 2x – y – 3 > 0?,0,1,2,Countless,A,Math 10,True
918,The solution domain of the inequality 4(x – 1) + 5(y – 3) > 2x – 9 is a half-plane that does not contain any of the following points.,(0; 3),(1; 2),(- 1; 1),(2; 5),C,Math 10,True
919,The shaded part in the figure below (including line d) represents the solution domain of the inequality.,- 2x + y ≥ 0,2x + y ≥ 0,- 2x - y ≥ 1,x + 2y ≥ 0,A,Math 10,True
922,The maximum value of the equation F(x; y) = x – 2y with the condition 0≤y≤4 is,-6,2,1,0,C,Math 10,True
933,"Question 4. Given triangle ABC with a = 3, b = 4, c = 5. Calculate the area of triangle ABC.",9,6,12,8,B,Math 10,True
934,Given triangle ABC. Calculate P = sinA.cos(B + C) + sin(B + C).cosA,0,1,-1,0.5,A,Math 10,True
935,Calculate the value of the expression P = sin30°.cos15° + sin150°.cos165°,0,1,-1,0.5,A,Math 10,True
936,"Triangle ABC has AB = √6 - √2, BC = √3, CA = √2. Calculate the measure of angle A.",60°,90°,120°,30°,C,Math 10,True
937,"Calculate the area of triangle ABC with b = 2, B = 30°, C = 45°.",1 + √3,1 – √3,(1 + √3)/2,(1 - √3)/2,A,Math 10,True
938,"Question 14. Given triangle ABC with AB = 5, AC = 6, BC = 7. Calculate cosB.",11/7,17/35,19/35,13/7,C,Math 10,True
939,"Given angle α, sinα + cosα = 5/4. Calculate A = sinα.cosα",9/32,7/32,2/39,9/37,A,Math 10,True
940,"Triangle ABC has BC = a, AC = b, AB = c. The sides a, b, c are related to each other by the equality b.( b2 – a2 ) = c.( a2 – c2 ). Calculate <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mtext>BAC</mtext><mo>^</mo></mover></math>.",120°;,90°;,30°;,60°.,D,Math 10,True
