Question,A,B,C,D,Answer,Grade
 Focal length is the distance from, focal point to the main axis., focal point to optical center., optical center to lens, lens to principal axis., B,
 Where is the object placed in front of the diverging lens so that the image is at a distance equal to the focal length from the lens?, Within focal length, Out of focus., At focus.,Very far from the lens., D,
 The image of an object formed by a diverging lens is always located, farther away from the object than the lens., behind the lens relative to the object., within the focal length of the lens., beyond the focal length of the lens., C,
 Where does an object placed in front of a diverging lens always produce a virtual image?, Any position in front of the lens., Within focal length., At focus., Out of focus., A,
 The lens of the eye is a converging lens made of a substance., translucent and very hard., transparent and very hard, translucent and soft., transparent and soft, D,
" The lens of the eye easily swells or flattens, making its focal length", constant., change, increase., decrease, B,
 An object moves in a straight line with constant acceleration. The magnitude of the object's acceleration, unchanged over time, increase over time., decrease over time., initially increasing then decreasing., A,
" From a height h, an object is thrown horizontally with an initial speed of 12 m/s. The falling time of the object is 2s. The distance of the object is", 6m, 5m, 20m, 24m, D,
 player kicks a ball with an initial velocity of 30m/s upwards at an angle of $30^\circ$ to the horizontal. The initial velocity of the ball in the horizontal direction has magnitude, $15\sqrt{3} m/s$, $15 m/s$, $15 \sqrt{2} m/s$, $30m/s$, A,
 The quantity characterizing the inertia of an object is, acceleration of the object., weight of object, velocity of object, mass of object, D,
 Applying force $\vec{F}$ to an object of mass m causes the object to move with acceleration $vec{a}$. Which of the following formulas is correct?, $\vec{F} = frac{\vec{a}}{m}$, $\vec{F} = \frac{m}{\vec{a}}$, $\vec{a} = m.\vec{F}$, $\vec{F} = m.\vec{a}$, D,
" An object A exerts a force $\vec{F}_{AB}$ on object B, then object B also exerts a force $\vec{F}_{BA}$ back on object A. The correct formula is", $\vec{F}_{AB} = \vec{F}_{AB}$, $\vec{F}_{AB} = -\vec{F}_{AB}$, $\vec{F}_{AB} = \vec{F}_{AB}$, $\vec{F}_{AB} = -\frac{1}{\vec{F}_{BA}$, B,
 Which of the following characteristics does not exist between action and reaction forces?, Always appear in pairs., Always in the same direction., Always against the grain., Always have the same magnitude., C,
 An object falls freely from a height h to the ground. The formula for calculating the velocity v of a freely falling object is, $v = 2gh$, $v = \sqrt{\frac{2h}{g}}$, $v = \sqrt{2gh}$, $v = \sqrt{gh}$, C,
 Choose the wrong answer.," At a given location on Earth and near the ground, all objects fall freely with the same acceleration g.","In uniformly accelerating motion, the acceleration has the same sign as the velocity $v_0$.", The acceleration of uniformly varying rectilinear motion is a constant quantity., Free fall motion is uniformly decelerated motion in a straight line., D,
Which of the following sentences is incorrect? The centripetal acceleration vector in uniform circular motion has the following characteristics:, Put on moving object., Tangent to orbit., Direction is always towards the center of the orbit., Magnitude $a = \frac{a^2}{r}$, B,
" From reality, let's see which of the following cases has a straight trajectory?", A stone is thrown horizontally., A car is driving in the direction of Hanoi – Ho Chi Minh City., A marble falls freely from a height of 2m to the ground., One fell from a height of 3m to the ground., C,
 Why is the state of rest or motion of an object relative?, Because the state of the object is observed at different times., Because the state of the object is determined by different observers on the roadside.,"Because the state of the object is unstable: sometimes still, sometimes moving.", Because the state of the object is observed in different reference frames., D,
" Passenger 1 stands in train car a, looking through the window at passenger 2 in the next car b. Two train cars are parked on two parallel tracks in the station. Suddenly 1 sees 2 moving backwards. Which of the following situations definitely does not happen?",Both trains run forward. a runs faster than b., Both trains run forward. b runs faster than a., Train a moves forward. Train b stands still., Train a is standing still. Train b is moving backwards., B,
 Newton's first law states that:, For every action force there is an opposite reaction force., An object remains stationary or moves in a straight line when it is not acted upon by any other object.," When the net force acting on an object is zero, the object cannot move."," Due to inertia, all moving objects tend to stop.", B,
" When an object is acted upon by only one other object, it will:", Only deformation without change of velocity., Motion in a straight line forever., Straight line motion gradually accelerates., Deformed and changed velocity in both direction and magnitude., D,
" A marble moves evenly on a smooth, flat, horizontal floor (negligible friction). Which of the following statements is incorrect?", The acceleration of the object is zero., The resultant force acting on the object is zero., The acceleration of the object is not zero.,Average velocity is equal to instantaneous velocity at any given time., C,
 person weighing 500N stands on the ground. The force that the ground exerts on that person has the magnitude of:, equal to 500N., less than 500N., greater than 500N., depends on the gravitational acceleration g, C,
 How will the coefficient of friction between two contact surfaces change if the force pressing on the two surfaces increases?, Increase, Decrease., Constant., Unknown, C,
" An airplane flies horizontally at a speed of 150 m/s, at an altitude of 490m, and drops a package to the ground. Take $g = 9.8m/s^2$ . The distance the package flies is:", 1000m., 1500m., 15000m., 7500m., B,
 The expression for the moment of a force about an axis of rotation is, $M = Fd$, $M = \frac{F}{d}$, $\frac{F_1}{d_1} = \frac{F_2}{d_2}$, $F_1.d_1 = F_2.d_2$, A,
 The equilibrium form of a circus performer standing on a tightrope is:, Durable balance., Unstable balance., Balance the plate., Not in any kind of balance., B,
 An object is rotating around an axis with an angular velocity $\omega = 6.28$ rad/s (Ignoring friction). If the torque acting on it is lost then:, The object stopped immediately., rotational object, The object rotates uniformly with angular velocity $\omega = 6.28$ rad/s., The rotating object slows down and then stops., C,
" Choose the correct statement. When a solid object without a fixed axis of rotation is subjected to a torque, the object will rotate around", axis passing through the center of gravity., horizontal axis through a point., vertical axis passing through a point., any axis, A,
 Which of the following units is not a unit of power?, Js, W, Nm/s, HP, A,
 man rows a boat upstream. The current is so strong that the boat cannot move forward relative to the shore. Did the man do any work? Why?," Yes, because the boat is still moving."," No, because the displacement of the boat is zero.", Yes because the person is still applying force.," No, the boat drifted with the current.", B,
" When a rocket moves, both its velocity and mass change. When the mass is halved and the velocity is doubled, the kinetic energy of the rocket:", unchanged., double, increased 4 times., 2 times reduction., B,
" A given amount of gas, determined by a set of three parameters:"," pressure, volume, mass.","pressure, temperature, volume."," volume, mass, temperature."," pressure, temperature, volume", B,
" In the coordinate system (p,T), which of the following lines is an isochoric line?", Hyperbola., The extended line passes through the origin., The extended line does not pass through the origin., The line intersects the p-axis at point $p = p_0$, B,
 Which of the following cases does not apply the ideal gas state equation?, Heat a quantity of gas in a closed container., Use your hand to squeeze the ball.," Heating a quantity of gas in a cylinder causes the gas to heat up, expand, and push the piston to move.", Heat a quantity of gas in an uncovered container., D,
"Read the following passage and answer the question: What did Truong Bach do in his spare time? : ARTIST'S HANDS Since childhood, Truong Bach loved nature. In his spare time, he molded clay figures that looked exactly like real ones. When he grew up, Truong Bach applied for a job in a jade shop. He worked passionately and with all his heart, never stopping when he saw places that needed delicate processing that he could not do. Truong Bach's patience and creativity amazed even his teacher. One day, someone brought a block of jade and asked him to carve a statue of Quan Am. Truong Bach told himself that he would try his best to create a perfect, perfect work. The finished statue was truly a masterpiece. From the appearance to the posture of Quan Am, everything exuded serenity and was extremely beautiful. What was extremely interesting was that the statue was strangely lifelike, like a living person. If you walk around the statue, Quan Am's eyes seemed to follow you. Obviously this is unimaginable. According to Lam Ngu Duong", Molding clay figures., Carve statues., Molding clay animals., Make crafts., A,
"Read the following passage and answer the question: What is the unimaginable thing about the statue?: THE ARTIST'S HANDS Since childhood, Truong Bach loved nature. In his spare time, he molded clay figures that looked exactly like the real thing. When he grew up, Truong Bach applied for a job in a jade shop. He worked passionately, never stopping when he saw places that needed delicate processing that he could not do. Truong Bach's patience and creativity surprised even his teacher. One day, someone brought a block of jade and asked him to carve a statue of Quan Am. Truong Bach told himself that he would try his best to create a perfect, perfect work. The finished statue was truly a masterpiece. From the face to the appearance of Quan Am, everything exuded serenity and was extremely beautiful. What was extremely interesting was that the statue was strangely lifelike, like a living person. If you walk around the statue, Quan Am's eyes seemed to follow you. Obviously this is unimaginable. According to Lam Ngu Duong", The eyes of the statue of Guanyin seem to be able to follow., The statue's eyes looked as sparkling as human eyes.,The statue exudes serenity and extreme beauty.," The statue is strangely lifelike, like a living person.", A,
"Read the following passage and answer the question: Through the story, what kind of person do you think Truong Bach is?: ARTIST'S HANDS Since childhood, Truong Bach loved nature. In his spare time, he molded clay figures that looked exactly like the real thing. When he grew up, Truong Bach applied for a job in a jade shop. He worked passionately, never stopping when he saw places that needed delicate processing that he could not do. Truong Bach's patience and creativity surprised even his teacher. One day, someone brought a block of jade and asked him to carve a statue of Quan Am. Truong Bach told himself that he would try his best to create a perfect, perfect work. The finished statue was truly a masterpiece. From the appearance to the posture of Quan Am, everything exuded serenity and was extremely beautiful. What was extremely interesting was that the statue was strangely lifelike, just like a living person. If you walk around the statue, Guanyin's eyes seem to follow you. Obviously, this is something unimaginable. According to Lam Ngu Duong"," Be a hard-working, diligent and creative person.", Is a gentle person and enthusiastic about pottery work., Be a perfectionist., An art enthusiast with patience and creativity., D,
"Read the following passage and answer the question: What is special about the boy's face?: FRECKLES In a corner of the park, many children were lining up waiting for a painter to decorate their faces to become ""Indians"" or ""aliens"",.... A boy also held his grandmother's hand and waited for his turn. The boy's face had many small freckles, but his eyes lit up with excitement. - You have so many freckles, where is there any place on your face to draw! - The girl in line behind the boy said loudly. Embarrassed, the boy lowered his head. Seeing that, his grandmother also sat down next to him: ""Why are you so sad? I love your freckles! When I was little, I always wanted freckles."" Then the old woman stroked the boy's cheek with her wrinkled fingers: Freckles are also very pretty, I'm sure the painter will like your freckles!"". The boy smiled. - Really, grandma? Really! - His grandmother replied.. Here, try to find something more beautiful than freckles. The boy looked at her, thought for a moment, then whispered: - Wrinkles, grandmother!", Very white face., The boy's face has a lot of pimples., There is a big scar on the face, Face with many small freckles, D,
"Read the following passage and answer the question: What lesson do you learn from the above story?: FRECKLES In a corner of the park, many children were lining up waiting for a painter to decorate their faces to become ""Indians"" or ""aliens"",.... A little boy also held his grandmother's hand and waited for his turn. The boy's face had many small freckles, but his eyes lit up with excitement. - You have so many freckles, where is there any place on your face to paint! - The girl in line behind the boy said loudly. Embarrassed, the boy lowered his head. Seeing that, his grandmother also sat down next to him: ""Why are you so sad? I love your freckles! When I was little, I always wanted freckles."" Then the old woman stroked the boy's cheek with her wrinkled fingers: Freckles are also very pretty, surely the painter will like your freckles!"". The boy smiled. - Really, grandma? Really! - His grandmother replied.. Here, try to find something more beautiful than freckles. The boy looked at her, thought for a moment, then whispered: - Wrinkles, grandmother!"," Don't be shy, be confident and think more positively.", Don't criticize or make fun of other people's appearance., Always say good words to comfort others., Both A and B_x000D_ _x000D_, D,
"Read the following passage and answer the question: What season is summer in the author's mind?: THE SOUND OF THE KITE_x000D_ _x000D_ I don't know since when, but summer has been imprinted in my mind. It is the season of kites filled with wind, the season of souls with childhood aspirations._x000D_ _x000D_ Every afternoon, when the bright sunlight gradually fades, it is also the time when we children rush out to the fields, tossing small kites into the sky. Putting aside our worries about schoolwork, we long to watch the kites in the vast sky. Flying kites in the windy afternoon, listening to the whistling sound of the flute mixed with the cheers of the children. No piece of music by a genius artist can compare to that piece of music of the countryside. The sound of the flute is clear and pure like the call of summer, the call of souls searching for childhood memories._x000D_ _x000D_ I have been away from the kite wings of my childhood for quite a long time. The sound of the kite flute still lingers in my dreams, evoking a memory._x000D_ _x000D_ Another summer has come. I put on my backpack and return to my hometown with the urging sound of the kite flute. I caught the image of young boys engrossed in bamboo strips making kites like I was in the past. Suddenly, the sound of the kite flute rose up and hummed over the peaceful fields, making me stunned. I realized so many things in that flute sound... Oh. the kite flute... perhaps it will follow me throughout this life..."," It is the season of delicious, fragrant fruits.", It's the season of lullabies every summer afternoon., It's the season of memories of playing with friends on the windy fields.," It is the season of kites filled with wind, of souls yearning for childhood.", D,
"Read the following passage and answer the question: What does the sound of the flute and the children's cheers remind the author of?: THE SOUND OF THE KITE I don't know since when, but summer has been deeply imprinted in me. It is the season of kites filled with wind, the season of souls yearning for childhood. Every afternoon, when the bright rays of sunlight gradually fade away, it is also the time when we children rush to the fields, tossing small kites into the sky. Putting aside our worries about schoolwork, we long to watch the kites in the vast sky. Flying kites in the windy afternoon, listening to the sound of the flute blending with the cheers of the children. No piece of music by a genius artist can compare to that music of the countryside. That flute sound is clear and pure like the call of summer, the call of souls searching for childhood memories. I have been away from the kites of my childhood for quite a long time. The sound of the kite flute still lingers in my dreams, evoking a memory. Another summer has come. I put on my backpack and went back to my hometown with the urgent sound of the kite flute. I saw the image of boys engrossed in making kites with bamboo strips like I did in the past. Suddenly, the sound of the kite flute rose up and hummed over the peaceful fields, making me stunned. I realized so many things in that flute sound... Oh. the kite flute... perhaps it will follow me all my life...",Expresses the author's love for the sound of the flute, Expresses the author's love for the countryside, Reminds the author of childhood memories,Reminds the author of hot summer afternoons, C,
"Read the following passage and answer the question: What did the author realize in the sound of the kite flute?: THE SOUND OF THE KITE FLUTE I don't know since when, summer has been deeply imprinted in me. It is the season of kites filled with wind, the season of souls yearning for childhood. Every afternoon, when the bright rays of sunlight gradually fade away, it is also the time when we children rush out to the fields, tossing small kites into the sky. Putting aside our worries about schoolwork, we long to watch the kites in the vast sky. Flying kites in the windy afternoon, listening to the whistling sound of the flute mixed with the cheers of the children. No piece of music by a genius artist can compare to that music of the countryside. The sound of the flute is clear and pure like the call of summer, the call of souls searching for childhood memories. I have been away from the kites of my childhood for quite a long time. The sound of the kite flute still lingers in my dreams, evoking a memory. Another summer has come. I put on my backpack and went back to my hometown with the urgent sound of the kite flute. I saw the image of boys engrossed in making kites with bamboo strips like I did in the past. Suddenly, the sound of the kite flute rose up and hummed over the peaceful fields, making me stunned. I realized so many things in that flute sound... Oh. the kite flute... perhaps it will follow me all my life...", The sound of kites is the call of summer., The sound of kites is the call of the soul searching for childhood memories., The sound of the kite flute will follow the author throughout this life., The sound of kites is the cheering of children., C,
How many main stages did the development of Vietnamese literature go through from the August Revolution in 1945 to 1975?, 2, 3, 4, 5, B,
 The purity of Vietnamese has the following manifestations:," Is not mixed with hybrid elements, mixed while still tolerating positive elements", Keep the beautiful qualities of Vietnamese but also need to borrow to increase vocabulary and enrich grammar of Vietnamese., Expressed in the culture and politeness of speech, All three answers above, D,
" Whose statement is this? “The two sources of the richness and beauty of the Vietnamese language are that it is the voice of the masses, full of emotions, images, colors and tones, innocent, funny and meaningful, and at the same time it is the language of literature and art... It is that richness and beauty that creates the quality, value, identity and quintessence of the Vietnamese language, the result of a whole process and countless efforts...”.", Dang Thai Mai, Pham Van Dong, Ho Chi Minh, Truong Chinh, B,
" The content of the text by Nguyen Dinh Chieu, a shining star in the nation's literature and art, is:", Praising the poetic talent of Nguyen Dinh Chieu,List the famous and valuable works of Nguyen Dinh Chieu left in the Vietnamese literary treasure., Evaluation of the outstanding artistic talent of author Nguyen Dinh Chieu, Looking at the life and poetry of Nguyen Dinh Chieu in close connection with the situation of the Fatherland at that time and with the present era., D,
"For the following passage, the discoveries of our country's archaeologists prove that Vietnam was once a place where apes lived. In 1960, many stone cores, machetes, and hand axes that were 400,000 years old were found in Do Mountain (Thieu Hoa, Thanh Hoa). In the same year, a bone site (both a place of residence and a place for making tools) of apes was discovered in Voi Mountain, 3 km from Do Mountain, with an area of 160,000 m2. In Xuan Loc (Dong Nai), stone tools of apes were also found. Which of the following ideas is not appropriate when talking about the rationality and logic expressed in the above passage?"," The first sentence states the general thesis, the following sentences state the arguments, all of which are factual documents."," Each sentence is a unit of information, accurate information, based on scientific evidence.", Grammatically correct sentences., The information presented is selected to stimulate the reader's curiosity., D,
" Which of the following factors influences the content of the poem ""Tay Tien""?", Tay Tien is a military unit established in 1947 whose soldiers are mostly young people from Hanoi., The operating area of the Tay Tien unit is the Vietnam-Laos border., The Tay Tien soldiers fought in extremely difficult and deprived conditions., Quang Dung was a captain in the Tay Tien unit and then transferred to another unit., B,
" The two words ""return to the ground"" in the sentence: ""The robe replaces the mat, I return to the ground"" do not suggest which of the following associations?", The silent sacrifice that no one knows about., The serenity and composure of a soldier after being loyal to his country., An understatement to avoid pain., The sacrifice of a soldier is incarnation into the country., A,
"In the poem Viet Bac by To Huu, nostalgia for Viet Bac is compared to:", Missing my lover, Miss parents, Miss you friends, All are correct, A,
 Which of the following images in the poem does not clearly evoke the unique features of the Viet Bac people?, Red torch workers., The mother took her child to the field., The girl picked bamboo shoots alone., Man on high pass with knife in belt, A,
 Which of the following information is incorrect about author Nguyen Dinh Thi?, He was born in 1924., He is a poet who matured during the resistance war against America.,"Nguyen Dinh Thi is a multi-talented artist: a writer, poet, critic.", He was the General Secretary of the Vietnam Writers Association., B,
 Which of the following comments is incorrect about Che Lan Vien?," His poetry focused on rhythm, and he initiated a style of poetry that used only flat rhymes."," His real name is Phan Ngoc Hoan, born in 1920 in Cam An, Cam Lo, Quang Tri."," Che Lan Vien's poetic style is very clear and unique, most notably ""philosophical contemplation with intellectual beauty and the diversity and richness of poetic images created by an intelligent and talented pen."," After the Revolution, his poetry ""came into the lives of the people and the country, imbued with the light of the revolution"" and had obvious changes.", A,
 Which of the following is not a characteristic of Nguyen Duy's artistic style?," There is a harmonious combination of charm, lyricism with a strong worldly quality.", Calm and contemplative," Rich in epic, heroic and political qualities.",Look towards the beauty of simple life around us and there we see the sedimentation of eternal values., C,
" Which of the following assessments is reasonable when poet Xuan Quynh in the poem Waves wishes to ""Become a hundred small waves""?","Desire out of desperation, powerlessness before human limits.", Wish to become a wave to escape the painful life.," The wish of a person with great love, wants to live forever with love.", unrealistic wish, C,
" In the verse ""Are you gone, Uncle Ho?"", what rhetorical device did the poet use?", Exaggerate., Metaphor., Impersonal., understatement, D,
" In the essay The Ferryman on the Da River, Nguyen Tuan affirmed that the most valuable resource of the Northwest is what?", Underground mines., Da River water., The forests on both sides of the river., Indigenous people and lowland people contributed to building the Northwest., D,
"Which poet is not mentioned in the text Who Named the River? when the author talks about the Huong River as a ""poetic stream"" in the history of national literature?", To Huu, Cao Ba Quat, Huy Can, Tan Da, C,
 Which line correctly states the content structure of the text Who named the river? (Literature book 12)?," The text describes the Huong River with specific geographical features, closely associated with the material and spiritual life of the people of Hue city.","The text describes the Huong River in two basic states: fierce, powerful in the upper reaches and peaceful, gentle, and quiet when flowing down to the plains and especially when entering Hue city."," The text describes the Perfume River along its entire course (upstream, downstream to the plains and outskirts of Hue, into Hue city and out of Hue) and at the same time recreates the river in the history and poetry of the nation."," The text recreates the image of the Perfume River from its origin until it becomes a large river, closely associated with and becoming a symbol of Hue city.", C,
 Viet Bac is a poem full of nationalism because of what factors?," Promoting the strengths of six-eight poetry, the structure of folk songs, the melody of Vietnamese, and the repetition of folk language.", The lyrical melody sounds as sweet and passionate as the sound of a lullaby.," The rhythm of the poem is graceful, balanced, harmonious, easy to learn and remember.", Creative use of the pronouns I - I bring readers into the space of loving memories., A,
" In Vietnamese poetry, the rising tones include:"," Flat tone, sharp tone, asking tone, heavy tone"," Falling tone, rising tone, level tone, falling tone","Sharp tone, rising tone, falling tone, heavy tone"," Flat tone, heavy tone, falling tone, level tone", C,
 What awakened the desire to live happily that seemed dead in Mi's soul?, The bowl of wine that Mi drank on a spring day., Image of A Su going out., Flute call mate., Flute call mate., C,
 What is the greatest pain that Mi has to endure?, Had to work hard to pay off the debt of his parents.," Robbed of youth, love of freedom, human rights.", Had to go through a life of confinement like a prison in the house of the chief Pa Tra.," Tortured, tortured, brutally crushed.", B,
 Which of the following statements is true about the characteristics of To Hoai's artistic style?," Rich national color, poetic and emotional quality, language and writing rich in imagery."," Shows the writer's own sensitivity and exploration of social issues, rich in philosophical and political commentary."," Talented and erudite, profound ideas, unique expressions, rich in words and rich in imagery.", The writing style is both intellectual and modern., A,
" The ending of Kim Lan's short story ""The Beggar's Wife"" is the image"," The drumbeat of tax collection was urgent, piercing into the despair of the people.", The crows circled in flocks like dark clouds in the sky., The bitter rice porridge stuck in the throat and resentment appeared on everyone's faces., The hungry crowd and the fluttering red flag still haunted Trang's mind., D,
" What year was the story ""Rung Xa Nu"" written?", 1960, 1965, 1970, 1972, B,
Which of the following details does not tell the tragic fate of Tnu - the main character in the work Xa Nu Forest by Nguyen Trung Thanh?,Bang your head against a rock when you can't remember the words., Parents died early., Wife and children are dead.,Many wounds on the body., C,
" In court, when Judge Dau mentioned Phac, how did the fishmonger woman react?", burst into tears when hearing Judge Dau mention his son., jumped up and ran out of the court.," just keep quiet, bow your head and say nothing.", reacted strongly to the judge., A,
" In court, when meeting Judge Dau, what did the fishmonger woman beg for?", Please forgive the abusive husband., Please help me with my dilemma., Please judge fairly and put the evil husband in jail., Please do not force me to leave my abusive husband., D,
" Why, after many jobs, did Lu Xun finally choose writing as a career?", Because I want to quickly become famous., Because I want to make a lot of money., Because physical healing is not as important as mental healing., For the passion of art, C,
 What is the meaning of the dialogue between Truong Ba's soul and De Thich at the end of the excerpt?, Humans and fairies always have different views on life.,Conversation between mortal and fairy., The debate about life and death.," The desire to live beautifully, the desire to liberate the noble soul of Truong Ba. That is the desire to perfect one's personality.", D,
 Which of the following comments is most correct when talking about the character Truong Ba?," The gardener - a gentle, noble husband, father, and grandfather.", People depend on their children., Abusive husband and father., The farmer is short-sighted and thinks little., A,
 What is free speech?," In life, people may encounter situations that make them want (or need) to speak outside of the content they have carefully prepared in advance."," Oral presentation with prepared, pre-announced content focusing on a certain topic (scope) or theme (life content, life issues).", Oral presentation and additional presentation tools on a topic of your own choosing., All of the above., A,
" The short story ""Human Destiny"" was written in:", 1925, 1957, 1926, 1965, B,
"Why did Sokolov say: ""I buried on foreign soil, German soil, my last joy and hope""?","The Red Army soldier Sokolov suffered a thousand hardships. During the course of a year of fighting, he was slightly wounded twice, in the arms and legs. This was followed by two years of torture in German prisoner-of-war camps. ""Whenever I remember the inhuman torture I endured in Germany, whenever I think of my friends and comrades who died from torture in the concentration camps, my heart no longer beats in my chest but in my throat and I feel suffocated."""," In 1944, after escaping from the slavery of prisoners of war, Andrei Sokolov received a painful news: in June 1942, his wife and two daughters were killed by a fascist bomb. Returning to visit the workers' village, Sokolov saw that the family's once warm house was now nothing more than a bomb crater.","To defeat Nazi Germany, 25 million Soviet people, less than one-tenth of the population at that time, sacrificed themselves. Only about three percent of the young men returned from the front. For the sake of national independence and the survival of the people, Sokolov endured terrible losses."," The last hope that helped him cling to this life was Anatoni, a math student, an artillery captain, his beloved son who was with him in the battle for Berlin. And that last hope was also extinguished: ""On the morning of May 9, Victory Day, a German sniper killed my Anatoni..."".", D,
" In order for the Board of Directors to grasp the production situation, what type of documents must the workshops write and send to the Board of Directors every month?", Notification, Report, Recommendation, Report, D,
 The position relationship is:, The relationship between people of high status and people of low status., The relationship between people of low status and people of high status., Relationship between people of equal social status, All of the above relationships, C,
" Your hearts are good, but you are not businessmen…so you do not understand the hard work of businessmen…” which character is it?", Abusive husband., The fishmonger., Artist Phung., That guy, B,
" The meaning of the image: ""In the room where Mi lies, tightly closed, there is a window with a square hole the size of a hand. Whenever looking out, all I see is white, not knowing if it is fog or sunlight"" is described by To Hoai as", Through living space to highlight the character's suffering., shows that Mi had to live a life of a prisoner and gradually lost her human consciousness., Condemn the cruel treatment of My by the ruler.,Shows that Mi does not enjoy any happiness., B,
" Who wrote ""Letter to Students""?", General Vo Nguyen Giap, Uncle Ho, Nguyen Thi Minh Khai, Pham Van Dong, B,
"In the letter, how did Uncle Ho imagine the students on the first day of school of independent Vietnam?", Students are afraid and shy when they first go to a new class or new school.,The students cried because they had to leave their parents to go to a new school.," chaotic, optimistic scene, students burst into tears in the arms of teachers and friends"," The scene was bustling and jubilant, the students were happy because after so long, so many transfers, they were able to meet their teachers and friends again.", D,
" The reading exercise ""A Thousand Years of Civilization"" introduces the first university of our country. Which university is it?", Dong Do University, Thang Long University, Temple of Literature, Hanoi University, C,
" In the word ""Fatherland"", the word ""quoc"" means country, which of the following words ""quoc"" also has a similar meaning?", Nation, You Quoc, Quoc Co, National Industry, A,
 The antonym of peace is:, peaceful, Peace, war, quiet, C,
" Destroy, cancel, demolish... are antonyms of the words:", peace, maintain, unite, love, B,
" In the words ""field"", ""bronze statue"", ""thousand copper coins"", ""similar"". Which word ""dong"" means a large flat area of land used for plowing and growing crops?",field, bronze statue, thousand dong, homologous, A,
 How were black people treated under apartheid?, Black people are treated very badly.," They had to do hard, dirty work but the wages were too low, only 1/7 or 1/10 of the wages of white workers."," They have to live and receive medical treatment, go to school in separate areas, without enjoying any democratic freedom.", All of the above., D,
" In the following sentences, which sentence uses the word tongue in its original meaning?"," This blade is very sharp, be careful not to cut your hand.", The axe blade swung up just three times and the tree fell to the ground.,"When doing your personal hygiene in the morning, after brushing your teeth, don't forget to clean your tongue.", Suddenly a sword was pointed right at him., C,
"According to you, what is the most valuable thing and what arguments have you given to defend your opinion?"," The most precious thing is people because according to Quy, as long as there are people with smart brains and strength, they can do everything."," The most precious thing is time because according to teachers, time is more precious than gold and silver. With time, you can do everything."," The most precious thing is health because according to Quy, as long as you are healthy, you can do everything."," The most precious thing is gold because according to Quy everyone says it is as precious as gold, having gold means having money to buy rice.", D,
" According to Nam, what is the most precious thing and what arguments have you given to defend your opinion?"," The most precious thing is time, because according to Nam, time is the only thing in the world that humans cannot control."," The most precious thing is time, because according to teacher Nam, time is more precious than gold and silver. With time, you can produce rice, gold and silver."," The most precious thing is time, because according to Nam, everyone is controlled by time every day and must work hard so that the 24 hours of the day do not pass in vain."," The most precious thing is time, because according to Nam, time is something that exists unchangingly, never disappears, and everyone must cherish it.", B,
" In the article ""What is the most precious thing"", according to you Hung, what is the most precious thing in life?", rice, Yellow, time, everything is precious, A,
" Fill in the blanks with appropriate conjunctions: ""A full, big, red moon appeared on the horizon, behind a row of black bamboo trees.... a distant village.", and ... at .... of, but.... of.... that, and.....but.....of, at.....of.....which, A,
" Fill in the appropriate conjunction in the blank: White halo .... drought, moonlit .... rain", But, then, and, live, B,
 Fill in the appropriate conjunction in the blank: Her family's circumstances are very difficult.... Hang still tries to study well., should, because, But, and, C,
 What is the function of the body in a descriptive essay?, Retell the story, Describe appearance, Describe personality and activities, B and C are both correct, D,
" In the words below, which word is an adjective:", hold, hold, pour, hard, D,
 Which of the following words is a verb?, run, great, distant, big, A,
Who did little John buy the turquoise necklace for?, give to my dear mother, given to the sister who raised John since her mother died, given to the kind grandmother who raised John since her mother died, given to my aunt who is being treated in hospital, B,
 What are the folk songs that advise farmers to work hard in plowing?," People go to work to earn money,/ Now I go to work to earn money.","Plowing the fields at noon, Sweat pouring down like rain on the plowed fields."," Hey, don't leave your fields fallow, every inch of land is worth its weight in gold.", Waiting for the feet to be strong and the rocks to be soft. Calm sky and calm sea will calm the heart., C,
" When Mr. Thanh asked ""What nationality are you?"", how did Mr. Le answer?"," You ask strangely, I am Vietnamese", I have red blood and yellow skin flowing in me., I am a son of the Vietnamese people.,What a strange question. I am from whatever country you are from., D,
" In 1954, the cadres were attending the summary conference in Bac Giang when they received what order from the central government?", Uncle Ho is preparing to visit the conference., Reduce some people from attending the capital takeover class, Organize some people to attend the capital takeover class, Some individuals were assigned as teachers for literacy classes., B,
" When Uncle Ho suddenly visited the conference, how did the delegates react?", Delegates rushed out to welcome Uncle Ho.," The delegates were all silent, ashamed and bowed their heads."," The delegates were still discussing enthusiastically, completely unaware of Uncle Ho's presence.", The delegates stood at attention and saluted Uncle Ho according to the ritual., A,
" In the fairy tale The Star Fruit Tree, the younger brother is diligent and gentle, and .......", good too, have a brother, the elder brother is lazy and greedy, poor, C,
 What kind of official position is the Grand Tutor?,"Small village official, in charge of arresting and escorting criminals", A minor official in the district,The highest official in ancient times, All three answers above are wrong., C,
 The story of Grand Tutor Tran Thu Do was told during which dynasty?, Le Dynasty, Tran Dynasty, Dinh Dynasty, Nguyen Dynasty, B,
" What does Linh Tu Quoc Mau, wife of Grand Tutor Tran Thu Do, want to do?", Want to ask for a person to be a fishing official, I want to ask for a piece of land in the royal garden to grow flowers., Want to recommend niece to be a concubine in the palace, Want to get a wife for my son., A,
" In the story Special Sponsor of the Revolution, how is Mr. Do Dinh Thien introduced?", As a big capitalist in Hanoi, He is a famous intellectual but is admired by many people.," Chi Ne plantation in Lac Thuy district, Hoa Binh province is one of the famous plantations of Mr. Do Dinh Thien.", All three answers above are correct., D,
