Question,A,B,C,D,Answer,Grade,retained
Hành vi nào dưới đây không thể hiện trách nhiệm của công dân trong việc tham gia xây dựng Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam?,Anh G không vi phạm pháp luật,Anh C không tố giác tội phạm,H tham gia vào đội dân quân tự vệ của phường,Bác D tuyên truyền và vận động mọi người trong khu phố thực hiện tốt pháp luật,B,GDCD 11,True
"Anh A bị một tổ chức chuyên kích động, phá hoại an ninh đất nước mua chuộc và lôi kéo tham gia vào tổ chức đó. Nếu ở trường hợp của anh A, em sẽ chọn cách ứng xử nào dưới đây cho phù hợp?",Rủ thêm một sso người tham gia,Báo cho cơ quan nhà nước có thảm quyền biết,Lờ đi coi như không biết,Vui vẻ tham gia vào tổ chức đó,B,GDCD 11,True
Quyền nào dưới đây là một trong những nội dung của dân chủ trong lĩnh vực chính trị ?,Quyền sáng tác văn học,Quyền bình đẳng nam nữ,Quyền tự do báo chí,Quyền lao động,C,GDCD 11,True
Quyền lao động thể hiện dân chủ trong lĩnh vực nào dưới đây?,Kinh tế,Văn hóa,Chính trị,Xã hội,D,GDCD 11,True
Quyền phê bình văn học thể hiện dân chủ trong lĩnh vực,Văn hóa,Giáo dục,Chính trị,Xã hội,A,GDCD 11,True
Quyền nào dưới đây của công dân thể hiện dân chủ trong lĩnh vực xã hội?,Quyền được thông tin,Quyền được hưởng bảo hiểm xã hội,Quyền khiếu nại,Quyền tham gia quản lí nhà nước,B,GDCD 11,True
Nội dung nào dươi đây là một trong những mục tiêu của chính sách dân số nước ta ?,"Tuyên truyền, giáo dục biện pháp kế hoạch hóa gia đình",Tổ chức tốt bộ máy làm công tác dân số,Nâng cao chất lượng dân số,Phát triển nguồn nhân lực,C,GDCD 11,True
Nội dung nào dưới đây là một trong những phương hướng cơ bản của chính sách dân số ở nước ta?,Tăng cường bộ máy Nhà nước đối với công tác dân số,Tăng cường công tác lãnh đạo và quản lí đối với công tác dân số,Tiếp tục giảm tốc độ gia tằn dân số,Phân bố dân số hợp lí,B,GDCD 11,True
"Ở nước ta, thực hiện có hiệu quả chính sách dân số là nhằm mục đích nào dưới đây?","ổn định mọi mặt đời sống xã hội, phát triển kinh tế","Đảm bảo trạt tự, an toàn xã hôi","Thực hiện xóa đói, giảm nghèo",Thúc đẩy sản xuất phát triển,A,GDCD 11,True
"Nhà nước tạo điều kiện để mọi gia điình, cá nhân tự nguyện, chủ động tham gia công tác dân số nhằm mục tiêu nào dưới đây?",Phổ biến rộng rãi biện pháp kế hoạch hóa gia đình,Nâng cao chất lượng dân số,Tăng cường vai trò lãnh đạo và quản lí mình,Thực hiện xã hội hóa công tác dân số,D,GDCD 11,True
Mục tiêu phân bố dân cư hợp lí của chính sách dân số nước ta để,Giảm sự chênh lệch lao động giữa các vùng,"Khai thác tiềm năng và phát huy thế mạnh của từng vùng, miền",Hạn chế tập trung đông dân cư vào đô thị lớn,Giảm lao động thừa ở thành thị,B,GDCD 11,True
Quan niệm dân gian nào dưới đây ảnh hưởng xấu đến chính sách dân số của Nhà nước?,Cơn hơn cha là nhà có chức,Một giọt máu đào hơn ao nước lã,Cha mẹ sinh con trời sinh tính,Đông con hơn nhiều của,D,GDCD 11,True
Tình trạng thiếu việc làm ở nước ta hiện nay là,Vấn đề rất bức xúc ở cả nông thôn và thành thị,Nội dung quan tâm ở các thành phố lớn,Điều đáng lo ngại ở các đô thị,Vấn đề cần giải quyết ở khu vực đồng bằng,A,GDCD 11,True
Nội dung nào dưới đay đúng với tình hình việc làm hiện nay ở nước ta,Tạo được nhiều việc làm cho người lao động,Tỉ lệ thất nghiệp thấp,Thiếu việc làm cho người lao động ở thành phố lớn,Tình trạng thiếu việc làm ở nông thông và thành thị,D,GDCD 11,True
Hoạt động nòa dưới đây góp phần bảo vệ môi trường?,"Thu gom, phân loại, xử lí chất thỉa đúng nơi quy định",Chon chất thải độc hại vào đất,Đốt các loại chất thải,"Tái chế, sử dụng các loại chất thải",A,GDCD 11,True
Nhà nước quy điịnh mọi tài nguyên đưa vào sử dụng đều phải nọp thuế hoặc trả tiền thuê là nhằm,Hạn chế sử dụng tài nguyên,Sử dụng hợp lí tài nguyên,Tăng ngân sách nhà nước,Ngăn chặn khai thác tài nguyên,C,GDCD 11,True
Một trong những đặc trưng cơ bản của chủ nghĩa xã hội pử Việt Nam là,"Có nền văn hóa tiến bộ, đậm đà bản sắc dân tộc",Có nền văn hóa hiện đại,Có di sản văn hóa vật thể và phi vật thể,Có nguồn lao động dồn dào,A,GDCD 11,True
Chủ trương “ hòa nhập nhưng không hoà tan” trong tiến trình hội nhập với văn hóa thế giới thể hiện đặc trưng cơ bản nào dưới đây của chủ nghĩa xã hội ở nước ta?,"Là một xã hộ dân giàu, nước mạnh, dân chủ, công bằng, văn minh",Do nhân dân làm chủ,Có quan hệ hữu nghị và hợp tác với nhân dân các nước trên thế giới,"Có nền văn hóa tiên tiến, đậm đà bản sắc dân tộc",D,GDCD 11,True
Công cụ nào dưới đây là hữu hiệu nhất để Nhà nước quản lí xã hội,Kế hoạch,Chính sách,Pháp luật,Chủ trương,C,GDCD 11,True
"Nhà nước pháp quyền có nghĩa là, mọi hoạt động của các cơ quan nhà nước, tổ chức xã hội và mọi công dân đều được thực hiện trên cơ sở",Pháp luật,Chính sách,Dư luận xã hội,Niềm tin,A,GDCD 11,True
Chức năng cơ bản của Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam là,Trấn áp các lực lượng phá hoại,Tổ chức và xây dựng,Giữ gìn chế độ xã hội,Duy trì an ninh quốc phòng,B,GDCD 11,True
Dân chủ trực tiếp là nhân dân tham gia trực tiếp quyết điịnh công việc của,Nhà nước,Cá nhân,Công chức,Nhân dân,A,GDCD 11,True
Hành vi nào dưới đây không phải là hình thức dân chủ trực tiếp?,Ứng cử đại biểu Hội đồng nhân dân phường,"Nhân dân tham gia thảo luận, góp ý kiến sửa đổi Hiến pháp","Nhân dân tham gia giám sát, kiểm tra hoạt động của cơ quan nhà nước ở địa phương",Đại biểu Quốc hội thay mặt nhân dân tham gia xây dựng các đạo luật,D,GDCD 11,True
"Khi cán bộ dân số đến một gia đình để tuyên truyền về thực hiện kế hoạch hóa gia đình, nhưng họ không quan tâm và không hợp tác. Theo em, cán bộ dân số nên làm theo cách nào dưới đây?","Vẫn nhiệt tình giải thích, thuyết phục họ hiểu và cộng tác",Cán bộ dân số đứng dậy và ra về,Mời gia đình lên Ủy ban nhân dân xã giải quyết,"Phê bình, kỉ luật gia đình đó",A,GDCD 11,True
Một trong những mục tiêu của chính sách giải quyết việc làm ở nước ta là,"Thức đẩy phát triển sản xuất, dịch vụ",Sử dụng có hiệu quả nguồn vốn,Đẩy mạnh xuất khẩu lao động,Phát triển nguồn nhân lực,D,GDCD 11,True
Một trong nhưng phương hướng cơ bản của chính sách giải quyết việc làm ở nước ta là,Khuyến khích người lao động tự học nâng cao trình độ,Khuyến khích làm giàu theo pháp luật,Khuyến khích đào tạo nghề cho người lao động,Khuyến khích các doanh nghiệp tạo ra nhiều việc làm,B,GDCD 11,True
Hoạt động bảo vệ môi trường nào dưới đây không được khuyến khích?,"Sản xuất, kinh doanh, tiêu dùng sản phẩm thân thiện với môi trường","Giảm thiểu, thu gom, tái sử dụng và tái chế chất thải",Sử dụng năng lượng sạch,Chôn lấp các loại rác thải vào đất,D,GDCD 11,True
Một trong những phương hướng cơ bản của chính sách tài nguyên và bảo vệ môi trường là ?,"Giữ nguyên tình trạng tài nguyên, không khai thác và sử dụng",Ngăn cấm các hoạt động có ảnh hưởng đến tài nguyên và môi trường,"Chủ động phòng ngừa, ngăn chặn ô nhiễm, cải thiện môi trường, bảo tồn thiên nhiên","Đưa công nghệ hiện đại vào khai thác tài nguyên, bảo vệ môi trường",C,GDCD 11,True
Hành vi nào dưới đây không phải là hành vi bảo vệ môi trường?,Quản lí chất thải,"Phòng, ngừa, ứng phó với sự cố môi trường",Khai thác gỗ bừa bãi,Phân loại rác,C,GDCD 11,True
"Biện pháp nào dưới đây góp phần bảo vệ động vật hoang dã, quý hiếm?",Chăm sóc chúng thật tốt khi nuôi nhốt làm cảnh,Thả động vật lại môi trường sống của chúng,"Tổ chức nuôi nhốt các động vật hoang dã, quý hiếm","Thu mua những động vật hoang dã, quý hiếm",B,GDCD 11,True
"Để bảo vệ và phát triển rừng, pháp luật nghiêm cấm những hành vi nào dưới đây?","Chặt phá rừng, khai thác rừng trái phép","Trồng rừng, phát triển các khu bảo tồn thiên nhiên",Bảo vệ rừng đầu nguồn,Mở rộng diện tích rừng,A,GDCD 11,True
Nhiệm vụ của giáo dục và đào tạo ở nước ta là,Đào tạo con người Việt Nam phát triển toàn diện,"Nâng cao dân trí, đào tạo nhân lực, bồi dưỡng nhân tài","Phục vụ sự nghiệp công nghiệp hóa, hiện đại hóa đất nước","Giữ gìn, phát triển và truyền bá văn minh nhân loại",B,GDCD 11,True
Nhà nước huy động mọi nguồn lực để phát triên giáo dục và đào tạo là thực hiện nội dung của phương hướng?,Mở rông quy mô giáo dục,Ưu tiên đầu tư cho giáo dục,Thực hiện công bằng xã hội trong giáo dục,Xã hội hóa sự nghiệp giáo dục,B,GDCD 11,True
Nội dung nào dưới đay thuộc phương hướng của chính scahs giáo dục và đào tạo nước ta?,Chủ động và tích cực hội nhập kinh tế quốc tế,Củng cố và tăng cường quan hệ với các nước,Xây dựng tiềm lực khoa học và công nghệ,Tăng cường hợp tác quốc tế về giáo dục và đào tạo,D,GDCD 11,True
Phát triển giáo dục là sự nghiệp của,Nhà nước và của toàn dân,Đảng và Nhà nước,Bộ Giáo dục và Đào tạo,Nhà nước và Bộ Giáo dục và Đào tạo,A,GDCD 11,True
"Nhà nước có chính sách đúng đắn trong việc phát triển, đào tạo, bồi dưỡng, sử dụng nhân tài là nhằm","Nâng cao chất lượng, hiệu quả giáo dục và đào tạo",Ưu tiên đầu tiên cho giáo dục,Thực hiện công bằng xã hội trong giáo dục,Mở rộng quy mô giáo dục,A,GDCD 11,True
"Muốn nâng cao chất lượng, hiệu quả giáo dục và đào tạo, chúng ta phải","Thực hiện giáo dục toàn diện, đổi mới nội dung, phương pháp dạy học",Ưu tiên đầu tư cho giáo dục,Tăng cường hợp tác quốc tế và giáo dục,Xã hội hóa sự nghiệp giáo dục,A,GDCD 11,True
Một vật dao động điều hòa khi đang chuyển động từ vị trí cân bằng đến vị trí biên âm thì,vận tốc và gia tốc cùng có giá trị dương.,độ lớn vận tốc và độ lớn gia tốc cùng giảm.,vectơ vận tốc ngược chiều với vectơ gia tốc.,độ lớn vận tốc tăng và độ lớn gia tốc không thay đổi.,C,Vật lý 11,True
Chọn phương án đúng nhất. Pha ban đầu của dao động điều hoà phụ thuộc vào,gốc thời gian.,trục tọa độ.,biên độ dao động.,gốc thời gian và trục tọa độ.,D,Vật lý 11,True
Trong dao động điều hòa của một vật thì tập hợp ba đại lượng nào sau đây không thay đổi theo thời gian?,"Vận tốc, li độ, gia tốc.","Động năng, biên độ, li độ.","Động năng, thế năng, cơ năng.","Cơ năng, biên độ, chu kì.",D,Vật lý 11,True
Một con lắc đơn dao động điều hòa với biên độ góc α0. Lấy mốc thế năng ở vị trí cân bằng. Ở vị trí con lắc có động năng bằng thế năng thì li độ góc của nó bằng:,±α0/2√2,±α0/2√3,±α0/√2,±α0/2,C,Vật lý 11,True
Nhận xét nào sau đây là đúng nhất?,Tốc độ truyền sóng v là tốc độ lan truyền dao động trong môi trường.,Bước sóng λ là quãng đường mà sóng truyền được trong một chu kì.,"Đối với mỗi môi trường, tốc độ truyền sóng v có một giá trị không đổi.","Cả A, B và C đều đúng.",D,Vật lý 11,True
"Trên một sợi dây dài đang có sóng ngang hình sin truyền qua theo chiều dương của trục Ox. Tại thời điểm t<sub>0</sub>, một đoạn của sợi dây có hình dạng như hình bên. Hai phần tử dây tại M và O dao động lệch pha nhau",3π/4,π/2,π/5,5π/6,A,Vật lý 11,True
Chọn phát biểu sai trong các phương án sau:,Dao động điều hòa thì tuần hoàn.,Dao động là chuyển động qua lại quanh một vị trí đặc biệt gọi là vị trí cân bằng.,Dao động điều hòa là dao động trong đó li độ của vật là một hàm tan (hay cotan) của thời gian.,"Dao động tuần hoàn là dao động mà trạng thái của vật được lặp lại như cũ, theo hướng cũ sau những khoảng thời gian bằng nhau xác định.",C,Vật lý 11,True
Hai điện tích điểm cùng dấu có cùng độ lớn 3.10-7 C đặt cách nhau 1 m trong chân không thì chúng,"đẩy nhau một lực 8,1.10-4 N.","hút nhau một lực 8,1.10-4 N.",đẩy nhau một lực 4 N.,đẩy nhau một lực 4.10-4 N.,A,Vật lý 11,True
Hai điện tích trái dấu sẽ:,hút nhau.,đẩy nhau.,không tương tác với nhau.,vừa hút vừa đẩy nhau.,A,Vật lý 11,True
"Hai điện tích q1 = 6.10^-8C và q2= 3.10^-8C đặt trong chân không, để tương tác nhau bằng lực có độ lớn 1,8.10^-2 N thì chúng phải đặt cách nhau","0,3 cm",3 cm,3 m,"0,03 m",D,Vật lý 11,True
"Một con lắc đơn gồm sợi dây có khối lượng không đáng kể, không dãn, có chiều dài l và viên bi nhỏ có khối lượng m. Kích thích cho con lắc dao động điều hoà ở nơi có gia tốc trọng trường g. Nếu chọn mốc thế năng tại vị trí cân bằng của viên bi thì thế năng của con lắc này ở li độ góc α có biểu thức là",mgl(1-sinα),mgl(cosα-sinα),mgl(sinα-cosα),mgl(sinα+cosα),B,Vật lý 12,True
"Hai con lắc đơn dao động điều hòa tại cùng một vị trí trên Trái Đất. Chiều dài và chu kì dao động của con lắc đơn lần lượt là và T<sub>1</sub>, T<sub>2</sub>. Biết <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msub><mi>T</mi><mn>1</mn></msub><msub><mi>T</mi><mn>2</mn></msub></mfrac><mo>=</mo><mfrac><mn>1</mn><mn>2</mn></mfrac></math>. Hệ thức đúng là",1/4,1/8,5/12,2/5,A,Vật lý 12,True
Một con lắc đơn dao động điều hòa với biên độ góc α0. Lấy mốc thế năng ở vị trí cân bằng. Ở vị trí con lắc có động năng bằng thế năng thì li độ góc của nó bằng:,±α0√2,±α0√3,±α0√2,±α0/2,C,Vật lý 12,True
"Tại một nơi xác định, chu kỳ dao động điều hòa của con lắc đơn tỉ lệ thuận với",1/g,l,√g,√l,D,Vật lý 12,True
"Một con lắc đơn được treo tại một điểm cố định. Kéo con lắc ra khỏi vị trí cân bằng để dây treo hợp với phương thẳng đứng một góc 60° rồi buông, bỏ qua ma sát. Chuyển động của con lắc là",chuyển động tròn,chuyển động tròn đều,dao động tuần hoàn,dao động điều hòa,C,Vật lý 12,True
Phát biểu nào sau đây là sai khi nói về dao động của con lắc đơn (bỏ qua lực cản)?,Nếu biên độ dao động nhỏ thì dao động của con lắc đơn là dao động điều hòa.,Khi vật nặng đi qua vị trí cân bằng thì trọng lực tác dụng lên nó cân bằng với lực căng của sợi dây.,Chuyển động của con lắc từ vị trí biên về vị trí cân bằng là nhanh dần.,Chuyển động của con lắc từ vị trí cân bằng ra vị trí biên là chậm dần.,B,Vật lý 12,True
"Một con lắc đơn đang dao động điều hòa với biên độ góc α0 tại nơi có gia tốc trọng trường là g. Biết lực căng dây lớn nhất bằng 1,02 lần lực căng dây nhỏ nhất. Giá trị của α0 là","3,1","5,4","6,6","7,2",C,Vật lý 12,True
Nhận xét nào sau đây là đúng khi nói về dao động cưỡng bức?,Dao động cưỡng bức có biên độ không đổi.,Tần số của dao động cưỡng bức bằng tần số của lực cưỡng bức.,Dao động chịu tác dụng của một ngoại lực cưỡng bức tuần hoàn gọi là dao động cưỡng bức.,"Cả A, B và C đều đúng.",D,Vật lý 12,True
"Một vật dao động cưỡng bức dưới tác dụng của ngoại lực F = F<sub>0</sub>cospft (với F<sub>0</sub> và f không đổi, t tính bằng s). Tần số dao động cưỡng bức của vật là","0,2f","0,5f",f,"1,2f",B,Vật lý 12,True
"Hai chất điểm dao động điều hòa, cùng phương cùng tần số với li độ lần lượt là x₁ và x₂. Li độ của hai chất điểm thỏa mãn điều kiện: 1,5x₁² + 2x₂² = 18cm². Tính biên độ dao động tổng hợp của hai dao động trên.",√21cm,√11cm,√7cm,√17cm,A,Vật lý 12,True
"Cho hai dao động điều hòa cùng phương với các phương trình lần lượt là x₁ = A₁cos(ωt + 0,35) và x₂ = A₂cos(ωt - 1,57). Dao động tổng hợp của hai dao động này có phương trình x = 20cos(ωt + φ) cm. Giá trị cực đại của (A₁ + A₂) gần giá trị nào sau đây nhất?",35 cm,42 cm,55 cm,60 cm,A,Vật lý 12,True
Một chất điểm tham gia đồng thời hai dao động điều hòa trên trục Ox có phương trình x₁ = A₁cos(10t) và x₂ = A₂cos(10t + φ₂). Phương trình dao động tổng hợp x = A₁√3cos(10t + φ) trong đó φ₂ - φ = π/6. Tỉ số φ/φ₂ bằng,2,"0,5",1,"1,5",B,Vật lý 12,True
"Một vật có khối lượng 0,5 kg thực hiện đồng thời hai dao động điều hòa cùng phương, cùng tần số góc 4π rad/s, x₁ = A₁cos(ωt + π/6) cm và x₂ = 4sin(ωt - π/3) cm. Biết hợp lực tác dụng lên vật có độ lớn cực đại là 2,4 N. Biên độ A₁ có giá trị","1,5 cm","3,4 cm",5 cm,7 cm,D,Vật lý 12,True
Sóng ngang là,sóng trong đó các phần tử của môi trường dao động theo phương trùng với phương truyền sóng.,sóng truyền theo trục hoành của trục tọa độ.,sóng trong đó các phần tử của môi trường dao động theo phương vuông góc với phương truyền sóng.,sóng lan truyền theo phương nằm ngang.,C,Vật lý 12,True
Nhận xét nào sau đây không đúng khi nói về sóng cơ học?,Sóng cơ là dao động cơ lan truyền trong một môi trường.,Sóng cơ truyền được trong chân không.,Biên độ sóng tại một điểm nhất định trong môi trường có sóng truyền qua là biên độ dao động của các phần tử vật chất tại đó.,Năng lượng sóng là năng lượng dao động của các phần tử của môi trường có sóng truyền qua.,B,Vật lý 12,True
Sóng ngang truyền được trong các môi trường,rắn và khí.,lỏng và khí.,rắn và bề mặt chất lỏng.,"rắn, chân không.",C,Vật lý 12,True
Sóng dọc truyền được trong các môi trường,rắn và lỏng.,lỏng và khí.,"rắn, lỏng và khí.","rắn, lỏng, khí và chân không.",C,Vật lý 12,True
Nhận xét nào sau đây là đúng nhất?,Tốc độ truyền sóng v là tốc độ lan truyền dao động trong môi trường.,Bước sóng λ là quãng đường mà sóng truyền được trong một chu kì.,"Đối với mỗi môi trường, tốc độ truyền sóng v có một giá trị không đổi.","Cả A, B và C đều đúng.",D,Vật lý 12,True
"Trên một sợi dây dài đang có sóng ngang hình sin truyền qua theo chiều dương của trục Ox. Tại thời điểm t₀, một đoạn của sợi dây có hình dạng như hình bên. Hai phần tử dây tại M và O dao động lệch pha nhau",3π/4,π/2,π/5,5π/6,A,Vật lý 12,True
"Hai nguồn sóng kết hợp là hai nguồn sóng dao động cùng phương, cùng",biên độ,tần số,pha ban đầu,tần số và có hiệu số pha không đổi theo thời gian,D,Vật lý 12,True
Trong giao thoa của hai nguồn kết hợp có bước sóng λ. Trên đoạn có chiều dài l thuộc đường thẳng nối hai nguồn có N cực đại liên tiếp. Ta luôn có,2N+1λ,1/2Nλ,N-1λ/2,N-1λ,C,Vật lý 12,True
"Hai điểm M, N cùng nằm trên một phương truyền sóng cách nhau một khoảng λ/3. Tại thời điểm t, khi li độ dao động tại M là uM = +3cm thì li độ dao động tại N là uN = -3cm. Biên độ sóng có giá trị là",2 cm,3 cm,2√3 cm,3√2 cm,C,Vật lý 12,True
Phát biểu nào sau đây không đúng khi nói về sóng dừng?,Các điểm nằm trên một bụng thì dao động cùng pha.,Trong sóng dừng có sự truyền pha từ điểm này sang điểm khác.,Điểm bụng là điểm mà sóng tới và sóng phản xạ cùng pha.,Điểm nút là điểm mà sóng tới và sóng phản xạ ngược pha.,B,Vật lý 12,True
Trong các hệ sau đây hệ nào không phải hệ bất phương trình bậc nhất một ẩn,x+2y>3,x³+2y≤3,-2x+2y>0,"x≥0, 5x+y<0, y+2≥0",B,Toán 10,True
Bất phương trình nào đây là bất phương trình bậc nhất hai ẩn,3x - 2y = 4,x – 2y<sup>2</sup> &lt; 3,x – y + 1 ≥ 2x - 1,2x + y<sup>4</sup> – 3 &lt; 0,C,Toán 10,True
Cặp số (2; – 3) không là nghiệm của bất phương trình nào sau đây?,-3x + 2y + 1 < 0,2x - y - 3 > 0,x - 2y + 1 ≤ 0,4x - 2y - 14 ≥ 0,C,Toán 10,True
Nửa mặt phẳng là miền nghiệm của bất phương trình – x + 2 + 2(y – 2) < 2(1 – x) chứa điểm nào trong các điểm sau:,(0; 3),(2; 1),(4; 2),(1; -1),D,Toán 10,True
Có bao nhiêu giá trị nguyên dương của m để cặp số (– 2m; 1) là nghiệm của bất phương trình 2x – y – 3 > 0?,0,1,2,Vô số,A,Toán 10,True
Miền nghiệm của bất phương trình 4(x – 1) + 5(y – 3) > 2x – 9 là nửa mặt phẳng không chứa điểm nào sau đây,(0; 3),(1; 2),(- 1; 1),(2; 5),C,Toán 10,True
Phần tô đậm trong hình vẽ dưới đây (kể cả đường thẳng d) biểu diễn miền nghiệm của bất phương trình.,- 2x + y ≥ 0,2x + y ≥ 0,- 2x - y ≥ 1,x + 2y ≥ 0,A,Toán 10,True
Giá trị lớn nhất của biết thức F(x; y) = x – 2y với điều kiện 0≤y≤4 là,-6,2,1,0,C,Toán 10,True
"Câu 4. Cho tam giác ABC có a = 3, b = 4, c = 5. Tính diện tích tam giác ABC.",9,6,12,8,B,Toán 10,True
Cho tam giác ABC. Tính P = sinA.cos(B + C) + sin(B + C).cosA,0,1,-1,"0,5",A,Toán 10,True
Tính giá trị biểu thức P = sin30°.cos15° + sin150°.cos165°,0,1,-1,"0,5",A,Toán 10,True
"Tam giác ABC có AB = √6 - √2, BC = √3, CA = √2. Tính số đo góc A.",60°,90°,120°,30°,C,Toán 10,True
"Tính diện tích tam giác ABC có b = 2, B = 30°, C = 45°.",1 + √3,1 – √3,(1 + √3)/2,(1 - √3)/2,A,Toán 10,True
"Câu 14. Cho tam giác ABC có AB = 5, AC = 6, BC = 7. Tính cosB.",11/7,17/35,19/35,13/7,C,Toán 10,True
Cho góc α biết sinα + cosα = 5/4. Tính A = sinα.cosα,9/32,7/32,2/39,9/37,A,Toán 10,True
"Tam giác ABC có BC = a, AC = b, AB = c. Các cạnh a, b, c liên hệ với nhau bằng đẳng thức b.( b<sup>2</sup> – a<sup>2</sup> ) = c.( a<sup>2</sup> – c<sup>2 </sup>). Tính <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mtext>BAC</mtext><mo>^</mo></mover></math>.",120°;,90°;,30°;,60°.,D,Toán 10,True
Cho 3cosα – sinα = 1; 0° < α < 90°. Tính tanα.,4/3,3/4,4/5,5/4,A,Toán 10,True
Trên nóc tòa nhà có một cột ăng – ten cao 5m. Từ vị trí quan sát A cao 7m so với mặt đất có thể quan sát được đỉnh B và chân C của cột ăng – ten dưới góc 50° và 40° so với phường nằm ngang. Chiều cao của tòa nhà gần nhất với giá trị nào sau đây?,12m;,19m;,29m;,24m;,B,Toán 10,True
"Trong mặt phẳng tọa độ Oxy, cho hai điểm M(3; -1) và N(2; -5). Điểm nào sau đây thẳng hàng với M, N?",P(0; 13),Q(1; -8),H(2; 1),K(3; 1),B,Toán 10,True
Điền từ thích hợp vào dấu (…) để được mệnh đề đúng. “Hai vectơ ngược hướng thì …”,có giá song song;,cùng phương;,có độ dài bằng nhau;,có giá trùng nhau;,B,Toán 10,True
Có bao nhiêu cặp vectơ không cùng phương trên hình vẽ?,3,2,1,0,A,Toán 10,True
"Trong mặt phẳng tọa độ Oxy, cho B(1; 2) và C(3; -1). Độ dài BÌC là:",5,3,√13,√15,C,Toán 10,True
"Trong mặt phẳng tọa độ Oxy, cho tam giác ABC có G là trọng tâm. Cho tọa độ các điểm A(1;3), B(2;4), G(-3;2). Tọa độ điểm C là:",C(0; 3);,C(-6; -5);,C(-12; -1);,C(0; 9);,C,Toán 10,True
"Góc giữa vectơ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mi>a</mi><mo>→</mo></mover><mfenced><mrow><mo>−</mo><mn>1</mn><mo>;</mo><mo>−</mo><mn>1</mn></mrow></mfenced></math> và vecto <math xmlns=""http://www.w3.org/1998/Math/MathML""><mover accent=""true""><mi>b</mi><mo>→</mo></mover><mfenced><mrow><mo>−</mo><mn>1</mn><mo>;</mo><mn>0</mn></mrow></mfenced></math> có số đo bằng:",90°.,0°.,135°.,45°.,D,Toán 10,True
"Trong mặt phẳng tọa độ Oxy, cho điểm A(-1; 3), B(0; 4) và C(2x – 1; 3x^2). Tổng các giá trị của x thỏa mãn AB→.AC→ = 2",-2/3,-8/3,-5/3,1,A,Toán 10,True
"Trong mặt phẳng tọa độ Oxy, cho hai điểm M(3; -1) và N(2; -5). Điểm nào sau đây thẳng hàng với M, N?",P(0; 13),Q(1; -8),H(2; 1),K(3; 1),B,Toán 10,True
Tọa độ đỉnh I của parabol (P): y = x2 + 8x + 12 là,I(– 4; – 4),I(– 1; – 1),I(– 4; 4),I(4; 4),A,Toán 10,True
Nghiệm của phương trình 2x – 3 ≥ 0,5,-3,6,4,C,Toán 10,True
Tổng các nghiệm của phương trình x² – 2x + 3√(x² – 2x – 3) = 7 là:,1,0,2,2√2,C,Toán 10,True
Tập xác định của hàm số y = √(x-2) + 3√((x^2)-1)/3 là,2; +∞,1; +∞,-∞; 1 ∪ 2; +∞,1; 2 ∪ 3; +∞,A,Toán 10,True
Cho tập hợp E = {x ∈ ℕ | x là ước chung của 20 và 40}. Tập hợp E có bao nhiêu phần tử?,4,5,3,2,B,Toán 10,True
Tập hợp B = {0; a; b} có bao nhiêu tập con?,5,6,7,8,D,Toán 10,True
x ∈ ℝ: x2 + 2 > 12. Mệnh đề nào sau đây đúng?,P(2),P(1),P(3),P(4),D,Toán 10,True
Câu nào sau đây không phải là mệnh đề chứa biến?,x2 + x – 1 > 0,4 < 5,x là số tự nhiên,x + 6 = 12,B,Toán 10,True
Có bao nhiêu giá trị nguyên m thỏa mãn A ∩ B = ∅.,3987,3988,3989,2020,C,Toán 10,True
Trong đoạn [-2020; 2021] có bao nhiêu giá trị của x để mệnh đề chứa biến P(x) là mệnh đề đúng?,2020,2021,2022,2023,A,Toán 10,True
Một tứ giác lồi có số đo các góc lập thành một cấp số nhân. Biết rằng số đo của góc nhỏ nhất bằng 1/9 số đo của góc nhỏ thứ ba. Số đo của các góc trong tứ giác đó lần lượt là,5°; 15°; 45°; 225°,9°; 27°; 81°; 243°,7°; 21°; 63°; 269°,8°; 32°; 72°; 248°,B,Toán 11,True
Cho cấp số nhân . Dãy số nào dưới đây không phải là cấp số nhân?,"a1, a3, a5, ..., an+1, ...","a1−3, a2−3, a3−3, ..., an−3, ...","2a1, 2a2, 2a3, ..., 2an, ...","∛a1, ∛a2, ∛a3, ..., ∛an, ...",B,Toán 11,True
Gọi S là tập hợp tất cả các giá trị của tham số m để phương trình x^4 − (m+1)x^2 + m = 0 có 4 nghiệm phân biệt lập thành cấp số cộng. Tổng giá trị của các phần tử thuộc S là,91/9,28/9,13/9,82/9,D,Toán 11,True
Tìm chữ số hàng đơn vị của u2018?,6,9,4,3,D,Toán 11,True
Dãy số nào sau đây là một cấp số nhân?,"2, 4, 6, 8, ....","2, 4, 8, 16, ...","1, 2, 3, 4, ...","1, 3, 5, 7, ....",B,Toán 11,True
"Cho cấp số nhân có u1=2, q=3. Khi đó số hạng thứ 3 của cấp số nhân là",12,8,54,18,D,Toán 11,True
Cho cấp số nhân có  u5+u19=90. Tính tổng của 23 số hạng đầu tiên của cấp số cộng trên.,1030.,1025.,1035.,1040.,A,Toán 11,True
