Question,A,B,C,D
Phương tiện giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?,Đi về phía bên trái,Đi về phía bên phải,Đi ở giữa,
"Trên đường có nhiều làn đường, khi điều khiển phương tiện ở tốc độ chậm bạn phải đi ở làn đường nào?",Đi ở làn đường phải trong cùng,Đi ở làn phía bên trái,Đi ở làn giữa,Đi ở bất cứ làn nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác
"Hành vi vượt xe tại các vị trí có tầm nhìn hạn chế, đường vòng, đầu dốc có bị nghiêm cấm hay không?",Không bị nghiêm cấm,Không bị nghiêm cấm khi rất vội,Bị nghiêm cấm,Không bị nghiêm cấm khi khẩn cấp
"Khi lái xe trong khu đô thị và đông dân cư trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi như thế nào trong các trường hợp dưới đây?",Từ 22 giờ đến 5 giờ sáng,Từ 5 giờ sáng đến 22 giờ,Từ 23 giờ đêm đến 5 giờ sáng hôm sau,
Người lái xe sử dụng đèn như thế nào khi lái xe trong khu đô thị và đông dân cư vào ban đêm?,Bất cứ đèn nào miễn là mắt nhìn rõ phía trước,Chỉ bật đèn chiếu xa (đèn pha khi không nhìn rõ đường),"Đèn chiếu xa (đèn pha khi đường vắng, đèn chiếu pha gần (đèn cốt) khi có xe đi ngược chiều",Đèn chiếu gần (đèn cốt)
"Hành vi lắp đặt, sử dụng còi, đèn không đúng thiết kế của nhà sản xuất đối với từng loại xe cơ giới có được phép hay không?",Được phép,Không được phép,Được phép tùy theo trường hợp,
"Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn khác thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?",Phải đảm bảo phụ tùng do đúng nhà sản xuất đó cung cấp,Phải được chấp thuận của cơ quan có thẩm quyền,Phải là xe đăng ký và hoạt động tại các khu vực có địa hình phức tạp,
"Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật Giao thông đường bộ?","Được phép sản xuất, sử dụng khi bị mất biển số","Được phép mua bán, sử dụng khi bị mất biển số","Nghiêm cấm sản xuất, mua bán sử dụng trái phép",
Người lái xe không được vượt xe khác khi gặp trường hợp nào ghi ở dưới đây?,"Trên cầu hẹp có một làn xe. Nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ",Trên cầu có từ 02 làn xe trở lên; nơi đường bộ giao nhau không cùng mức với đường sắt; xe được quyền ưu tiên đang đi phía trước nhưng không phát tín hiệu ưu tiên,Trên đường có 2 làn đường được phân chia làn bằng vạch kẻ nét đứt,
"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?",Được phép,Không được phép,Tùy từng trường hợp,
Bạn đang lái xe phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?,Không được phép,Được vượt khi đang trên cầu,Được phép vượt khi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông,Được vượt khi đảm bảo an toàn
Bạn đang lái xe phía trước có một xe cứu thương đang phát tín hiệu ưu tiên có được phép vượt hay không?,Không được vượt,Được vượt khi đang trên cầu,Được phép vượt khi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông,Được vượt khi đảm bảo an toàn
Người lái xe không được quay đầu xe trong các trường hợp nào dưới đây?,"Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt","Ở phía trước hoặc phía sau của phần đường dành cho người đi bộ qua đường, trên đường quốc lộ, tại nơi đường bộ giao giao nhau không cùng mức với đường sắt",Cả ý 1 và ý 2,
"Bạn đang lái xe trong khu dân cư, có đông xe qua lại, nếu muốn quay đầu xe bạn cần làm gì để tránh lại, nếu muốn quay đầu xe bạn cần làm gì để tránh ùn tắc và đảm bảo an toàn giao thông?",Đi tiếp đến điểm giao cắt gần nhất hoặc nơi có biển báo cho phép quay đầu xe,Bấm đèn khẩn cấp và quay đầu xe từ từ bảo đảm an toàn,Bấm còi liên tục khi quay đầu xe để cảnh báo các xe khác,Nhờ một người ra hiệu giao thông trên đường Chậm lại trước khi quay đầu xe
Người lái xe không được lùi xe ở những khu vực nào dưới đây?,Ở khu vực cho phép đỗ xe,Ở khu vực cấm dừng và trên phần đường dành cho người đi bộ qua đường,"Nơi đường bộ giao nhau, đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ, đường cao tốc",Cả ý 2 và ý 3
"Người điều khiển phương tiện giao thông trên đường phố có được dừng xe, đỗ xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước hay không?","Đường dừng xe, đỗ xe trong trường hợp cần thiết","Không được dừng xe, đỗ xe","Được dừng xe, không được đỗ xe",
"Khi xe đã kéo 1 xe hoặc xe đã kéo 1 rơ moóc, bạn có được phép kéo thêm xe (kể cả xe thô sơ) hoặc rơ moóc thứ hai hay không?",Chỉ được thực hiện trên đường quốc lộ có hai làn xe một chiều,Chỉ được thực hiện trên đường cao tốc,Không được thực hiện ban ngày,Không được phép
"Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?",Được phép,"Nếu phương tiện được kéo, đẩy có khối lượng nhỏ hơn phương tiện của mình",Tùy trường hợp,Không được phép
"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép không?",Được phép,Tùy trường hợp,Không được phép,
"Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?","Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy",Buông một tay; sử dụng xe để chở người hoặc hàng hóa; để chân chạm xuống đất khi khởi hành,Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ,Chở người ngồi sau dưới 16 tuổi
"Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?","Được mang vác, tùy trường hợp cụ thể",Không được mang vác,"Được mang, vác nhưng phải đảm bảo an toàn",Được mang vác tùy theo sức khỏe của bạn
"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?",Được phép,Được bám trong trường hợp phương tiện của mình bị hỏng,Không được phép,
"Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?",Được sử dụng,Chỉ người ngồi sau được sử dụng,Không được sử dụng,Được sử dụng nếu không có áo mưa
Khi đang lên dốc người ngồi trên xe mô tô có được phép kéo theo người đang điều khiển xe đạp hay không?,Chỉ được phép nếu cả hai đội mũ bảo hiểm,Không được phép,Chỉ được phép thực hiện trên đường thật vắng,Chỉ được phép khi người đi xe đạp đã quá mệt
"Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?",Chỉ được kéo nếu đã nhìn thấy trạm xăng,Chỉ được thực hiện trên đường vắng phương tiện cùng tham gia giao thông,Không được phép,
"Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?",Không được vận chuyển,Chỉ được vận chuyển khi đã chằng buộc cẩn thận,Chỉ được vận chuyển vật cồng kềnh trên xe máy nếu khoảng cách về nhà ngắn hơn 2 km,
"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3.500kg trở lên; xe hạng B2 kéo rơ moóc(FB2)",19 tuổi,21 Tuổi,20 Tuổi,
"Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3500kg; xe ô tô chở người đến 9 chỗ ngồi?",16 Tuổi,18 Tuổi,17 Tuổi,
"Người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E), lái xe hạng D kéo rơ Moóc (FD) phải đủ bao nhiêu tuổi trở lên?",23 Tuổi,24 Tuổi,27 Tuổi,30 Tuổi
Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E) là bao nhiêu tuổi?,55 tuổi đối với nam và 50 tuổi đối với nữ,55 tuổi đối với nam và nữ,60 tuổi đối với nam và 55 tuổi đối với nữ,45 tuổi với nam và 40 tuổi đối với nữ
"Người lái xe chở từ 10 đến 30 chỗ ngồi (hạng D, lái xe hạng C kéo rơ Moóc) phải đủ bao nhiêu tuổi trở lên?",23 Tuổi,24 tuổi,22 tuổi,18 tuổi
Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?,Xe mô tô 2 bánh có dung tích xi-lanh từ 50 cm3 trở lên,Xe gắn máy có dung tích xi-lanh dưới 50cm3,Xe ô tô tải dưới 3.500kg; xe chở người đến 9 chỗ ngồi,Tất cả các ý nêu trên
Người có giấy phép lái xe mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?,Xe mô tô có dung tích xi-lanh 125cm3,Xe mô tô có dung tích xi-lanh từ 175cm3 trở lên,Xe mô tô có dung tích xi-lanh 100cm3,
Người có giấy phép lái xe mô tô hạng A1 được phép điều khiển các loại xe nào dưới đây?,Xe mô tô có dung tích xi-lanh từ 50 Cm3 đến dưới 175 cm3,Xe mô tô ba bánh dành cho người khuyết tật,Cả ý 1 và ý 2,
Người có giấy phép lái xe mô tô hạng A2 được phép điều khiển loại xe nào dưới đây?,Xe mô tô ba bánh,Xe mô tô hai bánh có dung tích xi-lanh từ 175 cm3 trở lên và các loại xe quy định cho giấy phép lái xe hạng A1,Các loại máy kéo nhỏ có trọng tải đến 1000,
Người có giấy phép lái xe mô tô hạng A3 được phép điều khiển loại xe nào dưới đây?,Xe mô tô ba bánh,Xe mô tô hai bánh có dung tích xi lanh từ 175 Cm3 trở lên,Các loại máy kéo nhỏ có trọng tải đến 1.000 kg,
Người có giấy phép lái xe hạng B1 số tự động được điều khiển loại xe nào?,"Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 35000kg; ô tô dùng cho người khuyết tật. Không được hành nghề lái xe","Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 3.500kg; ô tô dùng cho người khuyết tật. Được hành nghề lái xe kinh doanh vận tải","Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500kg; ô tô dùng cho người khuyết tật",
Người có giấy phép lái xe hạng B1 được điều khiển loại xe nào?,"Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Được hành nghề lái xe","Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Không hành nghề lái xe","Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế trên 3.500 kg; ô tô dùng cho người khuyết tật",
Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào?,Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; xe kéo có trọng tải trên 3.500kg,Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải dưới 3.500kg,Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500kg,
Người có giấy phép lái xe hạng C được điều khiển loại xe nào?,Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500kg,Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500kg,Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải; máy kéo có trọng tải trên 3.500kg,
Người có giấy phép lái xe hạng D được điều khiển loại xe nào dưới đây?,"Xe ô tô chở người đến 30 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; xe ô tô tải, máy kéo có trọng tải 3.500kg","Xe ô tô chở người trên 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3.500kg","Xe kéo rơ mo óc, ô tô đầu kéo kéo sơ mi rơ mo óc và điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2",
Người có giấy phép lái xe hạng E được điều khiển loại xe nào dưới đây?,"Xe kéo rơ Moóc, ô tô đầu kéo kéo sơ mi và rơ moóc và được điều khiển các loại xe theo quy định cho giấy phép lái xe hạng B1, B2, C và FB2","Xe ô tô chở người trên 20 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3.500 kg","Xe kéo rơ moóc và được điều khiển các loại xe; ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD",
Người có giấy phép lái xe hạng FC được điều khiển loại xe nào dưới đây?,"Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo sơ mi rơ moóc, ô tô chở khách nối toa và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2","Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ móoc, ô tô đầu kéo kéo sơ mi, rơ moóc và được điều khiển các loại xe quy định cho giấy phép hạng B1, B2 và FB2","Mô tô hai bánh, các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2",
Người có giấy phép lái xe hạng FE được điều khiển loại xe nào dưới đây?,"Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc và được điều khiển các loại xe: Ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD","Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ mo óc, ô tô đầu kéo kéo sơ mi rơ mo óc và được điều khiển các loại xe: Ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD",Tất cả các loại xe nêu trên,
"Khi tập lái xe ô tô, người tập lái xe phải thực hiện các điều kiện gì dưới đây?",Phải thực hành lái xe trên xe tập lái và có giáo viên bảo trợ tay lái,Phải mang theo phù hiệu “học viên tập lái xe”,"Phải mang theo giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép vận chuyển (nếu các loại xe đó cần phải có)",Cả ý 1 và ý 2
"Khi dạy thực hành lái xe, giáo viên phải mang theo các loại giấy tờ gì dưới đây?","Phải mang theo phù hiệu “giáo viên dạy lái xe”, giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép xe tập lái do cơ quan có thẩm quyền cấp còn hiệu lực",Phải mang theo phù hiệu “học viên tập lái xe” và kế hoạch học tập của khóa học,"Phải mang theo giấy chứng nhận giáo viên dạy thực hành lái xe, biên lai thu phí bảo trì đường bộ",
Xe ô tô tập lái phải đảm bảo các điều kiện gì dưới đây?,"Gắn 02 biển “TẬP LÁI” trước và sau xe, có hệ thống phanh phụ được lắp đặt bảo đảm hiệu quả nhanh, được bố trí trên ghế ngồi của giáo viên dạy thực hành lái xe","Xe tập lái loại tải thùng có mui che mưa, che nắng, ghế ngồi cho học viên, có giấy chứng nhiện kiểm định an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông cơ giới đường bộ còn hiệu lực",Cả ý 1 và ý 2,
Việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào?,"Tại các cơ sở đào tạo lái xe có đủ điều kiện và phải bảo đảm công, minh bạch","Tại sân tập lái của cơ sở đào tạo lái xe và phải đảm bảo công khai, minh bạch","Tại các trung tâm sát hạch lái xe có đủ điều kiện hoạt động và phải bảo đảm công khai, minh bạch",
"Khi điều khiển xe chạy trên đường, người lái xe phải mang theo các loại giấy từ gì?","Giấy chứng nhận tốt nghiệp khóa đào tạo của hạng xe đang điều khiển, đăng ký xe, giấy phép lưu hành xe","Giấy phép lái xe phù hợp với loại xe đó; lệnh vận chuyển, đăng ký xe, giấy chứng nhận kiểm tra chất lượng an toàn kỹ thuật và bảo vệ môi trường của xe cơ giới sau khi cải tạo; giấy phép vận chuyển (nếu loại xe đó cần phải có)","Giấy phép lái xe phù hợp với loại xe đó, đăng ký xe, giấy chứng nhận kiểm định kỹ thuật và bảo vệ môi trường, giấy chứng nhận bảo hiểm trách nhiệm dân sự của chủ xe cơ giới và giấy phép vận chuyển (nếu loại xe đó cần phải có), các giấy tờ phải còn giá trị sử dụng",
"Khi sử dụng giấy phép lái xe đã khai báo mất để điều khiển phương tiện cơ giới đường bộ, ngoài việc bị thu hồi giấy phép lái xe, chịu trách nhiệm trước pháp luật, người lái xe không được cấp giấy phép lái xe trong thời gian bao nhiêu năm?",02 Năm,03 Năm,05 Năm,04 Năm
"Trên đường giao thông, khi hiệu lệnh của người điều khiển giao thông trái với hiệu lệnh của đèn hoặc biển báo hiệu thì người tham gia giao thông phải chấp hành theo hiệu lệnh nào?",Hiệu lệnh của người điều khiển giao thông,Hiệu lệnh của đèn điều khiển giao thông,Hiệu lệnh của biển báo hiệu đường bộ,Theo quyết định của người tham gia giao thông nhưng phải bảo đảm an toàn
"Trên đường có nhiều làn đường cho xe đi cùng chiều được phân biệt bằng vạch kẻ phân làn đường, người điều khiển phương tiện phải cho xe đi như thế nào?","Cho xe đi trên bất kỳ làn đường nào hoặc giữa 02 làn đường nếu không có xe phía trước; khi cần thiết phải chuyển làn đường, người lái xe phải quan sát xe phía trước để đảm bảo an toàn",Phải cho xe đi trong làn đường và chỉ được chuyển làn đường ở những nơi cho phép; khi chuyển làn phải có tín hiệu báo trước và phải bảo đảm an toàn,"Phải cho xe đi trong một làn đường, khi cần thiết phải chuyển hướng làn đường, người lái xe phải quan sát xe phía trước để bảo đảm an toàn",
Trên đường một chiều có vạch kẻ phân làn đường xe thô sơ và xe cơ giới phải đi như thế nào là đúng quy tắc giao thông?,"Xe thô sơ phải đi trên làn đường bên trái ngoài cùng, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải","Xe thô sơ phải đi trên làn đường bên phải trong cùng; xe cơ giới, xe máy chuyên dùng đi trên làn đường bên trái","Xe thô sơ đi trên làn đường phù hợp không gây cản trở giao thông, xe cơ giới, xe máy chuyên dùng đi trên làn đường bên phải",
"Bạn đang lái xe trong khu vực đô thị từ 22 giờ đến 5 giờ sáng hôm sau và cần vượt một xe khác, bạn cần báo hiệu như thế nào để đảm bảo an toàn giao thông?",Phải báo hiệu bằng đèn hoặc còi,Chỉ được báo hiệu bằng còi,Phải báo hiệu bằng cả còi và đèn,Chỉ được báo hiệu bằng đèn
Khi điều khiển xe chạy trên đường biết có xe sau xin vượt nếu đủ điều kiện an toàn người lái xe phải làm gì?,"Tăng tốc độ và ra hiệu cho xe sau vượt, không được gây trở ngại cho xe sau vượt","Người điều khiển phương tiện phía trước phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại cho xe sau vượt",Cho xe tránh về bên trái mình và ra hiệu cho xe sau vượt; nếu có chướng ngại vật phía trước hoặc thiếu điều kiện cho xe sau biết; cấm gây trở ngại cho xe xin vượt,
"Trong khu dân cư, ở nơi nào cho phép người lái xe, người điều khiển xe máy chuyên dùng được quay đầu xe?",Ở nơi đường giao nhau và nơi có biển báo cho phép quay đầu xe,Ở nơi có đường rộng để cho các loại xe chạy một chiều,Ở bất kỳ nơi nào,
"Người lái xe phải làm gì khi quay đầu xe trên cầu, đường ngầm hay khu vực đường bộ giao nhau cùng mức với đường sắt?",Không được quay đầu xe,Lợi dụng chỗ rộng và phải có người làm tín hiệu sau xe để đảm bảo an toàn,Lợi dụng chỗ rộng có thể quay đầu được để quay đầu xe cho an toàn,
"Khi muốn chuyển hướng, người lái xe phải thực hiện như thế nào để đảm bảo an toàn giao thông?","Quan sát gương, ra tín hiệu chuyển hướng, quan sát an toàn và chuyển hướng","Quan sát gương, giảm tốc độ, ra tín hiệu chuyển hướng, quan sát an toàn và chuyển hướng","Quan sát gương, tăng tốc độ, ra tín hiệu và chuyển hướng",
Khi lùi xe người lái xe phải làm gì để đảm bảo an toàn?,Quan sát phía trước và cho xe ở tốc độ chậm,Lợi dụng nơi đường giao nhau đủ chiều rộng để lùi,"Phải quan sát phía sau, có tín hiệu cần thiết, và chỗ nào thấy không nguy hiểm mới được lùi",
"Khi bạn nhìn thấy đèn phía sau xe ô tô có màu sáng trắng, ô tô đó đang trong tình trạng như thế nào?",Đang phanh,Đang bật đèn sương mù,Đang chuẩn bị lùi hoặc đang lùi,Đang bị hỏng động cơ
"Khi tránh xe đi ngược chiều, các xe phải nhường đường như thế nào là đúng quy tắc giao thông?","Nơi đường hẹp chỉ đủ cho một xe chạy và có chỗ tránh xe thì xe nào ở gần chỗ tránh hơn phải vào vị trí tránh, nhường đường cho xe kia đi",Xe xuống dốc phải nhường đường cho xe đang lên dốc; xe nào có chướng ngại vật phía trước phải nhường đường cho xe không có chướng ngại vật đi trước,Xe lên dốc phải nhường đường cho xe xuống dốc; xe nào không có chướng ngại vật phía trước phải nhường đường cho xe có chướng ngại vật đi trước,Cả ý 1 và ý 2
"Bạn đang lái xe trên đường hẹp, xuống dốc và gặp một xe đang lên dốc, bạn cần làm gì?",Tiếp tục đi và xe lên dốc phải nhường đường cho mình,Nhường đường cho xe lên dốc,Chỉ nhường đường khi xe lên dốc nháy đèn,
"Tại nơi đường giao nhau, người lái xe đang đi trên đường không ưu tiên phải nhường đường như thế nào là đúng quy tắc giao thông?",Nhường đường cho xe đi ở bên phải mình tới,Nhường đường cho xe đi ở bên trái mình tới,Nhường đường cho xe đi trên đường ưu tiên hoặc đường chính từ bất kỳ hướng nào tới,
"Tại nơi đường giao nhau không có báo hiệu đi theo vòng xuyến, người điều khiển phương tiện phải nhường đường như thế nào là đúng quy tắc giao thông?",Phải nhường đường cho xe đi đến từ bên phải,Xe báo hiệu xin đường trước xe đó được đi trước,Phải nhường đường cho xe đi đến từ bên trái,
"Trên đoạn đường bộ giao nhau cùng mức với đường sắt, cầu đường bộ đi chung với đường sắt thì loại phương tiện nào được quyền ưu tiên đi trước?",Phương tiện nào bên phải không vướng,Phương tiện nào ra tín hiệu xin đường trước,Phương tiện giao thông đường sắt,
"Trên đường cao tốc, người lái xe phải dừng xe, đỗ xe như thế nào để đảm bảo an toàn giao thông?","Không được dừng xe, đỗ xe hoặc chỉ được dừng xe, đỗ xe ở nơi đường rộng, nếu dừng, đỗ xe ở nơi đường hẹp phải sử dụng còi báo hiệu để người lái xe khác biết","Chỉ được dừng xe, đỗ xe ở nơi quy định, trường hợp buộc phải dừng xe, đỗ xe không đúng nơi quy định thì người lái xe phải đưa xe ra khỏi phần đường xe chạy, nếu không thể được thì phải báo hiệu để người lái xe khác biết","Chỉ được dừng xe, đỗ xe ở nơi đường rộng; trường hợp dừng xe, đỗ xe tại nơi đường hẹp phải đặt các chướng ngại vật trên đường để yêu cầu người lái xe khác giảm tốc độ để bảo đảm an toàn",
"Những trường hợp nào ghi ở dưới đây không được đi vào đường cao tốc trừ người, phương tiện, thiết bị phục vụ cho việc quản lý, bảo trì đường cao tốc?","Người đi bộ, xe thô sơ, xe gắn máy, xe mô tô và máy kéo; xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn 70km/h",Xe mô tô và xe máy chuyên dùng có tốc độ thiết kế lớn hơn 70km/h,"Người đi bộ, xe thô sơ, xe gắn máy và xe ô tô",
Người điều khiển phương tiện tham giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,"Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; chỉ được dừng xe, đỗ xe ở nơi quy định","Xe cơ giới phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở được phép; được quay đầu xe, lùi xe khi cần thiết","Xe máy chuyên dùng phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép quay đầu xe, lùi xe khi cần thiết",
"Xe quá tải trọng, quá khổ giới hạn tham gia giao thông cần tuân thủ quy định nào ghi dưới đây?","Phải được cơ quan quản lý đường bộ có thẩm quyền cấp phép và phải thực hiện các biện pháp bắt buộc để bảo vệ đường bộ, đảm bảo an toàn giao thông",Chủ phương tiện và lái xe chỉ cần thực hiện biện pháp để hạn chế việc gây hư hại đường bộ,Được tham gia giao thông trên đường rộng,Chỉ được tham gia giao thông vào ban đêm
Việc nối giữa xe kéo với xe được kéo trong trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì phải dùng cách nào?,Dùng dây cáp có độ dài 10 mét,Dùng dây cáp có độ dài 5 mét,Dùng thanh nối cứng,
Xe kéo rơ moóc khi tham gia giao thông phải tuân thủ điều kiện nào ghi ở dưới đây?,Phải có tổng trọng lượng lớn hơn tổng trọng lượng của rơ moóc hoặc phải có hệ thống hãm có hiệu lực cho rơ moóc,Phải có tổng trọng lượng tương đương tổng trọng lượng rơ mo óc hoặc phải có hệ thống hãm có hiệu lực cho xe kéo rơ mo óc,Phải được lắp phanh phụ theo quy định để đảm bảo an toàn,
Xe ô tô kéo xe khác thế nào là đúng quy tắc giao thông?,Được kéo theo một xe ô tô hoặc xe máy chuyên dùng khác khi xe này không tự động chạy được và phải đảm bảo an toàn; xe được kéo phải có người điều khiển và hệ thống lái của xe đó phải còn hiệu lực; trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì xe kéo phải nối bằng thanh nối cứng,Được kéo theo một xe ô tô và xe máy chuyên dùng khác khi xe này không tự động chạy được và phải đảm bảo an toàn; xe được kéo phải có người ngồi trên xe để kịp thời phát hiện các trường hợp mất an toàn,"Được kéo theo một xe ô tô và xe máy chuyên dùng khác khi xe này không tự chạy được và hệ thống phanh bị hỏng, xe kéo nhau phải nối bằng dây cáp có độ dài phù hợp",
"Người ngồi trên xe mô tô 2 bánh, xe gắn máy phải đội mũ bảo hiểm có quai đúng quy cách khi nào?",Khi tham gia giao thông đường bộ,Chỉ khi đi trên đường chuyên dùng; đường cao tốc,Khi tham gia giao thông trên đường tỉnh lộ hoặc quốc lộ,
