Question,A,B,C,D,Answer,Grade
Những quốc gia nào đóng vai trò tiên phong trong các cuộc phát kiến địa lý?,"Mĩ, Anh","Tây Ban Nha, Bồ Đào Nha.","Ý, Bồ Đào Nha","Anh, Pháp",B,
"Ở Tây Âu thời trung đại, lãnh chúa phong kiến được hình thành từ những lực lượng nào?",Quý tộc người Rô-ma.,Nô lệ được giải phóng.,Quý tộc quân sự và tăng lữ.,Nông dân bị tước đoạt ruộng đất.,C,
Hội thề nào thể hiện tinh thần đoàn kết của các tướng lĩnh trong buổi đầu cuộc khởi nghĩa Lam Sơn?,Đông Quan,Bình Than,Như Nguyệt,Lũng Nhai,D,
Vì sao quân ta phải chiếm thành Xương Giang trước khi viện binh của giặc đến?,Để chủ động đón đoàn quân địch,Câu A và C đúng,"Lập phòng tuyến, không cho giặc về Đông Quan","Không cho giặc có thành trú đóng, phải co cụm giữa cánh đồng",D,
Hội thề Đông Quan diễn ra vào thời gian nào?,Ngày 10 tháng 12 năm 1427,Ngày 3 tháng 1 năm 1428,Ngày 1 tháng 3 năm 1428,Ngày 12 tháng 10 năm 1427,A,
Nét nổi bật của tình hình nghĩa quân Lam Sơn trong giai đoạn 1918 - 1923 là?,liên tục bị quân Minh vây hãm và phải rút lui,tổ chức các trận quyết chiến chiến lược nhưng không thành công,mở rộng địa bàn hoạt động vào phía Nam,tiến quân ra Bắc và giành nhiều thắng lợi,A,
Điểm tập kích đầu tiên của nghĩa quân Lam Sơn sau khi chuyển căn cứ từ Thanh Hóa vào Nghệ An là?,Thành Nghệ An,Diễn Châu,Thành Trà Lân,Đồn Đa Căng,D,
Ai là người đưa ra ý tưởng chuyển địa bàn hoạt động của nghĩa quân Lam Sơn từ Thanh Hóa vào Nghệ An?,Lê Lợi,. Nguyễn Chích,Nguyễn Trãi,Trần Nguyên Hãn,C,
Nguyên nhân nào dưới đây là nguyên nhân cơ bản nhất dẫn đến thắng lợi của khởi nghĩa Lam Sơn?,Sự ủng hộ của các tầng lớp nhân dân cho cuộc khởi nghĩa,Nghĩa quân Lam Sơn có tinh thần kĩ thuật cao và chiến đấu dũng cảm,Lòng yêu nước của nhân dân ta được phát huy cao độ,"Bộ chỉ huy khởi nghĩa là những người tài giỏi, mưu lược cao, tiêu biểu là Lê Lợi và Nguyễn Trãi",D,
"Kế hoạch giải phóng Nghệ An, Tân Bình, Thuận Hóa của nghĩa quân Lam Sơn do ai đưa ra?",Lê Lai.,Nguyễn Trãi.,Nguyễn Chích.,Lê Lợi.,C,
Vì sao quân Minh lại chấp nhận đề nghị tạm hòa của Lê Lợi vào năm 1423?,tìm cách mua chuộc Lê Lợi,lực lượng quân Minh ở Đại Việt suy yếu nghiêm trọng,tình hình chính trị của nhà Minh bất ổn,quân Minh đang tập trung lực lượng đánh Champa,A,
Vương Thông đã quyết định mở cuộc phản công đánh vào chủ lực của nghĩa quân Lam Sơn ở đâu?,"Cao Bộ (Chương Mĩ, Hà Tây)",Đông Quan,Đào Đặng (Hưng Yên),Tất cả các vùng trên,A,
"Chọn từ thích hợp điền vào chỗ trống câu sau đây: “Nghe tin hai đạo viện binh Liễu Thăng, Mộc Thanh bị tiêu diệt hoàn toàn, Vương Thông ở …. (1)… vô cùng khiếp đảm, vội vàng xin hòa và chấp nhận ….(2)…. Để được an toàn rút quân về nước””.",1) Đông Quan 2) Đầu hàng không điều kiện,1) Xương Giang 2) Mở hội thề Đông Quan,1) Đông Quan 2) Mở hội thề Đông Quan,1) Chi Lăng 2) thua đau,C,
Ý nào dưới đây không phải nguyên nhân thắng lợi của cuộc khởi nghĩa Lam Sơn?,"Nhân dân ta có tinh thần yêu nước, ý chí bất khuất, đoàn kết chiến đấu.","Có đường lối chiến lược, chiến thuật đúng đắn, bộ chỉ huy tài giỏi.",Quân Minh gặp khó khăn trong nước phải tạm dừng cuộc chiến tranh xâm lược Đại Việt.,Biết dựa vào nhân dân để phát triển từ cuộc khởi nghĩa thành cuộc chiến tranh giải phóng dân tộc.,C,
"Ai là người đã cải trang làm Lê Lợi, phá vòng vây của quân Minh cứu chúa?",Lê Lai,Lê Ngân,Trần Nguyên Hãn,Lê Sát,A,
Tên tướng nào đã thay Liễu Thăng chỉ huy quân Minh tiến vào Đông Quan?,Lương Minh,Lý Khánh,Thôi Tụ,Hoàng Phúc,A,
"Chiến thắng Xương Giang, nghĩa quân Lam Sơn đã tiêu diệt bao nhiêu tên địch?",Gần 10 vạn,15 vạn,Gần 5 vạn,20 vạn,C,
Cuộc khởi nghĩa Lam Sơn thắng lợi có ý nghĩa lịch sử như thế nào?,Mở ra thời kì phát triển mới của đất nước với việc nhà Minh thần phục nước ta.,"Kết thúc 20 năm đô hộ tàn bạo của phong kiến nhà Minh, mở ra thời kì phát triển của đất nước.",Đưa nước ta trở thành một cường quốc trong khu vực.,Kết thúc chiến tranh và buộc nhà Minh bồi thường chiến tranh cho nước ta.,B,
Hai trận đánh lớn nhất trong khởi nghĩa Lam Sơn là:,trận Rạch Gầm – Xoài Mút và trận Bạch Đằng.,trận Tốt Động – Chúc Động và trận Chi Lăng – Xương Giang.,trận Hạ Hồi và trận Ngọc Hồi – Đống Đa.,trận Tây Kết và trận Đông Bộ Đầu.,B,
Quyết định nào của Lê Lợi đã tạo ra bước ngoặt đầu tiên cho cuộc khởi nghĩa Lam Sơn?,"tiến quân ra Bắc, mở rộng phạm vi hoạt động",chuyển quân vào Nghệ An,giảng hòa với quân Minh,"giản phóng Tân Bình, Thuận Hóa",B,
"Để kết thúc nhanh chiến tranh ở châu Âu và châu Á - Thái Bình - Dương, ba cường quốc đã thống nhất mục đích gì?",Sử dụng bom nguyên tử để tiêu diệt phát xít Nhật.,Hồng quân Liên Xô nhanh chóng tấn công vào tận sào huyệt của phát xít Đức ở Bec-lin.,Tiêu diệt tận gốc chủ nghĩa phát xít Đức và quân phiệt Nhật.,Tất cả các mục đích trên.,C,
"Nhiệm vụ chính là duy trì hòa bình và an ninh thế giới, phát triển mỗi quan hệ giữa các dân tộc trên cơ sở tôn trọng độc lập, chủ quyền của các dân tộc và thực hiện hợp tác quốc tế về kinh tế, văn hóa, xã hội và nhân đạo là nhiêm vụ chính của:",Liên minh châu Âu,Hội nghị I-an-ta,ASEAN,Liên hợp quốc,D,
"Nguyên nhân nào dưới đây làm cho Liên Xô và các nước Đông Âu bị “trì trệ”, khủng hoảng rồi đi đến sụp đồ công cuộc xây dựng chủ nghĩa xã hội?","Do xây dựng mô hình chủ nghĩa xã hội chưa khoa học, chưa nhân văn.","Do chậm sửa chữa, thay đổi trước những biến động của tình hình thế giới.",Do hoạt động chống phá của các thế lực chống chủ nghĩa xã hội.,Tất cả các nguyên nhân trên.,D,
"Sau chiến tranh thế giới thứ hai, các nước đế quốc do Mĩ cầm đầu đã thực hiện âm mưu cơ bản gì để chống lại Liên Xô?",Tiến hành bao vây kinh tế.,Gây cuộc “Chiến tranh lạnh”,Đẩy mạnh chiến tranh tổng lực,Lôi kéo các nước đồng minh chống lại Liên Xô.,B,
Trung Quốc chế tạo thành công bom nguyên tử vào năm :,1964,1965,1973,1959,A,
Mĩ và các nước đồng minh của Mĩ đã kí kết thành lập “Tổ chức hiệp ước phòng thủ tập thê Đông Nam Á (SEATO)” tại đâu?,Tại Gia-cac-ta (In-đô-nê-xi-a).,Tại Ma-ni-la (Phi-líp-pin).,Tại Băng Cốc (Thái Lan).,Tại Oa-sinh-tơn (Mĩ).,B,
Biến đổi tích cực quan trọng đầu tiên của các nước Đông Nam Á sau Chiến tranh thế giới thứ bai là:,Từ các nước thuộc địa trở thành các nước độc lập,Nhiều nước có tốc độ phát triển khá nhanh,Sự ra đời của khối ASEAN,"Ngày càng mở rộng đối ngoại, hợp tác với các nước Đông Á và EU.",A,
Phong trào cách mạng châu Phi từ sau Chiến tranh thế giới thứ II được bắt đầu từ khu vực nào ?,Khu vực Nam Phi.,Khu vực Tây Phi.,Khu vực Đông Phi.,Khu vực Bắc Phi.,D,
"Từ những thập niên đầu của thế kỉ XX, nhiều nước Mĩ La-tinh đã thoát khỏi sự lệ thuộc của Tây Ban Nha nhưng lại rơi vào vòng lệ thuộc của nước nào?",Thực dân Anh,Đế quốc Mĩ,Thực dân Pháp,Đế quốc Nhật,B,
Nước nào đưa con người lên Mặt Trăng đầu tiên (7 - 1969)?,Mĩ,Nhật,Liên Xô,Trung Quốc,A,
Nước nào khởi đầu cuộc cách mạng khoa học -  kĩ thuật lần thứ hai?,Anh,Pháp,Mĩ,Nhật,C,
"Đến đầu thập kỉ 70, các nước Tây Âu đã trở thành",một trong ba trung tâm kinh tế - tài chính lớn của thế giới.,"khối kinh tế tư bản, đứng thứ hai thế giới",tổ chức liên kết kinh tế - chính trị lớn nhất hành tinh.,trung tâm công nghiệp – quốc phòng lớn của thế giới.,A,
"Đến năm 1993, Liên minh châu Âu có bao nhiêu thành viên ?",2,25,18,15,D,
Nguyên nhân chính nào giúp Nhật Bản không chi tiêu nhiều cho chi phí quốc phòng?,"Nhật nằm trong vùng thường xảy ra thiên tai, động đất, sóng thần.",Nhật nằm trong “ô bảo vệ hạt nhân” của Mĩ.,"Tài nguyên khoáng sản không nhiều, nợ nước ngoài do bồi thường chi phí chiến tranh.",Dân cư đông không thích hợp đầu tư nhiều vào quốc phòng.,B,
"Sau Chiến tranh thế giới thứ II, lực lượng quân đội nước nào chiếm đóng Nhật Bản dưới danh nghĩa lực lượng Đồng minh ?",Anh,Liên Xô,Mĩ ,Pháp,C,
"Sau Chiến tranh thế giới thứ hai, mưu đồ bao quát của Mĩ là:",Tiêu diệt Liên Xô và các nước xã hội chủ nghĩa.,"Tiêu diệt phong trào giải phóng dân tộc ở Á, Phi, Mĩ La-tinh.",Tiêu diệt phong trào công nhân ở các nước tư bản chủ nghĩa.,Làm bá chủ toàn thế giới.,D,
"Loại công cụ lao động nào do cuộc cách mạng khoa học kĩ thuật lần thứ hai tạo lên đã được xem như “trung tâm thần kinh” kĩ thuật, thay con người trong toàn bộ quá trình sản xuất liên tục?",“Người máy” (Rô-bốt).,Máy tính điện tử.,Hệ thống máy tự động.,Máy tự động.,B,
Tháng 2-1950 gắn liền với sự kiện nổi bật nào ở Trung Quốc?,Hiệp ước liên minh và tương trợ Trung - Xô được kí kết.,"Trung Quốc thực hiện đường lối ""ba ngọn cờ hồng"".","Trung Quốc xây dựng chủ nghĩa xã hội theo hướng ""đại nhảy vọt”.",Trung Quốc lâm vào tình trạng hỗn loạn.,A,
"Năm 1919, Nguyễn Ái Quốc đã tham gia tổ chức Đảng nào ?",Đảng Xã hội Pháp.,Đảng Cộng sản Pháp.,Đảng Công nhân xã hội dân chủ Pháp.,Đảng Công nhân xã hội dân chù Nga.,A,
"Trong những nguyên nhân sau đây, nguyên nhân nào là nguyên nhân chủ quan làm cho phong trào yêu nước dân chủ công khai (1919 - 1926) cuối cùng bị thất bại?","Hệ tư tưởng dân chủ tư sản đã trở nên lỗi thời, lạc hậu.","Thực dân Pháp còn mạnh, đủ khả năng đàn áp phong trào.",Giai cấp tư sản dân tộc do yếu kém về kinh tế nên ươn hèn về chính trị; tầng lớp tiểu tư sản do điều kiện kinh tế bấp bênh nên không thể lãnh đạo phong trào cách mạng.,Do chủ nghĩa Mác - Lênin chưa được truyền bá sâu rộng vào Việt Nam.,C,
"Đảng Cộng sản ra đời do tác động của nhiều yếu tố, yếu tố nào sau đây không đúng?",Sự phát triển của phong trào yêu nước Việt Nam.,Sự thất bại của Việt Nam Quốc dân đảng.,Sự phố biến chủ nghĩa Mác- Lênin vào Việt Nam.,Sự phát triển tự giác phong trào công nhân Việt Nam.,B,
Khởi nghĩa Yên Bái (9 - 2 - 1930) thất bại do nguyên nhân khách quan nào?,Giai cấp tư sản dân tộc lãnh đạo.,Tổ chức Việt Nam Quốc dân đảng còn non yếu.,Khởi nghĩa nổ ra hoàn toàn bị động.,Đế quốc Pháp còn mạnh.,D,
"Điều gì chứng tỏ Cương lĩnh đầu tiên do Nguyễn Ái Quốc khởi thảo là đúng đắn, sáng tạo; thắm đượm tính dân tộc và nhân văn"":",Nêu cao vấn đề dân tộc lên hàng đâu., Đánh giá đúng khả năng cách mạng của các giai cấp trong xã hội Việt Nam.,"Thấy được khả năng liên minh có điệu kiện với giai cấp tư sản dân tộc, khả năng phân hóa, lôi kéo một bộ phận giai Ấp, địa chủ trong cách mạng giải phóng dân tộc.",Cả ba ý trên đều đúng.,D,
Đại hội Quốc tế Cộng sản lần thứ VII (tháng 7 - 1935) đã có những chủ trương gì?,Thành lập Đảng Cộng sản ở mỗi nước.,Thành lập Mặt trận nhân dân ở các nước.,Thành lập Mặt trận nhân dân ở các nước tư bản.,Thành lập Mặt trận nhân dân ở các nước thuộc địa.,B,
Tình hình giai cấp công nhân và tiểu tư sản Việt Nam trong những năm 1936- 1939 ?,"Lương thấp, nạn thất nghiệp đe dọa,","Chịu cảnh tô cao, thuế nặng, đời sổng hết sức bấp bênh.","Bị tư bản Pháp tìm cách chèn ép, cản trở mọi hoạt động kinh doanh.", Tất cá các ý trên.,A,
"Điểm giống nhau về ý nghĩa của ba sự kiện: khởi nghĩa Bắc Sơn, khởi nghĩa Nam Kì và binh biến Đô Lương là gì?",Các lực lượng vũ trang cách mạng ra đời và phát triển từ ba cuộc khởi nghĩa.,"Giáng đòn chí tử vào thực dân Pháp, nghiêm khắc cảnh cáo phát xít Nhật, những phát súng đầu tiên báo hiệu một cao trào cách mạng mới.",Để lại những bài học kinh nghiệm về xây dựng lực lượng khởi nghĩa vũ trang.,Mở ra một thời kì đấu tranh mới.,B,
" “Liên hiệp hết thảy với các giới đồng bào yêu nước, không phân biệt giàu nghèo, già trẻ gái trai, không phân biệt tôn giáo và xu hướng chính trị để cùng nhau mưu cuộc dân tộc giải phóng và sinh tồn”, đó là chủ trương của Đảng Cộng sản Đông Dương khi thành lập:",Mặt trận dân tộc thống nhất Đông Dương.,Mặt trận dân chủ Đông Dương.,Mặt trận dân chủ thống nhất Đông Dương.,Mặt trận Việt Minh.,D,
Tại sao ta chuyển từ chiến lược đánh Pháp sang chiến lược hoà hoãn nhân nhượng Pháp?,Vì Pháp được Anh hậu thuẫn.,Vì ta tránh tình trạng một lúc đối phó với nhiều kẻ thù.,Vì Pháp và Tưởng đã bắt tay cấu kết với nhau chống ta.,Vì Pháp được bọn phản động tay sai giúp đỡ.,C,
"Tháng 11/1946, ai giữ chức Bộ trường Bộ ngoại giao trong Chính phủ Việt Nam Dân chủ Cộng hoà ?",Hồ Chí Minh.,Nguyễn Tường Tam.,Lê Văn Hiến.,Phạm Văn Đồng.,A,
Nguyên nhân nào quan trọng nhất dẫn đến sự thắng lợi của cả hai chiến dịch Việt Bắc thu đông 1947 và chiến dịch Biên giới thu – đông 1950?,Tinh thần đoàn kết chiến đấu của quân và dân ta.,"Sự lãnh đạo tài tình, sáng suốt của Đảng đứng đầu là Hồ Chí Minh.",Do sự giúp đỡ nhiệt tình của các nước xã hội chủ nghĩa trên thế giới.,Do đường lối kháng chiến chống Pháp đúng đắn.,B,
Vì sao ta mở chiến dịch Biên giới 1950?,Tạo điều kiện để thúc đẩy cuộc kháng chiến của ta tiến lên một bước.,"Khai thông biên giới Việt - Trung, con đường liên lạc quốc tế giữa ta với Trung Quốc và các nước dân chủ trên thế giới.","Tiêu diệt một bộ phận lực lượng địch, khai thông biên giới Việt – Trung, mở rộng và củng cố căn cứ địa cách mạng.",Để đánh bại kế hoạch Rơ-ve.,C,
"Đề bồi dưỡng sức dân trước hết là nông dân, đầu năm 19583, Đảng, Chính phủ đã có chủ trương gì? ",Chấn chỉnh chế độ thuế khoá.,"Cuộc vận động lao động sản xuất, thực hành tiết kiệm.","Xây dựng nên tài chính, ngân hàng, thương nghiệp.",Phát động quần chúng triệt để giảm tô và cải cách ruộng đất.,D,
"Để phá sản bước thứ nhất kế hoạch Na-va, chủ trương nào sau đây của ta là cơ bản nhất?","Đánh vào những nơi ta cho là chắc thắng, tiêu diệt một bộ phận sinh lực địch buộc chúng phân tán lực lượng.","Tiêu diệt một bộ phận sinh lực địch, phân tán lực lượng địch.",Phân tán lực lượng địch đến những nơi rừng núi hiểm trở.,"Giam chân địch ở Điện Biên Phủ, Xê-nô, Plâycu, Luông-pha-băng.",A,
Hội nghị Giơ-ne-vơ bàn về việc chấm đứt chiến tranh lập lại hoà bình ở Đông Dương họp từ ngày nào?,Ngày 26 – 4 - 1954. ,Ngày 1 - 5 - 1954.,Ngày 7 - 5 - 1954. ,Ngày 8 - 3 - 1954.,D,
Chính sách nào của Mĩ - Diệm thể hiện chiến lược chiến tranh một phía ở miền Nam?,"Phế truất Bảo Đại, đưa Ngô Đình Diệm lên làm Tổng thống.",Gạt hết quân Pháp để độc chiếm miền Nam.,"Mở chiến dịch “Tố cộng”, “Diệt cộng” thi hành “Luật 10 -59”, lê máy chém khắp miền Nam.","Thực hiện chính sách “Đả thực”, “ Bài phong”, “Diệt cộng”.",C,
"Thực hiện khẩu hiệu “Người cày có ruộng”, Đảng ta đã có chủ trương gì?",Giải phóng giai cấp nông dân.  ,Tiến hành cải cách ruộng đất.,Khôi phục kinh tế. ,Cải tạo xã hội chủ nghĩa.,B,
"Toàn bộ những gì đã diễn ra trong quá khứ, tồn tại một cách khách quan không phụ thuộc vào ý muốn chủ quan của con người được gọi là",hiện thực lịch sử,nhận thức lịch sử,sự kiện tương lai,khoa học lịch sử,A,
Đối tượng nghiên cứu của Sử học là,các hành tinh trong hệ Mặt Trời,các loài sinh vật trên Trái Đất,toàn bộ quá khứ của loài người,quá trình hình thành Trái Đất,C,
Sử học là,khoa học nghiên cứu về quá khứ của loài người,tất cả những gì đã diễn ra trong quá khứ,tất cả những gì đã và đang diễn ra ở hiện tại,khoa học nghiên cứu về lịch sử các loài sinh vật,A,
Khái niệm lịch sử không bao hàm nội dung nào sau đây?,Là những gì đã diễn ra trong quá khứ của xã hội loài người,Là những câu chuyện về quá khứ hoặc tác phẩm ghi chép về quá khứ,Là sự tưởng tượng của con người liên quan đến sự việc sắp diễn ra,Là một khoa học nghiên cứu về quá khứ của con người,C,
Thu thập sử liệu được hiểu là,"quá trình tập hợp, tìm kiếm tài liệu tham khảo về đối tượng nghiên cứu, tìm hiểu lịch sử","quá trình khảo sát, tìm kiếm, sưu tầm và tập hợp những thông tin liên quan đến đối tượng học tập, nghiên cứu, tìm hiểu lịch sử",một khẩu của quá trình thẩm định sử liệu,công đoạn cuối cùng của nghiên cứu lịch sử,B,
"Tại sao phải học tập, khám phá lịch sử suốt đời?","Hiểu được kinh nghiệm, rút ra bài học có giá trị lịch sử từ các nước khác, tránh được sai lầm","Hội nhập với các cộng đồng, các nước khác trong khu vực và thế giới","Nguồn cảm hứng sáng tạo trong ngành công nghiệp văn hóa, phát triển du lịch,… mang lại cơ hội nghề nghiệp mới",Tất cả các đáp án trên,D,
Lịch sử cung cấp cho con người,"Hiểu biết về quá khứ, hiện tại và tương lai",Những thông tin về quá khứ của chính con người và xã hội loài người,"Những thông tin về sự kiện lịch sử, nhân vật lịch sử","Nguồn gốc, tổ tiên của bản thân, gia đình, dòng họ",B,
Nội dung nào sau đây là một trong những vai trò của tri thức lịch sử đối với cuộc sống của con người?,Cung cấp những thông tin hữu ích về quá khứ cho con người,Cho biết về quá trình sinh trưởng và phát triển của các loài sinh vật,Giúp con người thay đổi hiện thực lịch sử và nhận thức lịch sử,Trực tiếp làm biến đổi cuộc sống xã hội của con người,A,
Cần phải học tập và khám phá lịch sử vì học lịch sử giúp chúng ta,dự đoán được quy luật phát triển của vạn vật trên Trái Đất,"hiểu được cội nguồn của bản thân, gia đình, quê hương","thay đổi được những sự kiện, hiện tượng xảy ra trong quá khứ",sáng tạo và làm phong phú thêm hiện thực lịch sử,B,
Sử học và các ngành khoa học xã hội và nhân văn có mối quan hệ như thế nào?,Chỉ Sử học tác động đến các ngành khoa học,Quan hệ gắn bó và tương tác hai chiều,Luôn tách rời và không có quan hệ với nhau,"Quan hệ một chiều, không tác động qua lại",B,
Quan hệ sử học với các ngành khoa học xã hội nhân văn là mối quan hệ tương tác mấy chiều?,1 chiều,2 chiều,3 chiều,4 chiều,B,
"Tại sao sử học phải sử dụng tri thức, phương pháp nghiên cứu, thành tựu của nhiều ngành khoa học xã hội để nghiên cứu lịch sử?","Để nhận thức lịch sử chính xác, đầy đủ và sâu sắc hơn",Để lịch sử thú vị hơn,"Để tăng độ tin cậy, uy tín hơn",Để tìm ra sự thật lịch sử,A,
"Những thông tin của các ngành khoa học xã hội và nhân văn, khoa học tự nhiên và công nghệ (sự ra đời, tiến trình phát triển, đặc điểm của ngành,...) có thể hỗ trợ Sử học thực hiện được nhiệm vụ nào sau đây?",Ghi chép sự đóng góp của từng ngành cho sự phát triển kinh tế,Cung cấp thông tin hoạt động cho ngành Sử học và Dân tộc học,"Khôi phục, mô tả lịch sử hình thành và phát triển của từng ngành",Tạo nên sự chuyển biến cho từng ngành để cùng hội nhập quốc tế,A,
Sử học có mối liên hệ đặc biệt gần gũi với các ngành khoa học xã hội và nhân văn nào sau đây?,"Tâm lí học, Ngôn ngữ học, Nhân học, Khoa học chính trị","Triết học, Địa lí nhân văn, Văn hoá học, Công tác xã hội","Chính trị học, Tâm lý học, Ngôn ngữ học, Xã hội học","Khảo cổ học, Nhân học, Văn học, Địa lí nhân văn, Triết học",D,
"Sử học cung cấp tri thức, ý tưởng và cảm hứng sáng tạo cho một số ngành công nghiệp văn hóa thông qua",các nguồn sử liệu,quan điểm lịch sử,phương pháp nghiên cứu lịch sử,phương pháp trình bày lịch sử,A,
Hoạt động bảo tồn di sản phải đảm bảo những đặc điểm gì ?,"Đảm bảo tính nguyên trạng, ""Yếu tố gốc cấu thành di tích"", ""tính xác thực"", ""tính toàn vẹn"", ""giá trị nổi bật""","Đảm bảo tính nguyên trạng, ""giá trị nổi bật"", mà di tích lịch sử-văn hóa vốn có","Hiện vật, di tích cần được làm mới, tu bổ để hiện vật không bị mai một, xuống cấp","Đảm bảo di tích hiện vật còn nguyên vẹn, chưa được tu bổ",A,
Yếu tố cốt lõi trong hoạt động bảo tồn di sản là gì?,Xác định giá trị thực tế của di sản,Phát huy giá trị của di sản văn hóa,Đảm bảo tính nguyên trạng của di sản,Tu bổ và phục hồi di sản thường xuyên,C,
Ngành công nghiệp văn hóa nào sau đây cần thiết phải sử dụng chất liệu lịch sử trong quá trình phát triển?,Xuất bản,Quảng cáo,Thủ công mĩ nghệ,Du lịch văn hóa,D,
Một trong những vai trò của du lịch đối với việc bảo tồn di tích lịch sử và di sản văn hóa là,cung cấp đầy đủ những tri thức về di tích lịch sử và di sản văn hóa,"thúc đẩy việc bảo vệ di sản văn hóa, di tích lịch sử của các quốc gia","thúc đẩy quá trình giao lưu văn hóa giữa các quốc gia, khu vực trên thế giới",giúp con người hưởng thụ giá trị của di sản thiên nhiên và di sản văn hóa,B,
Ý nào sau đây phản ánh đúng khái niệm văn minh?,Văn minh là tổng thể những giá trị vật chất và tinh thần do con người sáng tạo ra trong quá trình lịch sử,Văn minh là tổng thể những giá trị vật chất và tinh thần gắn liền với lịch sử loài người,Văn minh là tổng thể những giá trị vật chất và tinh thần do con người sáng tạo ra từ khi con người xuất hiện trên Trái Đất,Văn minh là trạng thái tiến bộ cả về giá trị vật chất và tinh thần của xã hội loài người,D,
Hai nền văn minh lớn ở phương Tây thời kì cổ đại là,Hy Lạp và La Mã,Ấn Độ và Trung Hoa,Ai Cập và Lưỡng Hà,La Mã và A-rập,A,
Hoạt động kinh tế chủ đạo của người Ai Cập cổ đại là,buôn bán đường biển,sản xuất nông nghiệp,sản xuất thủ công nghiệp,buôn bán đường bộ,B,
Chọn từ thích hợp điền vào chỗ chấm để hoàn thiện khái niệm sau,Văn minh,Văn tự,Văn vật,Văn hiến,A,
Nhà nước Ai cập thống nhất ra đời vào thời gian nào?,Năm 3000 TCN,Năm 3200 TCN,Năm 3500 TCN,Năm 2500 TCN,B,
Những nền văn minh đầu tiên trên thế giới hình thành ở đâu?,Trung Quốc,Ấn Độ,"Tây Á, Đông Bắc châu Phi","Hy Lạp, La Mã",C,
Chủ nhân đầu tiên của nền văn minh Trung Hoa là tộc người nào?,Người Hoa Hạ,Người Choang,Người Mãn,Người Mông Cổ,A,
Một đặc trưng quan trọng của xã hội Ấn Độ thời kì cổ - trung đại là gì?,Người A-ri-a gốc Trung Á chiếm đại bộ phận trong xã hội,"Xã hội chia thành nhiều giai cấp, tầng lớp khác nhau",Sự tồn tại lâu dài và gây ảnh hưởng sâu sắc của chế độ đẳng cấp,"sự phân biệt về sắc tộc, chủng tộc rất sâu sắc",C,
Tôn giáo nào không được khởi nguồn từ Ấn Độ?,Hồi giáo,Phật giáo,Hin-đu giáo,Bà La Môn giáo,A,
Người La Mã cổ đại đã sáng tạo ra loại chữ viết nào sau đây?,Chữ Hán,Chữ hình nêm,Chữ Phạn,Chữ La-tinh,D,
"Những thành tựu khoa học, kĩ thuật của người Hy Lạp - La Mã cổ đại có ý nghĩa như thế nào?",Là nguồn gốc của những thành tựu khoa học kĩ - thuật phương Đông cổ đại,Đưa loài người bước vào kỉ nguyên công nghiệp hóa và hiện đại hóa,"Đặt nền tảng cho sự phát triển của khoa học, kĩ thuật thế giới giai đoạn sau",Là một trong những cơ sở dẫn tới sự ra đời của văn minh phương Tây cổ đại,C,
Tôn giáo chính thức của đế quốc La Mã thời kì cổ đại (từ đầu thế kỉ IV) là,Phật giáo,Cơ Đốc giáo,Hồi giáo,Hin-đu giáo,B,
Phong trào Văn hóa Phục hưng (thế kỉ XV - XVII) diễn ra đầu tiên ở quốc gia nào?,Anh,I-ta-li-a,Tây Ban Nha,Pháp,B,
Ai là tác giả của tác phẩm kịch Rô-mê-ô và Giu-li-ét?,Uy-li-am Sếch-xpia,Đan-tê A-li-ghê-ri,Phơ-răng-xoa Ra-bơ-le,Mi-quen-đơ Xéc-van-téc,A,
Nội dung nào sau đây không phản ánh đúng nguyên nhân thúc đẩy nước Anh sớm tiến hành Cách mạng công nghiệp lần thứ nhất?,Cách mạng tư sản nổ ra sớm và thành công,Có nguồn tích lũy vốn và nhân công lớn,Áp dụng những tiến bộ kĩ thuật trong sản xuất,Đi đầu trong các cuộc đại phát kiến địa lí,D,
Một trong các ý nghĩa của việc phát minh ra máy hơi nước là gì?,"Tạo ra nguồn động lực mới, làm tăng sức lao động cơ bắp của con người",Lao động bằng thủ công đã được thay thế bằng máy móc,Làm cho năng suât lao động ngày càng tăng,Làm thay đổi bộ mặt xã hội của nước Anh,C,
Ai là người sáng chế ra máy kéo sợi và lấy tên con gái mình đặt cho máy?,Giêm Oát,Giêm Ha-gri-vơ,Et-mơn Cát-ri,Xli-phen-xơn,B,
"Đến giữa thế kỉ XIX, nước Anh được mệnh danh là",“Nước có nền công nghiệp phát triển nhất thế giới”,“Nước công nghiệp hiện đại”,“ Nước đi tiên phong trong công nghiệp”,“Công xưởng của thế giới”,D,
Khu vực Đông Nam Á ngày nay gồm bao nhiêu quốc gia?,10 quốc gia,11 quốc gia,12 quốc gia,13 quốc gia,B,
Loại chữ viết nào sau đây được sáng tạo trên cơ sở chữ Hán?,Chữ Chăm cổ,Chữ Khơ-me cổ,Chữ Miến cổ,Chữ Nôm,D,
"Trước khi tiếp xúc với văn minh Ấn Độ và Trung Hoa, cư dân Đông Nam Á đã xây dựng một nền văn minh",nông nghiệp lúa nước,thương nghiệp đường biển,thương nghiệp đường bộ,thủ công nghiệp đúc đồng,A,
Cách mạng công nghiệp lần thứ ba diễn ra trong khoảng thời gian nào?,Nửa đầu thế kỉ XIX,Nửa sau thế kỉ XIX,Nửa đầu thế kỉ XX,Nửa sau thế kỉ XX,D,
