Câu hỏi,A,B,C,D,Answer,Grade,retained
Cho mệnh đề: “x² – 1 chia hết cho 24 khi và chỉ khi x là một số nguyên tố lớn hơn 3”.,x² – 1 chia hết cho 24 tương đương với x là một số nguyên tố lớn hơn 3,x² – 1 chia hết cho 24 là điều kiện cần và đủ để x là một số nguyên tố lớn hơn 3,x² – 1 chia hết cho 24 nếu và chỉ nếu x là một số nguyên tố lớn hơn 3,x² – 1 chia hết cho 24 là điều kiện đủ để x là một số nguyên tố lớn hơn 3,D,Toán 10,False
"Trong các tập hợp sau đây, tập hợp nào là tập hợp rỗng?",A = {x ∈ ℤ | x2 – 9 = 0},B = {x ∈ ℝ | x2 – 6 = 0},C = {x ∈ ℝ | x2 + 1 = 0},D = {x ∈ ℝ | x2 – 4x + 3 = 0},C,Toán 10,False
Tập hợp X = {x ∈ ℤ | 2 < 2x – 4 < 10} bằng tập hợp nào sau đây?,∅,{2; 3; 4},{3; 4; 5},{4; 5; 6},D,Toán 10,False
x ∈ ℝ: x2 + 2 > 12. Mệnh đề nào sau đây đúng?,P(2),P(1),P(3),P(4),D,Toán 10,True
Mệnh đề phủ định của mệnh đề “Có ít nhất một số thực x thỏa mãn điều kiện bình phương của nó là 1 số không dương” là:,∀x ∈ ℝ: x² > 0,∃x ∈ ℝ: x² ≤ 0,∀x ∈ ℝ: x² ≤ 0,∃x ∈ ℝ: x² > 0,A,Toán 10,False
Câu nào sau đây không phải là mệnh đề chứa biến?,x2 + x – 1 > 0,4 < 5,x là số tự nhiên,x + 6 = 12,B,Toán 10,True
"Trong các tập hợp sau, tập hợp nào không phải là tập hợp rỗng?",A = {x ∈ ℕ | x2 + x + 3 = 0},B = {x ∈ ℕ | x2 + 6x + 5 = 0},C = {x ∈ ℕ* | x(x2 - 5) = 0},D = {x ∈ ℕ* | x2 - 9x + 20 = 0},D,Toán 10,False
"Lớp 1B0 có 7 học sinh giỏi Toán, 5 học sinh giỏi Lý, 6 học sinh giỏi Hóa, 3 học sinh giỏi cả Toán và Lý, 4 học sinh giỏi cả Toán và Hóa, 2 học sinh giỏi cả Lý và Hóa, 1 học sinh giỏi cả 3 môn Toán, Lý, Hóa. Số học sinh giỏi ít nhất một môn (Toán, Lý, Hóa) của lớp 10B1 là:",9,10,18,28,B,Toán 10,False
Mệnh đề nào dưới đây sai?,Nếu (-3) > (-2) thì (-3) 2 > (-2) 2,Nếu 3 là số lẻ thì 3 chia hết cho 2,Nếu 15 chia hết cho 9 thì 18 chia hết cho 3,Nếu 3 chia hết cho 1 và chính nó thì 3 là số nguyên tố,B,Toán 10,False
Tập hợp C = {x ∈ ℤ | (x2 – 5x + 4)(x2 <math>-</math><mfrac><mn>7</mn><mn>2</mn></mfrac>x + 3) = 0} có bao nhiêu phần tử?,2,3,4,5,B,Toán 10,False
"Cho ba tập hợp sau: A = {m + 1; 2} B = {1; n – 3} C = {t; 2} Hỏi m, n, t nhận giá trị nào sau đây thì A = B = C?","m = 1, n = 1, t = 1","m = – 1, n = 5, t = 1","m = 0, n = 5, t = 1","m = 0, n = 5, t = – 1",C,Toán 10,False
"Kí hiệu X là tập hợp tất cả các bạn học sinh x trong lớp 10A1, P(x) là mệnh đề chứa biến “x đạt học sinh giỏi”. Mệnh đề “∃x ∈ X, P(x)” khẳng định rằng:",Tất cả các bạn học sinh trong lớp 10A1 đều đạt học sinh giỏi;,Bất cứ ai đạt học sinh giỏi đều học lớp 10A1;,Có một số bạn học lớp 10A1 đạt học sinh giỏi;,Tất cả các bạn học sinh trong lớp 10A1 đều không đạt học sinh giỏi.,C,Toán 10,False
Có bao nhiêu giá trị nguyên m thỏa mãn A ∩ B = ∅.,3987,3988,3989,2020,C,Toán 10,True
Trong đoạn [-2020; 2021] có bao nhiêu giá trị của x để mệnh đề chứa biến P(x) là mệnh đề đúng?,2020,2021,2022,2023,A,Toán 10,True
Cho cấp số nhân u_n thỏa mãn u_2 + u_4 = 10 và u_1 + u_3 + u_5 = -21. Tìm số hạng đầu và công bội,-16 hoặc -1,-16 hoặc -2,16 hoặc 1,16 hoặc -2,B,Toán 11,False
Một tứ giác lồi có số đo các góc lập thành một cấp số nhân. Biết rằng số đo của góc nhỏ nhất bằng 1/9 số đo của góc nhỏ thứ ba. Số đo của các góc trong tứ giác đó lần lượt là,5°; 15°; 45°; 225°,9°; 27°; 81°; 243°,7°; 21°; 63°; 269°,8°; 32°; 72°; 248°,B,Toán 11,True
"Cho dãy số xác định bởi u1=3, un+1=2un2−15, ∀n≥1. Khẳng định nào sau đây đúng?",u là cấp số cộng và không là cấp số nhân.,u là cấp số nhân và không là cấp số cộng.,"u vừa là cấp số cộng, vừa là cấp số nhân.","u không là cấp số cộng, không là cấp số nhân.",C,Toán 11,False
"Cho cấp số cộng có tổng n số hạng đầu là S_n=3n^2+4n, n∈ℕ. Giá trị của số hạng thứ 10 của cấp số cộng là",55.,67.,61.,59.,C,Toán 11,False
"Cho ba số x, 5, 3y theo thứ tự lập thành cấp số cộng và ba số x, 3, 3y theo thứ tự lập thành cấp số nhân thì 3y-x bằng?",8,6,9,10,A,Toán 11,False
Cho cấp số nhân . Dãy số nào dưới đây không phải là cấp số nhân?,"a1, a3, a5, ..., an+1, ...","a1−3, a2−3, a3−3, ..., an−3, ...","2a1, 2a2, 2a3, ..., 2an, ...","∛a1, ∛a2, ∛a3, ..., ∛an, ...",B,Toán 11,True
Gọi S là tập hợp tất cả các giá trị của tham số m để phương trình x^4 − (m+1)x^2 + m = 0 có 4 nghiệm phân biệt lập thành cấp số cộng. Tổng giá trị của các phần tử thuộc S là,91/9,28/9,13/9,82/9,D,Toán 11,True
Tìm chữ số hàng đơn vị của u2018?,6,9,4,3,D,Toán 11,True
Dãy số nào sau đây là một cấp số nhân?,"2, 4, 6, 8, ....","2, 4, 8, 16, ...","1, 2, 3, 4, ...","1, 3, 5, 7, ....",B,Toán 11,True
"Cho cấp số nhân có u1=2, q=3. Khi đó số hạng thứ 3 của cấp số nhân là",12,8,54,18,D,Toán 11,True
"Cho dãy số u1 = 1, un = 2un-1 + 3un-2. Khi đó số hạng thứ n+3 là",2un+2 + 3un+1,2un+2 + 3un,2un-2 + 3un+1,2un+2 + 3un-1,A,Toán 11,False
Cho cấp số nhân có  u5+u19=90. Tính tổng của 23 số hạng đầu tiên của cấp số cộng trên.,1030.,1025.,1035.,1040.,A,Toán 11,True
Tìm số thực a để dãy số với  là dãy số giảm?,a > 2/3.,a < 3/2.,a > 3/2.,a < 2/3.,D,Toán 11,False
Xét dãy các số tự nhiên chẵn liên tiếp u: 0; 2; 4; 6; 8; .... Số 2018 là số hạng thứ mấy?,2016.,2018.,1010.,1009.,C,Toán 11,True
"Một khu rừng có trữ lượng gỗ là 4.10^5 mét khối. Biết tốc độ sinh trưởng của các cây ở khu rừng đó là 4% mỗi năm. Hỏi sau 5 năm, khu rừng đó sẽ có bao nhiêu mét khối gỗ?",4.10^5 . 0.05^5,4 . 10.4^5,4.10^5 . 1.04^4,4.10^5 . 1.4^5,C,Toán 11,True
Tổng 1+2+2^2+...+2^2017 có giá trị bằng,2^2018.,2^2017.,2^2018−1.,2^2017−1.,C,Toán 11,True
Tổng 1+2+2^2+...+2^2017 có giá trị bằng,2^2017-1,2^2017,2^2018-1,2^2018,C,Toán 11,True
Cho cấp số cộng u có u1=123 và u3−u15=84. Số hạng u17 là,4,242,11,235,C,Toán 11,True
Ba số hạng liên tiếp của một cấp số cộng có tổng bằng -9 và tổng các bình phương của chúng bằng 29. Tìm số hạng đầu tiên,-3 hoặc – 6,-4 hoặc -2,-1 hoặc -5,-4 hoặc - 7,B,Toán 11,True
Cho tam giác ABC biết 3 góc của tam giác lập thành một cấp số cộng và có góc nhỏ nhất bằng 25°. Tìm 2 góc còn lại?,65° ; 90°.,75° ; 80°.,60° ; 95°.,55°; 100°.,C,Toán 11,True
Mệnh đề nào dưới đây sai?,Dãy số 1; -2; 4; -8; 16; -32; 64 là một cấp số nhân.,Dãy số 7; 0; 0; 0;... là một cấp số nhân.,Dãy số (u<sub>n</sub>):u<sub>n</sub>= n.6<sup>n + 1</sup> là một cấp số nhân.,Dãy số (v<sub>n</sub>):v<sub>n</sub>= (-1)<sup>n</sup>.3<sup>2n</sup> là một cấp số nhân.,C,Toán 11,False
Dãy số (u<sub>n</sub>) có phải là cấp số nhân không ? Nếu phải hãy xác định số công bội ? Biết rằng u<sub>n</sub> = 4.3<sup>n</sup>,q = 3,q = 2,q = 4,q = ∅,A,Toán 11,False
Cho cấp số nhân (u<sub>n</sub>) với u<sub>1</sub> = 3; q = -2 . Số 192 là số hạng thứ mấy của (u<sub>n</sub>) ?,Số hạng thứ 5.,Số hạng thứ 6.,Số hạng thứ 7.,Không là số hạng của cấp số đã cho.,A,Toán 11,False
"Cho cấp số cộng (u<sub>n</sub>) có: u<sub>1</sub> = -0,1; d = 0,1. Số hạng thứ 7 của cấp số cộng này là:","1, 6",6,"0,5","0,6",C,Toán 11,True
Giá trị của giới hạn lim x→1 x−x3  là,- 3/2,0,-2,1,B,Toán 11,False
"Cho giới hạn lim x→−∞ (4x^3 - 1) / (3x^2 + x + 2) = - a/b với a, b ∈ ℤ và a/b là phân số tối giản. Chọn kết quả đúng trong các kết quả sau:","a = 11,  b = 4","a = 11,  b = 3","a = 10,  b = 3","a = 11,  b = 5",A,Toán 11,False
Tính giới hạn lim x→−2− 3+2x / x+2,2,-∞,#ERROR!,3/2,C,Toán 11,True
"Trong các giới hạn dãy số dưới đây, giới hạn có kết quả đúng là",-3n^4 + 3,-3n^4 + 3 = 0,-n^4 + 2 = +∞,5n^4 - 2 = -∞,A,Toán 11,True
Hàm số nào dưới đây gián đoạn tại x = −2?,y = 2x^2 + x − 5,y = (x + 5)/(x - 2),y = 1/(x + 2),y = (x - 2)/(2x),C,Toán 11,False
"Trong các hàm số sau, hàm số nào liên tục tại x=1?",y=√(x+3),y=(x+5)/(x-1),y=3x/((x^2)+x-2),y=√(x-4),A,Toán 11,True
Tính lim x→+∞ −2x3−4x2+5.,2,3,-∞,#ERROR!,C,Toán 11,True
Giá trị của lim 1/n^k bằng,4,0,2,5,B,Toán 11,True
Cho hàm số f(x) thỏa mãn lim x→2018+ f(x) = −2018 và lim x→2018− f(x) = 2018. Khi đó khẳng định nào sau đây đúng:,lim x→2018 f(x) = 0,lim x→2018 f(x) = 2018,lim x→2018 f(x) = −2018,Không tồn tại lim x→2018 f(x).,D,Toán 11,False
"Cho dãy số u_n, v_n thỏa lim u_n = 2, lim v_n = 1. Tính lim 2u_n − 3v_n.",1,2,3,7,A,Toán 11,True
Hàm số y=f(x) có đồ thị dưới đây gián đoạn tại điểm có hoành độ bằng bao nhiêu?,0,1,3,2,B,Toán 11,False
"Cho lim x→1 (sqrt(x+1) - 2) / (2 - x) = sqrt(a) - b với a, b ∈ ℕ, 0 ≤ a, b ≤ 3, khi đó a + 2b bằng",3,6,4,2,B,Toán 11,True
Cho hàm số f(x) = (x^3 - x^2 + 2x - 2)/(x - 1)  để f(x) liên tục tại x = 1 thì m bằng,1,0,2,-1,B,Toán 11,True
"Trong các giới hạn dưới đây, giới hạn nào bằng +∞?",2x-1/(4-x),-x^3 + 2x + 3,x^2 + x + 1/(x-1),2x-1/(4-x),A,Toán 11,True
Hàm số y=2−sin2x có tập xác định ℝ khi,m>0,0<m<1,m≠-1,-1<m<1,D,Toán 11,True
Tập xác định của hàm số y=tan(x)/cos(x)-1 là:,x≠k2π,x=π/3+k2π,"x≠π/2+kπ, x≠k2π","x≠π/2+kπ, x≠π/3+kπ",C,Toán 11,False
Tập xác định của hàm số y=cotx/cosx là:,x=kπ,x=k2π,x=kπ,x≠kπ/2,D,Toán 11,False
Hàm số y=tan x đồng biến trên khoảng:,0;π/2,0;π/2,0;3π/2,-3π/2;π/2,A,Toán 11,True
Khẳng định nào sau đây đúng?,Hàm số y=sin x đồng biến trong khoảng π/4;3π/4,Hàm số y=cos x đồng biến trong khoảng π/4;3π/4,Hàm số y=sin x đồng biến trong khoảng -3π/4;-π/4,Hàm số y=cos x đồng biến trong khoảng -3π/4;-π/4,D,Toán 11,False
"Tìm tập giá trị lớn nhất, giá trị nhỏ nhất của hàm số sau y=4/(1+2sin²x)","min y = 4/3, max y = 4","min y = 4/3, max y = 3","min y = 4/3, max y = 2","min y = 1/2, max y = 4",A,Toán 11,False
"Tìm tập giá trị lớn nhất, giá trị nhỏ nhất của hàm số sau y=3sinx+4cosx+1","max y=6, min y=-2","max y=4, min y=-4","max y=6, min y=-4","max y=6, min y=-1",C,Toán 11,False
"Xét các phương trình lượng giác: I sin x + cos x = 3, II 2 sin x + 3 cos x = √12, III cos² x + 2 cos x = 2. Trong các phương trình trên, phương trình nào vô nghiệm?",Chỉ (I),Chỉ (III),(I) và (III),Chỉ (II),A,Toán 11,False
Nghiệm của phương trình cos4x+12sin2x−1=0 là,x=kπ2,x=π2+kπ,x=kπ,x=2kπ,C,Toán 11,True
Phương trình 3sin2x+mcos2x=5 vô nghiệm khi và chỉ khi:,−4<m<4,m≥4,m≤4,m∈ℝ,A,Toán 11,True
Tập nghiệm của phương trình sin2x.cosx=0 là,"kπ,k∈ℤ","kπ/2,k∈ℤ","k2π,k∈ℤ","π/2+kπ,k∈ℤ",B,Toán 11,False
Số nghiệm của phương trình 2sinx−2cosx=√2 thuộc đoạn [0;π/2] là,2,0,3,1,D,Toán 11,True
Giải phương trình 3sin2x+2sin²x x=3,x=π/3+kπ,x=5π/6+kπ,x=2π/3+kπ,x=π/6+kπ,A,Toán 11,False
Phương trình 2sin2x - 5sinx cosx - cos2x x = -2 tương đương với phương trình nào sau đây,3cos2x - 5sin2x = 5,3cos2x + 5sin2x = -5,3cos2x - 5sin2x = -5,3cos2x + 5sin2x = 5,D,Toán 11,False
Số nghiệm của phương trình cos2x+5sinx=4 thuộc đoạn [0;2π] là,2,3,1,0,C,Toán 11,True
Tất cả các nghiệm của phương trình sin3x−cosx=0,x=π8+kπ2,x=π8+kπ,x=π8+kπ2,x=π4+2kπ,A,Toán 11,False
Tính tổng tất cả các nghiệm của phương trình 2sinx−1=0 trên đoạn [−π2;π2],S=π2,S=π3,S=5π6,S=π6,D,Toán 11,False
Giá trị m để phương trình 5sinx−m= tan2x sinx−1 có đúng 3 nghiệm thuộc −π;là,0≤m≤5,0≤m≤5,0≤m≤11/2,-1<m≤6,C,Toán 11,True
Có bao nhiêu giá trị nguyên của m để phương trình cos2x+sinx+m=0 có nghiệm x∈[-π/6;π/4],2,1,0,3,A,Toán 11,True
sin x − cos x + 8 sin x cos x = 1,x = kπ/2; k ∈ ℤ,x = π/2 + kπ; k ∈ ℤ,x = 2kπ; k ∈ ℤ,x = kπ; k ∈ ℤ,A,Toán 11,False
"Trong các phương trình sau, phương trình nào vô nghiệm?",sinx+ 3 = 0,2cos2x -cosx – 1 = 0,tanx + 3 = 0,3sinx – 2 = 0,A,Toán 11,False
Một hộp chứa chín chiếc thẻ được đánh số từ 1 đến 9. Lấy ngẫu nhiên (đồng thời) hai thẻ. Số phần tử của không gian mẫu là,81,9,36,72,C,Toán 11,True
"Cho hai đường thẳng song song d1, d2. Trên d1 lấy 5 điểm phân biệt tô màu xanh, trên d2 lấy 8 điểm phân biệt tô màu đỏ. Xét tất cả các tam giác có đỉnh lấy từ các điểm trên. Chọn ngẫu nhiên một tam giác. Tính xác suất để tam giác được chọn có đúng hai đỉnh màu xanh.",5/11,5/143,7/11,4/11,D,Toán 11,True
"Đội học sinh giỏi cấp trường môn Tiếng Anh của trường THPT chuyên Vĩnh Phúc gồm 8 học sinh khối 10, 8 học sinh khối 11 và 8 học sinh khối 12. Nhà trường cần chọn 10 học sinh tham gia câu lạc bộ tiếng Anh của trường. Tính số cách chọn sao cho có học sinh cả ba khối và có nhiều nhất 2 học sinh khối 10.",1961256,451824,451880,459888,B,Toán 11,True
"Có 3 xạ thủ bắn độc lập vào bia. Xác suất bắn trúng của mỗi xạ thủ lần lượt là 0,6; 0,8 và 0,9. Tính xác suất để trong 3 xạ thủ có đúng 2 xạ thủ bắn trúng bia.","0,568","0,876","0,7","0,444",D,Toán 11,True
Hệ số x^7 của trong khai triển (4−x)^9 là,9C9.7.,-16C9.7.,-9C9.7.,16C9.7.,D,Toán 11,True
Từ các chữ số 0 ; 1; 2 ; 3 ; 5 lập được bao nhiêu số gồm có 4 chữ số khác nhau và không chia hết cho 5 ?,54,120,69,72,A,Toán 11,False
Giải bóng đá ngoại hạng Anh có 20 đội bóng tham gia thi đấu vòng tròn 2 lượt. Hỏi có bao nhiêu trận đấu sẽ được tổ chức?,40,190,380,400,C,Toán 11,True
"Trong 1 hộp đựng 4 viên bi đỏ và 3 viên bi xanh, lấy ngẫu nhiên ra 2 viên. Có bao nhiêu cách lấy ra 2 viên cùng màu?",7,6,9,3,C,Toán 11,False
Tổng C2017+1 + C2017+2 + ... + C2017+2016 bằng,2^2017 + 1.,2^2016 + 1.,2^2017 - 1.,2^2017 - 2.,D,Toán 11,False
"Có bao nhiêu cách sắp xếp năm bạn An, Bình, Châu, Dung và Đức đứng thành một hàng ngang?",25.,20.,120.,24.,C,Toán 11,True
Cho khai triển 1+2x^10 = a0 + a1x + ... + a10x^10. Khi đó giá trị của a1 bằng bao nhiêu?,320,10,20,5120,C,Toán 11,True
Số cách sắp xếp 4 nam sinh và 3 nữ sinh vào một dãy ghế hàng ngang có 7 chỗ ngồi là,7!,4! .3!,12!,4!+3!,A,Toán 11,True
Giá trị của tổng A = C2016 + C2016 + ... + C20162015,2^2016,2^2016 - 1,2^2016 - 2,4^2016,C,Toán 11,False
Gieo hai con súc sắc cân đối đồng chất. Tính xác suất để hiệu số chấm xuất hiện của hai con súc sắc bằng 1.,5/36,5/9,5/18,1/9,C,Toán 11,True
Có ba chiếc hộp mỗi hộp đựng 2 viên bi xanh và 8 viên bi đỏ. Lấy ngẫu nhiên từ mỗi hộp một viên bi. Tính xác suất để trong 3 viên bi lấy được có ít nhất 1 viên bi xanh?,512/1000,488/1000,1/15,1/30,B,Toán 11,False
"Một trường THPT có 4 học sinh giỏi toán là nam, 5 học sinh giỏi văn là nam và 3 học sinh giỏi văn là nữ. Cần chọn 3 em đi dự đại hội ở Tỉnh. Tính xác suất để trong 3 em được chọn có cả nam lẫn nữ, có cả học sinh giỏi toán và học sinh giỏi văn.",3/44,3/22,9/22,18/55,C,Toán 11,True
Tìm hệ số lớn nhất trong khai triển (a+b)n biết tổng các hệ số bằng 4096.,792.,462.,924.,1716.,C,Toán 11,True
"Trên bàn có 8 cây bút chì khác nhau, 6 cây bút bi khác nhau và 10 cuốn tập khác nhau. Một học sinh muốn chọn một đồ vật duy nhất hoặc một cây bút chì hoặc một cây bút bi hoặc một cuốn tập thì số cách chọn khác nhau là:",480,24,48,60,B,Toán 11,True
"Trong một cuộc thi tìm hiểu về đất nước Việt Nam, ban tổ chức công bố danh sách các đề tài bao gồm: 8 đề tài về lịch sử, 7 đề tài về thiên nhiên, 10 đề tài về con người và 6 đề tài về văn hóa. Mỗi thí sinh được quyền chọn một đề tài. Hỏi mỗi thí sinh có bao nhiêu khả năng lựa chọn đề tài?",20,3360,31,30,C,Toán 11,True
"Một người vào cửa hàng ăn, người đó chọn thực đơn gồm một món ăn trong 5 món, một loại quả tráng miệng trong 5 loại quả tráng miệng và một nước uống trong 3 loại nước uống. Có bao nhiêu cách chọn thực đơn.",25,75,100,15,B,Toán 11,True
Có bao nhiêu cách xếp khác nhau cho 4 người ngồi vào 6 chỗ trên một bàn dài?,15,720,30,360,D,Toán 11,True
"Trong một ban chấp hành đoàn gồm 7 người, cần chọn ra 3 người vào ban thường vụ. Nếu cần chọn ban thường vụ gồm ba chức vụ bí thư, phó bí thư, ủy viên thường vụ thì có bao nhiêu cách chọn?",210,200,180,150,A,Toán 11,False
"Trong khai triển nhị thức (a + 2)n + 6, (n ∈ N). Có tất cả 17 số hạng. Vậy n bằng:",17,11,10,12,C,Toán 11,True
Tìm hệ số của x5 trong khai triển P(x) = x(1 - 2x)5 + x2(1 + 3x)10,80,3240,3320,259200,C,Toán 11,True
Đạo hàm của hàm số y=x là,y'=2√x.,y'=1√x.,y'=1/(2√x).,y'=2√x.,C,Toán 11,True
Hàm số y=sin(x)+x có đạo hàm là,-cos(x)+1,cos(x)+1,sin(x)+x,sin(x)+1,B,Toán 11,True
Tính đạo hàm của hàm số y = x² + 1,y' = x² + 1,y' = 2x + 1,y' = 2x,y' = 2x - 1,C,Toán 11,False
Cho hàm số y = f(x) có đạo hàm trên tập số thực. Tìm hệ thức đúng.,f'(1) = lim x→1 (f(x) - f(1)) / (x - 1).,f'(1) = lim x→1 f(x) / (x - 1).,f'(1) = lim x→1 f(x) / x.,f'(1) = lim x→1 (f(1) - f(x)) / (x - 1).,A,Toán 11,False
Cho hàm số y= f (x) có đạo hàm đến cấp 2 trên tập số thực. Tìm hệ thức đúng.,f''(1) = lim x→1 (f(x) - f(1))/(x - 1).,f''(1) = lim x→1 ((f'(x) - f'(1))/(x - 1)).,f''(1) = lim x→1 (f(x)/x).,f''(1) = lim x→1 ((f(1))/(x - 1)).,B,Toán 11,True
"Cho chuyển động thẳng xác định bởi phương trình: S = t³ + 3t² - 9t + 27, trong đó t tính bằng giây và S được tính bằng mét. Gia tốc của chuyển động tại thời điểm vận tốc triệt tiêu là",0 m/s²,6 m/s²,24 m/s²,12 m/s²,D,Toán 11,False
Cho hàm số y=1/2x^4−mx−3x/2. Có bao nhiêu giá trị nguyên dương của tham số m để y′≥0 với mọi x thuộc khoảng 0;+∞?,5,3,0,4,A,Toán 11,True
"Cho hàm số f(x)=a*x^3+b*x^3/3+c*x^2. Biết f(2)=95/4, f'(1)=16, f''(-1)=8. Khi đó tính tổng a+b+c.",1,2,0,3,B,Toán 11,True
Hệ số góc k của tiếp tuyến với đồ thị hàm số y=2x+1 tại giao điểm của đồ thị hàm số với trục tung là?,k=2.,k=-2.,k=1.,k=-1.,C,Toán 11,False
"Một chuyển động có phương trình s = t² - 2t + 3 (đối với s tính bằng mét, t tính bằng giây). Vận tốc tức thời của chuyển động tại thời điểm t = 2 là",6 m/s,4 m/s,8 m/s,2 m/s,A,Toán 11,False
Cho hàm số f(x)=√x²+3. Tính giá trị của biểu thức S=f(1)+4f'(1).,2.,4.,6.,8.,B,Toán 11,True
Cho hàm số f(x)=−x³+3mx²−12x+3 với m là tham số thực. Số giá trị nguyên của m để f'(x)≤0 với ∀x∈ℝ là,1,5,4,3,B,Toán 11,False
Vi phân của hàm số y=cos2x+cotx là,-2cos2x+1/sin2x,2sin2x+1/sin2x,-2cos2x-1/sin2x,-2sin2x-1/sin2x,D,Toán 11,True
Tính f''0.,132.,528.,240.,264.,B,Toán 11,True
Hệ số góc của tiếp tuyến của đồ thị hàm số y=x-1/(x+1) tại điểm có hoành độ x0=0 là,1,-2,-1,2,D,Toán 11,True
Tìm số gia Δy của hàm số y=x² biết x0=3 và Δx=-1.,13.,7.,−5.,16.,C,Toán 11,True
Cho hàm số y=x²+3/x+1. Nếu y'>0 thì x thuộc tập hợp nào sau đây:,-∞;-3 ∪ 1;+∞,-3;-1 ∪ 1;+∞,-∞;-3 ∪ -1;1,-3;-1 ∪ -1;1,A,Toán 11,False
Cho hàm số y=cos√2x2−x+7. Khi đó y' bằng,−sin√2x2−x+7.,1−4x sin√2x2−x+7.,−2x2−x+7 sin√2x2−x+7.,2x2−x+7 sin√2x2−x+7.,C,Toán 11,True
Gọi C là đồ thị của hàm số y=x−1³. Tiếp tuyến của C song song với đường thẳng Δ:12x−y−2018=0 có phương trình là,y=−12x−4 và y=−12x+4,y=12x+28 và y=12x−4,y=−12x−28 và y=12x+28,y=12x−28 và y=12x+4,D,Toán 11,False
Tiếp tuyến của đồ thị hàm số y=x^3+2x−4 tại điểm M(0;-4) có phương trình là,y=2x−2.,y=2x+4.,y=2x.,y=2x−4.,D,Toán 11,True
Đạo hàm của hàm số y=1/2sin2x+cosx tại x0=π/2,-1,2,0,-2,D,Toán 11,True
Số gia của hàm số y = x² - 1 tại điểm x = 0 = 2 ứng với số gia Δ bằng bao nhiêu?,"-0,01","0,41","0,99","11,1",B,Toán 11,True
Hệ số góc của tiếp tuyến với đồ thị hàm số y = x4+ x3- 2x2+ 1 tại điểm có hoành độ -1 là:,11,4,3,-3,A,Toán 11,True
Cho f(x) = cos2x - sin2x. Biểu thức có giá trị là bao nhiêu?,-2,0,1,2,A,Toán 11,True
Hàm số nào sau đây có đạo hàm y' = xsinx?,xcosx,sinx - xcosx,sinx - cosx,xcosx - sinx,B,Toán 11,False
Đạo hàm của hàm số y = (x<sup>5</sup> - 2x<sup>2</sup>)<sup>2</sup> bằng biểu thức nào sau đây?,10x<sup>9</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 14x<sup>6</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 28x<sup>6</sup> + 16x<sup>3</sup>,10x<sup>9</sup> - 28x<sup>6</sup> + 8x<sup>3</sup>,C,Toán 11,True
Phương trình tiếp tuyến của parabol y = x2 + x + 3 song song với đường thẳng là :,y = x - 2,y = 1 - x,y = 2 - x,y = 3 - x,C,Toán 11,False
"Cho tứ diện đều ABCD có cạnh bằng 3. Gọi M, N là hai điểm thay đổi lần lượt thuộc cạnh BC, BD sao cho mặt phẳng (AMN) luôn vuông góc với mặt phẳng (BCD). Gọi V1, V2 lần lượt là giá trị lớn nhất và nhỏ nhất của thể tích khối tứ diện ABMN. Tính V1 + V2?",17√2/8,51√2/16,√2/4,51√2/8,A,Toán 12,True
"Khối chóp tam giác có độ dài 3 cạnh xuất phát từ một đỉnh là a, 2a, 3a có thể tích lớn nhất bằng:",4a^3,2a^3,a^3,6a^3,C,Toán 12,True
"Cho khối lập phương có thể tích bằng 27, diện tích toàn phần của khối lập phương đã cho bằng:",75,36,18,54,D,Toán 12,True
"Cho khối chóp tứ giác đều có cạnh đáy bằng a, chiều cao bằng a√2/2. Thể tích khối chóp đã cho bằng:",a³√3/4,a³√2/3,a³√2/2,a³√2/6,D,Toán 12,False
"Cho hình chóp S.ABC có đáy ABC vuông tại A và SB vuông góc với đáy. Biết SB = a, SC hợp với (SAB) một góc 30° và (SAC) hợp với đáy (ABC) một góc 60°. Thể tích của khối chóp là:",a³√3/27,a³√3/9,a³/27,a³/9,A,Toán 12,True
"Cho tứ diện ABCD có A.D = 14, B.C = 6. Gọi M, N lần lượt là trung điểm của các cạnh AC, BD và MN = 8. Gọi là góc giữa hai đường thẳng BC và MN. Tính ",2√2/3,√3/2,1/2,√2/4,B,Toán 12,True
"Một lăng trụ đứng tam giác có các cạnh đáy là 11cm, 12cm, 13cm và diện tích xung quanh bằng 144c m2. Thể tích của khối lăng trụ đó là:",24√105c m3,12√105c m3,18√105c m3,6√105c m3,A,Toán 12,False
"Cho khối chóp S.ABC có đáy ABC là tam giác đều cạnh a,  và  và  . Tính thể tích khối chóp S.ABC",V.S.ABC= a3√3/6,V.S.ABC= a3√3/4,V.S.ABC= a3√3/12,V.S.ABC= a3√3/3,C,Toán 12,False
"Cho hình chóp tứ giác S.ABCD có đáy ABCD là hình vuông cạnh a,  và . Thể tích của khối chóp S.ABCD bằng:",a³√6/6,a³√6,a³√6/3,a³√6/2,C,Toán 12,True
Một hình chóp tứ giác đều có mấy mặt đối xứng:,3,2,1,4,D,Toán 12,False
"Cho hình chóp S.ABC có đáy ABC là tam giác vuông cạnh C, A B = a√5, A C = a. Cạnh bên S A = 3 a và vuông góc với mặt phẳng đáy. Thể tích của khối chóp S.ABC bằng:",a√5/2a^3,3a^3,a^3,2a^3,C,Toán 12,True
