Question,Fed_Prompt,Label,Choosed_wrong_answer,True_answer,Subject
"### Câu hỏi: Giêm-ha-gri-vơ sáng chế ra máy kéo sợi Gien Ny cho năng xuất gấp :
A. 7 lần
B. 6 lần
C. []
D. 8 lần
","Giêm-ha-gri-vơ sáng chế ra máy kéo sợi Gien Ny cho năng xuất gấp :
A. 7 lần
B. 6 lần
C. ",5 lần,C,D,history
"### Câu hỏi: Bên cạnh chính sách khai thác, bóc lột Ấn Độ thực dân Anh còn thi hành chính sách thâm độc nào?
A. []
B. Áp dụng chính sách ""chia để trị"".
C. Thi hành chính sách “ngu dân”.
D. Khuyến khích những tập quán lạc hậu và phản động thời cổ xưa.
","Bên cạnh chính sách khai thác, bóc lột Ấn Độ thực dân Anh còn thi hành chính sách thâm độc nào?
A. ","Lợi dụng sự khác biệt về đẳng cấp, tôn giáo để đàn áp nhân dân Ấn Độ.",A,B,history
"### Câu hỏi: Chế độ chính trị của Mĩ là
A. Cộng hòa
B. []
C. Quân chủ lập hiến
D. Phong kiến
","Chế độ chính trị của Mĩ là
A. Cộng hòa
B. ",Quân chủ chuyên chế,B,A,history
"### Câu hỏi: Cuộc khủng hoảng kinh tế ở Mĩ đạt đến đỉnh cao nhất vào năm nào?
A. []
B. Năm 1931
C. Năm 1932
D. Năm 1933
","Cuộc khủng hoảng kinh tế ở Mĩ đạt đến đỉnh cao nhất vào năm nào?
A. ",Năm 1929,A,C,history
"### Câu hỏi: Trước cách mạng, ở Pháp đẳng cấp nào được hưởng đặc quyền, không phải đóng thuế?
A. Đẳng cấp tăng lữ.
B. Đẳng cấp quý tộc.
C. []
D. Đẳng cấp tăng lữ và quý tộc.
","Trước cách mạng, ở Pháp đẳng cấp nào được hưởng đặc quyền, không phải đóng thuế?
A. Đẳng cấp tăng lữ.
B. Đẳng cấp quý tộc.
C. ",Đẳng cấp thứ ba.,C,D,history
"### Câu hỏi: Anh xâm lược và đặt ách Cai trị ở Ấn Độ vào thời gian nào?
A. Thế kỉ X
B. Thế kỉ XI
C. []
D. Thế kỉ XIII
","Anh xâm lược và đặt ách Cai trị ở Ấn Độ vào thời gian nào?
A. Thế kỉ X
B. Thế kỉ XI
C. ",Thế kỉ XII,C,D,history
"### Câu hỏi: Nhân dân Trung Quốc chống Anh xâm lược – Chiến tranh thuốc phiện vào năm
A. []
B. 1840- 1843
C. 1840- 1841
D. 1840- 1842
","Nhân dân Trung Quốc chống Anh xâm lược – Chiến tranh thuốc phiện vào năm
A. ",1840- 1844,A,D,history
"### Câu hỏi: Cuối thế kỉ XIX, thực dân Pháp hoàn thành quá trình xâm lược các nước nào ở Đông Nam Á?
A. Thái Lan, Việt Nam, Cam-pu-chia.
B. Việt Nam, Lào, Cam-pu-chia.
C. Việt Nam, Lào, Cam-pu-chia, Thái Lan.
D. []
","Cuối thế kỉ XIX, thực dân Pháp hoàn thành quá trình xâm lược các nước nào ở Đông Nam Á?
A. Thái Lan, Việt Nam, Cam-pu-chia.
B. Việt Nam, Lào, Cam-pu-chia.
C. Việt Nam, Lào, Cam-pu-chia, Thái Lan.
D. ","Việt Nam, Lào, Cam-pu-chia, Xin-ga-po.",D,C,history
"### Câu hỏi: Hậu quả của chiến tranh thế giới thứ nhất mà các nước Châu Âu phải gánh chịu là gì?
A. Các nước thắng trận và bại trận đều bị suy sụp về kinh tế
B. Xuất hiện một số quốc gia mới
C. Cao trào cách mạng bùng nổ mạnh mẽ
D. []
","Hậu quả của chiến tranh thế giới thứ nhất mà các nước Châu Âu phải gánh chịu là gì?
A. Các nước thắng trận và bại trận đều bị suy sụp về kinh tế
B. Xuất hiện một số quốc gia mới
C. Cao trào cách mạng bùng nổ mạnh mẽ
D. ",Sự khủng hoảng về chính trị,D,A,history
"### Câu hỏi: Thành tựu lớn nhất trong lĩnh vực quân sự cuối thế kỉ XVIII đầu thế kỉ XIX là gì?
A. Nhiều vũ khí mới được sản xuất: đại bác, chiến hạm, thủy lôi...
B. []
C. Chiến hạm chân vịt có trọng tải lớn.
D. Khí cầu dùng để trinh sát trận địa đối phương.
","Thành tựu lớn nhất trong lĩnh vực quân sự cuối thế kỉ XVIII đầu thế kỉ XIX là gì?
A. Nhiều vũ khí mới được sản xuất: đại bác, chiến hạm, thủy lôi...
B. ",Chế tạo được súng trường bắn nhanh và xa.,B,A,history
"### Câu hỏi: Ngày 28 - 8 - 1789 diễn ra sự kiện lịch sử nào ở Pháp?
A. Công nhân, thợ thủ công đánh chiếm nhà tù Ba-xti.
B. Bản Tuyên ngôn Nhân quyền và Dân quyền ra đời.
C. []
D. Quốc hội lập hiến tuyên bố xóa bỏ mọi nghĩa vụ của nông dân.
","Ngày 28 - 8 - 1789 diễn ra sự kiện lịch sử nào ở Pháp?
A. Công nhân, thợ thủ công đánh chiếm nhà tù Ba-xti.
B. Bản Tuyên ngôn Nhân quyền và Dân quyền ra đời.
C. ",Quốc hội lập hiến thông qua Hiến pháp mới.,C,B,history
"### Câu hỏi: Nước Nga trải qua bao nhiêu năm chiến tranh đế quốc và nội chiến?
A. 4 năm chiến tranh đế quốc và 3 nội chiến
B. []
C. 3 chiến tranh đế quốc và 4 nội chiến
D. 4 chiến tranh đế quốc và 2 nội chiến
","Nước Nga trải qua bao nhiêu năm chiến tranh đế quốc và nội chiến?
A. 4 năm chiến tranh đế quốc và 3 nội chiến
B. ",5 chiến tranh đế quốc và 3 nội chiến,B,A,history
"### Câu hỏi: Anh công nhận nền độc lập của 13 bang thuộc địa Anh ở Bắc Mĩ bằng văn kiện nào?
A. []
B. Hòa ước Brer-li-tốp.
C. Hiệp ước Véc-xai.
D. Hiệp định Giơ-ne-vơ.
","Anh công nhận nền độc lập của 13 bang thuộc địa Anh ở Bắc Mĩ bằng văn kiện nào?
A. ",Hòa ước Mác xây.,A,C,history
"### Câu hỏi: Kinh tế Nhật Bản phát triển mau lẹ là do
A. []
B. Số tiền bồi thường chiến phí và của cải cướp được ở Triều Tiên và Trung Quốc.
C. Do sự bóc lột tàn tệ của giới chủ nhân.
D. Ảnh hưởng của cách mạng Nga 1905.
","Kinh tế Nhật Bản phát triển mau lẹ là do
A. ","Việc đẩy mạnh công nghiệp hóa, tập trung công nghiệp, thương nghiệp và ngân hàng",A,B,history
"### Câu hỏi: Nga tham chiến vào chiến tranh thế giới thứ nhất đã đẩy đất nước vào tình trạng
A. Nạn thất nghiệp tăng nhanh, nạn đói xảy ra trầm trọng.
B. Bị các nước đế quốc thôn tính.
C. []
D. Khủng hoảng trầm trọng về kinh tế, chính trị, xã hội.
","Nga tham chiến vào chiến tranh thế giới thứ nhất đã đẩy đất nước vào tình trạng
A. Nạn thất nghiệp tăng nhanh, nạn đói xảy ra trầm trọng.
B. Bị các nước đế quốc thôn tính.
C. ",Khủng hoảng trầm trọng về kinh tế.,C,D,history
"### Câu hỏi: Ý nào không phản ánh đúng tình trạng kinh tế nước Anh trước khi cách mạng tư sản bùng nổ?
A. Nội thương và ngoại thương nước Anh phát triển rất mạnh mẽ
B. []
C. Quan hệ sản xuất tư bản chủ nghĩa ở Anh đã phát triển cả trong công nghiệp, nông nghiệp và thương nghiệp.
D. Nền sản xuất nước Anh đã sử dụng máy móc và máy hơi nước
","Ý nào không phản ánh đúng tình trạng kinh tế nước Anh trước khi cách mạng tư sản bùng nổ?
A. Nội thương và ngoại thương nước Anh phát triển rất mạnh mẽ
B. ","Quan hệ tiền tệ đã thâm nhập vào nông thôn nước Anh, làm thay đổi cơ cấu kinh tế và cách thức kinh doanh",B,D,history
"### Câu hỏi: Ý nào không phản ánh đúng tình trạng kinh tế nước Pháp trước khi các mạng tư sản bùng nổ?
A. []
B. Mậu dịch nước Pháp rất phát triển, nước Pháp chiếm một nửa số tiền tệ của toàn Châu Âu
C. Nông nghiệp nước Pháp phát triển mạnh theo hướng sản xuất tư bản chủ nghĩa, hỗ trợ cho công nghiệp.
D. Máy hơi nước và máy móc đã xuất hiện ở Pháp, nhưng chưa được áp dụng phổ biến
","Ý nào không phản ánh đúng tình trạng kinh tế nước Pháp trước khi các mạng tư sản bùng nổ?
A. ","Nền kinh tế Pháp ở thế kỉ XVII đã phát triển khá mạnh, nhất là về công nghiệp và thương nghiệp",A,C,history
"### Câu hỏi: Ý nào không phản ánh đúng ý nghĩa của cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh của Bắc Mỹ?
A. Giải phóng nhân dân các thuộc địa Anh khỏi ách thống trị thực dân
B. []
C. Thúc đẩy phong trào đấu tranh giành độc lập ở nhiều nước trên thế giới.
D. Là cuộc cách mạng tư sản triệt để nhất trong lịch sử
","Ý nào không phản ánh đúng ý nghĩa của cuộc Chiến tranh giành độc lập của 13 thuộc địa Anh của Bắc Mỹ?
A. Giải phóng nhân dân các thuộc địa Anh khỏi ách thống trị thực dân
B. ",Đưa đến sự thành lập của nhà nước tư sản đầu tiên ở ngoài Châu Âu,B,D,history
"### Câu hỏi: Ý nào không phản ánh hệ quả của các cuộc cách mạng công nghiệp?
A. []
B. Nâng cao năng suất lao động
C. Khẳng định sự thắng lợi của chế độ phong kiến
D. Thúc đẩy quá trình tìm kiếm thị trường, xâm lược thuộc địa.
","Ý nào không phản ánh hệ quả của các cuộc cách mạng công nghiệp?
A. ","Tạo ra những chuyển biến to lớn về kinh tế - xã hội, làm thay đổi bộ mặt của các nước tư bản",A,C,history
"### Câu hỏi: Ý nào phản ánh đúng về thời gian mở rộng của chủ nghĩa tư bản ở châu Mỹ?
A. Nửa đầu thế kỉ XX
B. Nửa đầu thế kỉ XXI
C. Nửa đầu thế kỉ XIX
D. []
","Ý nào phản ánh đúng về thời gian mở rộng của chủ nghĩa tư bản ở châu Mỹ?
A. Nửa đầu thế kỉ XX
B. Nửa đầu thế kỉ XXI
C. Nửa đầu thế kỉ XIX
D. ",Nửa đầu thế kỉ XVIII,D,C,history
"### Câu hỏi: Ý nào không đúng khi nói về kết quả của cuộc Cách mạng Tân Hợi năm 1911?
A. Lật đổ triều đại Mãn Thanh, chấm dứt chế độ quân chủ chuyên chế
B. Giúp Trung Quốc tránh được nguy cơ bị xâm lược từ các cường quốc thực dân phương Tây
C. Đã không thực sự thủ tiêu giai cấp phong kiến
D. []
","Ý nào không đúng khi nói về kết quả của cuộc Cách mạng Tân Hợi năm 1911?
A. Lật đổ triều đại Mãn Thanh, chấm dứt chế độ quân chủ chuyên chế
B. Giúp Trung Quốc tránh được nguy cơ bị xâm lược từ các cường quốc thực dân phương Tây
C. Đã không thực sự thủ tiêu giai cấp phong kiến
D. ",Mở đường cho chủ nghĩa tư bản phát triển ở Trung Quốc,D,B,history
"### Câu hỏi: Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là
A. xuất hiện giai cấp tư sản và vô sản
B. sự ra đời của các tổ chức độc quyền
C. chiến tranh đế quốc nhằm phân chia thuộc địa
D. []
","Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là
A. xuất hiện giai cấp tư sản và vô sản
B. sự ra đời của các tổ chức độc quyền
C. chiến tranh đế quốc nhằm phân chia thuộc địa
D. ",mâu thuẫn xã hội gay gắt,D,B,history
"### Câu hỏi: Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Sự bình đẳng về mọi mặt giữa các dân tộc
B. Quyền dân tộc tự quyết của các dân tộc
C. []
D. Sáp nhập các nước cộng hoà Xô viết và nước Nga
","Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Sự bình đẳng về mọi mặt giữa các dân tộc
B. Quyền dân tộc tự quyết của các dân tộc
C. ",Xây dựng một cộng đồng anh em giữa các dân tộc,C,D,history
"### Câu hỏi: Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau
B. []
C. Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà
D. Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành
","Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau
B. ",Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết,B,D,history
"### Câu hỏi: Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?
A. []
B. Chủ trương xây dựng nền kinh tế tập trung do Nhà nước quản lí
C. Chú trọng phát triển công nghiệp quốc phòng
D. Chú trọng đến các ngành nghề mới như: công nghiệp du lịch, công nghệ sinh học, khai thác dầu khí,...
","Ý nào không đúng về biện pháp cải cách về kinh tế mà Cu ba thực hiện nhằm đi theo con đường xây dựng chủ nghĩa xã hội?
A. ","Thực hiện cải cách kinh tế từng bước, có chọn lọc",A,C,history
"### Câu hỏi: Ý nào không phải nguyên nhân khiến Đông Nam Á hải đảo là đối tượng đầu tiên thu hút sự chú ý của thực dân phương Tây?
A. Khu vực giàu tài nguyên
B. Có nguồn hương liệu và hàng hoá phong phú
C. []
D. Cư dân có truyền thống lao động cần cù, chăm chỉ
","Ý nào không phải nguyên nhân khiến Đông Nam Á hải đảo là đối tượng đầu tiên thu hút sự chú ý của thực dân phương Tây?
A. Khu vực giàu tài nguyên
B. Có nguồn hương liệu và hàng hoá phong phú
C. ",Nằm trên tuyến đường biển huyết mạch,C,D,history
"### Câu hỏi: Điểm chung trong chính sách cai trị về chính trị của các nước thực dân phương Tây ở Đông Nam Á là gì?
A. Vẫn duy trì các thế lực phong kiến địa phương như một công cụ để thi hành chính sách cai trị
B. []
C. Sử dụng quân đội từ chính quốc để bảo vệ bộ máy cai trị thực dân
D. Thiết lập nền thống trị bằng hình thức giống nhau
","Điểm chung trong chính sách cai trị về chính trị của các nước thực dân phương Tây ở Đông Nam Á là gì?
A. Vẫn duy trì các thế lực phong kiến địa phương như một công cụ để thi hành chính sách cai trị
B. ",Chỉ có đại diện chính quyền thực dân mới được thi hành chính sách cai trị,B,A,history
"### Câu hỏi: Trong giai đoạn đầu sau khi giành độc lập, các nước Đông Nam Á đã thực hiện chiến lược phát triển kinh tế nào?
A. []
B. Chiến lược công nghiệp hoá hướng về xuất khẩu
C. Chiến lược công nghiệp hoá nông nghiệp, đẩy mạnh xuất khẩu
D. Chiến lược công nghiệp hoá, hiện đại hoá
","Trong giai đoạn đầu sau khi giành độc lập, các nước Đông Nam Á đã thực hiện chiến lược phát triển kinh tế nào?
A. ",Chiến lược công nghiệp hóa thay thế nhập khẩu,A,D,history
"### Câu hỏi: Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?
A. Năm 1918
B. Năm 1917
C. Năm 1919
D. []
","Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?
A. Năm 1918
B. Năm 1917
C. Năm 1919
D. ",Năm 1922,D,B,history
"### Câu hỏi: Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?
A. V.I.Xta - lin
B. []
C. N. Khơ - rút - xốp
D. Bre - giơ - nhép
","Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?
A. V.I.Xta - lin
B. ",M. Gooc - ba - chốp,B,A,history
"### Câu hỏi: Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở
A. Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh
B. []
C. một số nước Châu Á và khu vực Mỹ la tinh
D. một số nước Tây Âu, Đông Âu và khu vực Mỹ la tinh
","Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở
A. Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh
B. ",Đông Âu và một số nước Châu Á,B,A,history
"### Câu hỏi: Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?
A. []
B. Năm 1978
C. Năm 1982
D. Năm 1986
","Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?
A. ",Năm 1976,A,D,history
"### Câu hỏi: Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?
A. Đứng vị trí thứ tám trên thế giới
B. Đứng vị trí thứ năm trên thế giới
C. []
D. Đứng vị trí thứ hai trên thế giới
","Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?
A. Đứng vị trí thứ tám trên thế giới
B. Đứng vị trí thứ năm trên thế giới
C. ",Đứng vị trí thứ ba trên thế giới,C,D,history
"### Câu hỏi: Đến đầu thế kỉ XX, hầu hết các nước Đông Nam Á đều trở thành thuộc địa của thực dân phương Tây ngoại trừ
A. []
B. Xiêm ( Thái Lan)
C. Xin-ga-po
D. Miến Điện (Mi-an-ma)
","Đến đầu thế kỉ XX, hầu hết các nước Đông Nam Á đều trở thành thuộc địa của thực dân phương Tây ngoại trừ
A. ",Phi-líp-pin,A,B,history
"### Câu hỏi: Nửa cuối thế kỉ XIX, nhiệm vụ cấp thiết đặt ra cho nước Đức và I-ta-lia là gì?
A. Thoát khỏi ách thống trị của nước ngoài
B. Thành lập chính quyền của giai cấp tư sản
C. Xoá bỏ tính mạng phân tán về chính trị, thống nhất đất nước
D. []
","Nửa cuối thế kỉ XIX, nhiệm vụ cấp thiết đặt ra cho nước Đức và I-ta-lia là gì?
A. Thoát khỏi ách thống trị của nước ngoài
B. Thành lập chính quyền của giai cấp tư sản
C. Xoá bỏ tính mạng phân tán về chính trị, thống nhất đất nước
D. ",Giải quyết vấn đề ruộng đất cho nông dân,D,B,history
"### Câu hỏi: Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là
A. xuất hiện giai cấp tư sản và vô sản
B. sự ra đời của các tổ chức độc quyền
C. []
D. mâu thuẫn xã hội gay gắt
","Biểu hiện quan trọng nhất của sự xuất hiện chủ nghĩa đế quốc là
A. xuất hiện giai cấp tư sản và vô sản
B. sự ra đời của các tổ chức độc quyền
C. ",chiến tranh đế quốc nhằm phân chia thuộc địa,C,B,history
"### Câu hỏi: Sau thắng lợi của Cách mạng tháng Mười Nga, nhiệm vụ hàng đầu của Chính quyền Xô viết là
A. []
B. khôi phục kinh tế, xây dựng chủ nghĩa xã hội và bảo vệ đất nước
C. ban hành Hiến pháp mới
D. chống thù trong, giặc ngoài
","Sau thắng lợi của Cách mạng tháng Mười Nga, nhiệm vụ hàng đầu của Chính quyền Xô viết là
A. ","đập tan bộ máy nhà nước cũ, xây dựng nhà nước mới của những người lao động",A,B,history
"### Câu hỏi: Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?
A. Năm 1918
B. Năm 1917
C. []
D. Năm 1922
","Chính quyền Xô viết do Lê - nin đứng đầu được thành lập vào năm nào?
A. Năm 1918
B. Năm 1917
C. ",Năm 1919,C,B,history
"### Câu hỏi: Khi mới thành lập, Liên Xô gồm 4 nước Cộng hoà Xô viết là
A. Nga, U -crai - na, Bê - lô - rút- xi-a và Lít - va
B. Nga, U -crai - na, Bê - lô - rút- xi-a và Ngoại Cáp - ca - dơ
C. []
D. Nga, U -crai - na, Tuốc - mê - nix- tan và Ác- mê - ni -a
","Khi mới thành lập, Liên Xô gồm 4 nước Cộng hoà Xô viết là
A. Nga, U -crai - na, Bê - lô - rút- xi-a và Lít - va
B. Nga, U -crai - na, Bê - lô - rút- xi-a và Ngoại Cáp - ca - dơ
C. ","Nga, U -crai - na, Môn - đô - va và Lát - vi -a",C,B,history
"### Câu hỏi: Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. []
B. Quyền dân tộc tự quyết của các dân tộc
C. Xây dựng một cộng đồng anh em giữa các dân tộc
D. Sáp nhập các nước cộng hoà Xô viết và nước Nga
","Ý nào không phải tư tưởng chỉ đạo của Lê nin trong việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. ",Sự bình đẳng về mọi mặt giữa các dân tộc,A,D,history
"### Câu hỏi: Liên bang Cộng hoà xã hội chủ nghĩa Xô viết được thành lập vào thời gian nào?
A. Tháng 3 - 1921
B. Tháng 12 - 1922
C. Tháng 3 - 1923
D. []
","Liên bang Cộng hoà xã hội chủ nghĩa Xô viết được thành lập vào thời gian nào?
A. Tháng 3 - 1921
B. Tháng 12 - 1922
C. Tháng 3 - 1923
D. ",Tháng 1 - 1924,D,B,history
"### Câu hỏi: Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. []
B. Phù hợp với lợi ích chung của các dân tộc trên đất nước Xô viết
C. Tạo điều kiện cho sự phát triển nhanh chóng về kinh tế, xã hội của tất cả các nước Cộng hoà
D. Khẳng định công cuộc xây dựng chủ nghĩa xã hội ở Liên Xô đã hoàn thành
","Ý nào không phải là ý nghĩa đối với trong nước của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. ",Mở ra con đường giải quyết đúng đắn vấn đề dân tộc trên đất nước Xô viết trên cơ sở bình đẳng và sự giúp đỡ nhau,A,D,history
"### Câu hỏi: Ý nào không phải là ý nghĩa quốc tế của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Trở thành biểu tượng và là chỗ dựa tinh thần, vật chất to lớn cho phong trào cách mạng thế giới
B. Cổ vũ, lôi cuốn mạnh mẽ phong trào giải phóng dân tộc ở những nước thuộc địa
C. Đưa đến sự hình thành trật tự thế giới mới
D. []
","Ý nào không phải là ý nghĩa quốc tế của việc thành lập Liên bang Cộng hoà xã hội chủ nghĩa Xô viết?
A. Trở thành biểu tượng và là chỗ dựa tinh thần, vật chất to lớn cho phong trào cách mạng thế giới
B. Cổ vũ, lôi cuốn mạnh mẽ phong trào giải phóng dân tộc ở những nước thuộc địa
C. Đưa đến sự hình thành trật tự thế giới mới
D. ",Tạo tiền đề cho sự ra đời của hệ thống xã hội chủ nghĩa trên thế giới,D,C,history
"### Câu hỏi: Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?
A. V.I.Xta - lin
B. []
C. N. Khơ - rút - xốp
D. Bre - giơ - nhép
","Sau khi V.I.Lê - nin - vị lãnh tụ vĩ đại của giai cấp vô sản, người đứng đầu Đảng và Nhà nước Xô viết qua đời, ai là người tiếp tục lãnh đạo công cuộc xây dựng và bảo vệ đất nước Liên - Xô?
A. V.I.Xta - lin
B. ",M. Gooc - ba - chốp,B,A,history
"### Câu hỏi: Ý nào không phản ánh đúng nội dung của Hiến pháp Liên Xô năm 1924?
A. Ghi nhận việc hợp tác trên cơ sở tự nguyện của các nước Cộng hoà Xô viết thành một nhà nước Liên Bang
B. []
C. Quy định cơ cấu tổ chức cơ quan Nhà nước tối cao Liên bang và các nước Cộng hoà
D. Khẳng định quyền lực của Chính quyền Xô viết
","Ý nào không phản ánh đúng nội dung của Hiến pháp Liên Xô năm 1924?
A. Ghi nhận việc hợp tác trên cơ sở tự nguyện của các nước Cộng hoà Xô viết thành một nhà nước Liên Bang
B. ",Phân định các quyền của Liên bang và của các nước Cộng hoà,B,D,history
"### Câu hỏi: Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở
A. Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh
B. Đông Âu và một số nước Châu Á
C. []
D. một số nước Tây Âu, Đông Âu và khu vực Mỹ la tinh
","Sau Chiến tranh thế giới thứ hai, chủ nghĩa xã hội được mở rộng ở
A. Đông Âu, một số nước ở châu Á và khu vực Mỹ la tinh
B. Đông Âu và một số nước Châu Á
C. ",một số nước Châu Á và khu vực Mỹ la tinh,C,A,history
"### Câu hỏi: Thành tựu nổi bật trong công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu từ năm 1949 đến giữa những năm 70 của thế kỉ là
A. từ những nước nghèo đã trở thành những nước công nghiệp mới (NIsC)
B. []
C. từ những nước nghèo đã trở thành các quốc gia công - nông nghiệp phát triển
D. đi đầu về công nghiệp điện hạt nhân
","Thành tựu nổi bật trong công cuộc xây dựng chủ nghĩa xã hội ở các nước Đông Âu từ năm 1949 đến giữa những năm 70 của thế kỉ là
A. từ những nước nghèo đã trở thành những nước công nghiệp mới (NIsC)
B. ",tự phóng được vệ tinh nhân tạo lên quỹ đạo Trái Đất,B,C,history
"### Câu hỏi: Sau khi cách mạng thắng lợi, một nhà nước mới ra đời ở Trung Quốc với tên là:
A. Cộng hoà Trung Hoa
B. []
C. Cộng hoà Nhân dân Trung Hoa
D. Cộng hoà xã hội chủ nghĩa Trung Hoa
","Sau khi cách mạng thắng lợi, một nhà nước mới ra đời ở Trung Quốc với tên là:
A. Cộng hoà Trung Hoa
B. ",Cộng hoà Dân chủ Trung Hoa,B,C,history
"### Câu hỏi: Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?
A. []
B. Năm 1978
C. Năm 1982
D. Năm 1986
","Công cuộc đổi mới ở Việt Nam bắt đầu từ năm nào?
A. ",Năm 1976,A,D,history
"### Câu hỏi: Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?
A. Đứng vị trí thứ tám trên thế giới
B. Đứng vị trí thứ năm trên thế giới
C. []
D. Đứng vị trí thứ hai trên thế giới
","Từ khi thực hiện cải cách mở cửa (12 - 1978) đến nay, quy mô nền kinh tế Trung Quốc so với thế giới thay đổi như thế nào?
A. Đứng vị trí thứ tám trên thế giới
B. Đứng vị trí thứ năm trên thế giới
C. ",Đứng vị trí thứ ba trên thế giới,C,D,history
"### Câu hỏi: Mốc thời gian nào đánh dấu sự chấm dứt chế độ xã hội chủ nghĩa ở Liên Xô?
A. Tháng 12 - 1989
B. Tháng 12 - 1991
C. Tháng 12 - 1990
D. []
","Mốc thời gian nào đánh dấu sự chấm dứt chế độ xã hội chủ nghĩa ở Liên Xô?
A. Tháng 12 - 1989
B. Tháng 12 - 1991
C. Tháng 12 - 1990
D. ",Tháng 12 - 1992,D,B,history
"### Câu hỏi: Nguyên nhân quan trọng nhất dẫn đến sự tan rã của chế độ chủ nghĩa xã hội ở Liên Xô và Đông Âu là gì?
A. Do đường lối lãnh đạo của Đảng Cộng sản Liên Xô và các nước Đông Âu mang tính chủ quan, duy ý chí; chậm đổi mới cơ chế quản lí,....
B. []
C. Chậm tiến hành cải cách, sửa đổi và khi thực hiện cải cách lại mắc phải nhiều sai lầm
D. Sự chống phá của các thế lực thù địch ở trong và ngoài nước
","Nguyên nhân quan trọng nhất dẫn đến sự tan rã của chế độ chủ nghĩa xã hội ở Liên Xô và Đông Âu là gì?
A. Do đường lối lãnh đạo của Đảng Cộng sản Liên Xô và các nước Đông Âu mang tính chủ quan, duy ý chí; chậm đổi mới cơ chế quản lí,....
B. ","Tình trạng lạc hậu về khoa học - kĩ thuật, không theo kịp sự phát triển chung của thế giới",B,A,history
