,Câu hỏi,A,B,C,D,Answer,Grade
177,Theo em trên bản đồ nếu khoảng cách giữa các đường đồng mức cách xa nhau thì địa hình nơi đó?,Làm địa hình mặt đất gồ ghề.,Phá huỷ địa hình bề mặt đất.,Tạo ra các dạng địa hình mới.,Tạo ra các dạng địa hình nhỏ.,C,Địa lý 6
178,Nội lực có xu hướng nào sau đây?,1 cm Irên bản đồ bằng 6.000 m trên thực địa.,1 cm trên bản đồ hằng 600 m trên thực địa.,1 cm trên bản đồ bằng 60 km trên thực địa.,1 cm trên hản đồ bằng 6 km trên thực địa.,C,Địa lý 6
179,Tỉ lệ bản đồ 1 : 6.000.000 có nghĩa là,sự phân hủy của các chất phóng xạ.,năng lượng từ các vụ thử hạt nhân.,năng lượng các phản ứng hóa học.,sự chuyển dịch của các dòng vật.,B,Địa lý 6
180,Nguồn năng lượng chủ yếu sinh ra nội lực không phải là,1km,10km,100km,10cm,A,Địa lý 6
181,Theo tỉ lệ số thì tỉ lệ 1:100.000 có nghĩa là 1 cm trên bản đồ bằng 100.000 cm hay bằng bao nhiêu trên thực địa?,vận động kiến tạo theo phương nằm ngang.,tác động của ngoại lực đến địa hình bề mặt Trái Đất.,vận động kiến tạo theo phương thẳng đứng.,tác động của nội lực đến địa hình bề mặt Trái Đất.,D,Địa lý 6
182,"Các vận động kiến tạo, các hoạt động động đất, núi lửa,… là biểu hiện của",nhỏ.,trung bình.,lớn.,rất lớn.,A,Địa lý 6
183,Bản đồ có tỉ lệ nhỏ hơn 1 : 1 000.000 là những bản đồ có tỉ lệ,Khí hậu ấm áp,Nhiều hồ nước,Đất đai màu mỡ.,Giàu thủy sản.,C,Địa lý 6
184,Quanh các vùng núi lửa đã tắt dân cư thường tập trung đông đúc vì?,Kinh tuyến và vĩ tuyến là những đường thẳng song song và vuông góc với nhau.,"Kinh tuyến là những đường thẳng song song, còn vĩ tuyến là những đường cong.","Kinh tuyến, vĩ tuyến gốc là đường thẳng; các kinh, vĩ tuyến còn lại là đường cong.",Kinh tuyến là những đường cong chụm ở cực và vĩ tuyến là những đường thẳng.,A,Địa lý 6
185,"Nhận định nào sau đây đúng về mạng lưới kinh, vĩ tuyến của bản đồ?",mực nước giếng thay đổi.,cây cối nghiêng hướng Tây.,động vật tìm chỗ trú ẩn.,mặt nước có nổi bong bóng.,B,Địa lý 6
186,Dấu hiệu trước khi động đất xảy ra không phải là,cách vẽ của từng tác giả.,có kinh vĩ tuyến khác nhau.,mặt phẳng giấy khác nhau.,các phép chiếu khác nhau.,D,Địa lý 6
187,Với cùng một vị trí Địa Lí trên Trái Đất nhưng lại có các bản đồ khác nhau là do,Sườn dốc.,Đỉnh cao nhọn.,Đỉnh tròn.,Thung lũng sâu.,C,Địa lý 6
188,Núi trẻ không có đặc điểm nào sau đây?,ít sai số về hình dạng.,sự biến dạng càng rõ rệt.,không có sự biến dạng.,biến dạng không đáng kể.,D,Địa lý 6
189,"Theo anh chị khu vựccàng xa trung tâm bản đồ, thì:",lược đồ thể hiện đường đi,lược đồ thể hiện khu vực nào đó,"lược đồ thể hiện đặc điểm địa hình (độ cao, độ dốc,...) của một khu vực có diện tích nhỏ bằng các đường đồng mức và màu sắc.",Đáp án khác,C,Địa lý 6
190,Lược đồ địa hình tỉ lệ lớn là:,361.,180.,360.,181.,C,Địa lý 6
191,Nếu cách 10 ở tâm thì trên bề mặt của quả Địa Cầu sẽ có bao nhiêu kinh tuyến?,Đường ranh giới,Đường đồng mức,Đỉnh núi,Cả 3 đáp án trên,B,Địa lý 6
192,Khi đọc lược đồ địa hình tỉ lệ lớn người ta căn cứ vào đâu để tính độ cao của các địa điểm?,Kinh tuyến là nửa đường thẳng nối hai cực trên bề mặt quả Địa Cầu,Kinh tuyến là một đường tròn nối hai cực trên bề mặt quả Địa Cầu,Kinh tuyến là nửa đường tròn nối hai cực trên bề mặt quả Địa Cầu,Đáp án khác,C,Địa lý 6
193,Kinh tuyến là đường nối dài từ đâu tới đâu?,20 - 30km.,Dưới 20km.,30 - 40km.,Trên 40km.,B,Địa lý 6
194,Ở trên đại dương vỏ Trái Đất có độ dày thế nào?,kinh tuyến.,kinh tuyến gốc.,vĩ tuyến.,vĩ tuyến gốc,A,Địa lý 6
195,Hãy cho biết các cơn bão ở Thái Bình Dương được đặt tên như thế nào?,Theo số thứ tự trong năm,Lấy luân phiên từ danh sách quốc gia trong khu vực đề xuất,Lấy theo tính chất của bão,tất cả đều sai,B,Địa lý 6
196,Trên thế giới không có đại dương nào sau đây?,Bắc Băng Dương.,Thái Bình Dương.,Đại Tây Dương.,Châu Nam Cực.,D,Địa lý 6
197,Nước biển và đại dương có mấy sự vận động?,5.,3.,2.,4.,B,Địa lý 6
198,Các hồ móng ngựa được hình thành do nguyên nhân nào?,Sụt đất,Núi lửa,Băng hà,Khúc uốn của sông,D,Địa lý 6
199,"Ở nước ta, các loài cây sú, vẹt, đước phát triển và phân bố trên loại đất nào sau đây?",Đất phù sa ngọt.,Đất feralit đồi núi.,Đất chua phèn.,Đất ngập mặn.,D,Địa lý 6
200,Sông nào sau đây có chiều dài lớn nhất thế giới?,Sông I-ê-nit-xây.,Sông Missisipi.,Sông Nin.,Sông A-ma-dôn.,C,Địa lý 6
201,Em hãy cho biết đặc điểm nào dưới đây là đặc điểm của lớp Manti trên?,"Ở trạng thái quánh dẻo, rất đậm đặc và cấu tạo bởi các loại đá khác nhau.","Cấu tạo bởi các loại đá khác nhau, tồn tại ở trạng thái rắn và quánh dẻo.","Ở trạng thái rắn nhưng rất đậm đặc, cấu tạo bởi nhiều kim loại nặng.","Rất đậm đặc, cấu tạo bởi nhiều kim loại nặng và quánh dẻo.",A,Địa lý 6
202,"Ở vùng ôn đới lạnh, sông thường có lũ lụt vào mùa nào sau đây?",Mùa hạ.,Mùa xuân.,Mùa thu.,Mùa đông.,B,Địa lý 6
203,Em hãy cho biết lớp nào sau đây của Trái Đất chứa các loại kim loại nặng?,Lớp vỏ Trái Đất,Manti dưới.,Manti trên.,Nhân Trái Đất.,D,Địa lý 6
204,Thủy quyển là lớp nước trên Trái Đất không tồn tại ở trạng thái nào sau đây?,Rắn.,Quánh dẻo.,Hơi.,Lỏng.,B,Địa lý 6
205,Sinh vật trên Trái Đất tập trung chủ yếu ở,đới ôn hòa và đới lạnh.,xích đạo và nhiệt đới.,đới nóng và đới ôn hòa.,đới lạnh và đới nóng.,C,Địa lý 6
206,Giải thích tại sao không khí có độ ẩm?,Do càng lên cao nhiệt độ càng giảm,Do mưa rơi xuyên qua không khí,Do không khí chứa một lượng hơi nước nhất định,Do không khí chứa nhiều mây,C,Địa lý 6
207,"Hoàn thành câu sau: Khí hậu ảnh hưởng . . . . . . . tới sự phát triển và phân bố của sinh vật chủ yếu thông qua nhiệt độ, nước, độ ẩm không khí và ánh sáng.",Nhiều,Gián tiếp,Trực tiếp,ít,C,Địa lý 6
208,Trên Trái Đất nước mặn chiếm khoảng,"30,1%.","2,5%.","97,5%.","68,7%.",C,Địa lý 6
209,Động vật nào sau đây thường ngủ vào mùa đông?,Cá voi.,Gấu trắng.,Cá tra.,Chó sói.,B,Địa lý 6
210,Cho biết Việt Nam nằm trong khu vực có lượng mưa trung bình năm là bao nhiêu?,Từ 201 - 500 mm.,Từ 501- l.000mm.,Từ 1.001 - 2.000 mm.,Trên 2.000 mm.,C,Địa lý 6
211,Rừng nhiệt đới gió mùa không có đặc điểm nào sau đây?,Rừng thường có 3-4 tầng cây.,Phân bố ở đường Xích đạo.,"Cây đặc trưng là họ vang, đậu.",Các loài động vật phong phú.,B,Địa lý 6
212,Nước ta chịu ảnh hưởng mạnh mẽ nhất của loại gió nào sau đây?,Gió Mậu dịch.,Gió Tín phong.,Gió mùa.,Gió địa phương.,C,Địa lý 6
213,Cảnh quan đặc trưng của môi trường nhiệt đới được cho là?,rừng rậm xanh quanh năm.,rừng lá kim.,rừng lá rộng.,rừng thưa và xavan.,D,Địa lý 6
214,Hãy cho biết khả năng thu nhận hơi nước của không khí càng nhiều khi?,Nhiệt độ không khí tăng,Không khí bốc lên cao,Nhiệt độ không khí giảm,Không khí hạ xuống thấp,A,Địa lý 6
215,Rừng thưa và xa van được xem là cảnh quan đặc trưng của môi trường nào?,Môi trường xích đạo ẩm.,Môi trường nhiệt đới gió mùa.,Môi trường nhiệt đới.,Môi trường ôn đới.,C,Địa lý 6
216,"Theo em lượng hơi nước chứa được càng nhiều, khi nhiệt độ không khí?",càng thấp.,càng cao.,trung bình.,Bằng 00C.,B,Địa lý 6
217,Cảnh quan ở đới ôn hòa thay đổi theo,vĩ độ.,kinh độ.,độ cao.,hướng núi.,A,Địa lý 6
218,Khí hậu là hiện tượng khí tượng,xảy ra trong một thời gian ngắn ở một nơi.,lặp đi lặp lại tình hình của thời tiết ở nơi đó.,xảy ra trong một ngày ở một địa phương.,xảy ra khắp mọi nơi và thay đổi theo mùa.,B,Địa lý 6
219,Giới hạn của hàn đới là?,Từ chí tuyến Bắc đến vòng cực Bắc và từ chí tuyến Nam đến vòng cực Nam.,Từ vòng cực bắc về cực bắc và vòng cực Nam về cực Nam.,Từ chí tuyến Bắc đến chí tuyến Nam,Từ chí tuyến Bắc đến chí tuyến Nam đến vòng cực Bắc,A,Địa lý 6
220,"""Khí hậu của một nơi là sự......... tình hình thời tiết ở nơi nào đó, trong một thời gian dài, từ năm nay này qua năm khác và đã trở thành quy luật"". Chọn từ thích hợp điền vào chỗ chấm?",Lặp đi lặp lại,Thay đổi,Biến chuyển,Chuyển đổi,A,Địa lý 6
221,Loại gió nào sau đây thổi thường xuyên ở khu vực đới lạnh?,Gió Tín phong.,Gió Đông cực.,Gió Tây ôn đới.,Gió mùa.,B,Địa lý 6
222,Trên bề mặt Trái Đất có bao nhiêu đới ôn hòa?,4.,5.,2.,3.,C,Địa lý 6
223,Lãnh thổ phía Bắc Phi có dân cư thưa thớt nguyên nhân được cho chủ yếu do đâu?,địa hình núi cao hiểm trở.,"khí hậu lạnh giá, băng tuyết bao phủ.",khu vực hoang mạc khô hạn.,"khu vực có nhiều động đất, núi lửa",C,Địa lý 6
224,Đâu là cách miêu tả quá trình hình thành mưa đúng nhất?,"Khi không khí bốc lên cao, bị lạnh dần hơi nước sẽ ngưng tụ thành các hạt nước nhỏ, tạo thành mây. Tiếp đó hơi nước tiếp tục ngưng tụ làm các hạt nước ta dần rồi rơi xuống đất thành mưa.","Khi không khí bốc lên cao, bị lạnh dần hơi nước sẽ ngưng tụ thành các hạt nước nhỏ, tạo thành mây. Gặp điều kiện thuận lợi, hơi nước tiếp tục ngưng tụ làm các hạt nước.","Khi không khí bốc lên cao, bị lạnh dần hơi nước sẽ ngưng tụ thành các hạt nước nhỏ, tạo thành mây. Gặp điều kiện thuận lợi, hơi nước tiếp tục ngưng tụ làm các hạt nước ta dần rồi rơi xuống đất thành mưa.","Khi không khí bốc lên cao, bị lạnh dần hơi nước sẽ ngưng tụ thành các hạt nước nhỏ, tạo thành mây. Gặp gió thuận lợi, hơi nước tiếp tục ngưng tụ làm các hạt nước ta dần rồi rơi xuống đất thành mưa.",C,Địa lý 6
225,"Lãnh thổ phía Bắc của Nga có dân cư thưa thớt, nguyên nhân chủ yếu do?",địa hình núi cao hiểm trở.,"khí hậu lạnh giá, băng tuyết bao phủ.",khu vực hoang mạc khô hạn.,"khu vực có nhiều động đất, núi lửa.",B,Địa lý 6
226,Đâu là cách tính lượng mưa trong tháng đúng?,Tính lượng mưa trong tháng: Cộng tất cả lượng mưa các ngày trong tháng rồi chia 30,Nhân tất cả lượng mưa các ngày trong tháng.,Tính lượng mưa trong tháng: Nhân tất cả lượng mưa các ngày trong tháng rồi chia cho 30,Tính lượng mưa trong tháng: Cộng tất cả lượng mưa các ngày trong tháng.,D,Địa lý 6
227,Châu lục nào sau đây tập trung đông dân nhất thế giới?,Châu Á.,Châu Mĩ.,Châu Âu.,Châu Phi.,A,Địa lý 6
228,Theo em đâu là nguồn cung cấp ánh sáng và nhiệt cho Trái Đất?,Các hoạt động công nghiệp,Sự đốt nóng của Sao Hỏa,Con người đốt nóng,Ánh sáng từ Mặt Trời,D,Địa lý 6
229,Các nguồn tài nguyên trên Trái Đất phân bố,đồng đều.,phân tán.,không đồng đều.,tập trung.,C,Địa lý 6
230,Tầng đối lưu có độ cao trung bình khoảng,18km.,14km.,16km.,20km.,C,Địa lý 6
231,Vai trò của môi trường đối với sự phát triển kinh tế - xã hội của một nước:,Môi trường đóng vai trò quyết định đến sự phát triển kinh tế - xã hội của một nước.,Môi trường có ảnh hưởng lớn đến sự phát triển kinh tế - xã hội của một nước.,Môi trường không có ảnh hưởng gì đến sự phát triển kinh tế - xã hội của một nước.,Môi trường không đóng vai trò gì đến sự phát triển kinh tế - xã hội của một nước.,B,Địa lý 6
232,Hãy cho biết các tầng cao của khí quyển không có đặc điểm là?,Từ 80km trở lên,Không khí cực loãng.,Không có quan hệ với đời sống con người,Có quan hệ mật thiết với đời sống con người,D,Địa lý 6
233,Ngành kinh tế nào sau đây không chịu ảnh hưởng trực tiếp từ các điều kiện tự nhiên nhất?,Du lịch.,Trồng trọt.,Vận tải.,Tin học.,D,Địa lý 6
234,Các tầng cao của khí quyển có đặc điểm nào sau đây?,Nằm phía trên tầng đối lưu.,Các tầng không khí cực loãng.,Có lớp ô dôn hấp thụ tia tử ngoại.,Ảnh hưởng trực tiếp đến con người.,B,Địa lý 6
235,"Đối với khoáng sản nguyên nhiên liệu (dầu mỏ, khí tự nhiên), các quốc gia nào châu Âu đã sử dụng giải pháp nào để hạn chế giảm khí thải CO
2
vào khí quyển?",Kiểm soát khí thải.,Tạm dừng khai thác khoáng sản.,"Đánh thuế cac-bon, thuế tiêu thụ.",Sử dụng năng lượng tái tạo.,C,Địa lý 7
236,Đặc điểm nào sau đây không phải là đặc điểm vị trí của châu Á?,Là một bộ phận của lục địa Á - Âu.,Kéo dài từ cực Bắc đến vùng xích đạo.,Đại bộ phận diện tích nằm giữa chí tuyến Bắc và chí tuyến Nam.,Tiếp giáp với 2 châu lục và 3 đại dương rộng lớn.,C,Địa lý 7
237,Khoáng sản của châu Phi thường phân bố ở đâu?,Phía Bắc và phía Nam.,Phía Trung và phía Nam.,Phía Bắc và phía Trung.,Phía Đông và phía Trung.,A,Địa lý 7
238,Quy mô dân số châu Âu năm 2020 là,747 triệu người.,748 triệu người.,749 triệu người.,750 triệu người.,A,Địa lý 7
239,Khu vực nào ở châu Á không tiếp giáp với đại dương?,Bắc Á.,Tây Nam Á.,Trung Á.,Nam Á.,C,Địa lý 7
240,"Năm 2020, dân số của Liên minh châu Âu (EU) là bao nhiêu?",447 triệu người.,448 triệu người.,474 triệu người.,449 triệu người.,A,Địa lý 7
241,Chiều rộng từ bờ Tây sang bờ Đông nơi lãnh thổ châu Á mở rộng nhất là bao nhiêu km?,6200 km.,7200 km.,8200 km.,9200 km.,D,Địa lý 7
242,"Để cải thiện chất lượng không khí, biện pháp nào được sử dụng ở các thành phố châu Âu?","Ngăn cấm chặt phá, đốt rừng.","Sử dụng xe đạp, phương tiện công cộng.",Sử dụng túi môi trường thay thế túi ni-lon.,Sử dụng năng lượng mặt trời.,B,Địa lý 7
243,"Năm 2020, dân số châu Phi chiếm bao nhiêu % dân số thế giới?",15%.,17%.,19%.,22 %,B,Địa lý 7
244,Châu lục nào trên thế giới là nơi ra đời của nhiều tôn giáo lớn?,Châu Âu.,Châu Á.,Châu Mỹ.,Châu Đại Dương.,B,Địa lý 7
245,Nền văn minh sông Nin được xây dựng vào khoảng thời gian nào?,2 000 năm trước Công nguyên.,2 500 trước Công nguyên.,3 000 năm trước Công nguyên.,3 500 trước Công nguyên.,C,Địa lý 7
246,Núi trẻ ở châu Âu phân bố tập trung ở đâu?,Phía Nam.,Phía Bắc.,Phía Đông.,Phía Tây.,A,Địa lý 7
247,Nền văn minh phát triển sớm nhất Châu Phi là gì?,Sông Nin.,Nam Phi.,Công gô.,Du mục.,A,Địa lý 7
248,Trụ sở của EU được đặt ở đâu?,New York (Mĩ).,Bruc-xen (Bỉ).,Luân Đôn (Anh).,Pa - ri (Pháp).,B,Địa lý 7
249,Hình thức canh tác làm nương rẫy nằm ở môi trường nào?,Môi trường xích đạo.,Môi trường nhiệt đới.,Môi trường hoang mạc.,Môi trường cận nhiệt.,B,Địa lý 7
250,Nguyên nhân nào dẫn đến ô nhiễm môi trường không khí ở châu Âu?,"Chặt phá, cháy rừng.","Rác thải sinh hoạt, công cộng.",Hoạt động sản xuất nông nghiệp.,"Hoạt động sản xuất công nghiệp, tiêu thụ năng lượng.",D,Địa lý 7
251,Ai là người xây dựng lên nền văn minh sông Nin?,Người Nam Phi.,Người Ai Cập.,Người Công - gô.,Người Ăng - gô - la.,B,Địa lý 7
252,Các đô thị nào có trên 10 triệu dân trở lên?,Pa-ri và Mat-xco-va.,Pa-ri và Luân Đôn.,Mat-xco-va và Xanh Pê-Tec-bua.,Mat-xco-va và Luân Đôn.,A,Địa lý 7
253,Trên bản đồ chính trị châu Á được chia thành bao nhiêu khu vực chính?,Ba.,Bốn.,Năm.,Sáu.,D,Địa lý 7
254,Sản phẩm công nghiệp nào nổi tiếng về hương vị thơm ngon và thị trường xuất khẩu lớn của thế giới?,Ca cao.,Cà phê.,Thuốc lá.,Chè.,B,Địa lý 7
255,Chiều dài từ điểm cực Bắc đến điểm cực Nam của châu Á là bao nhiêu km?,6500 km.,7500 km.,8500 km.,9500 km.,C,Địa lý 7
256,Địa hình ở châu Âu chia làm bao nhiêu dạng địa hình chính?,1 dạng địa hình chính.,2 dạng địa hình chính.,3 dạng địa hình chính.,4 dạng địa hình chính.,B,Địa lý 7
257,Hiện nay châu Á có bao nhiêu quốc gia và vùng lãnh thổ?,47 quốc gia và vùng lãnh thổ.,48 quốc gia và vùng lãnh thổ.,49 quốc gia và vùng lãnh thổ.,50 quốc gia và vùng lãnh thổ.,C,Địa lý 7
258,"Xét về diện tích, Châu Phi đứng hàng thứ mấy thế giới?",Thứ hai.,Thứ ba.,Thứ tư.,Thứ năm.,B,Địa lý 7
259,Quốc gia nào có mật độ xe đạp ghi nhận tham gia giao thông nhiều nhất ở châu Âu?,Anh.,Đức.,Đan Mạch.,Tây Ban Nha.,C,Địa lý 7
260,"Ở Tây Á, khoáng sản nào có trữ lượng lớn nhất?",Vàng.,Dầu mỏ.,Than.,Sắt.,B,Địa lý 7
261,"Năm 2019, có bao nhiêu triệu người di cư quốc tế đến châu Âu?",82 triệu người.,83 triệu người.,84 triệu người.,85 triệu người.,A,Địa lý 7
262,Châu Á có bao nhiêu đới khí hậu?,4 đới khí hậu.,5 đới khí hậu.,6 đới khí hậu.,7 đới khí hậu.,B,Địa lý 7
263,Các chủng tộc nào chủ yếu ở châu Á?,Ơ-rô-pê-ô-it và Môn-gô-lô-it.,Ơ-rô-pê-ô-it và Ô-xtra-lô-it.,Môn-gô-lô-it và Ô-xtra-lô-it.,"Môn-gô-lô-it, Ô-xtra-lô-it, Ơ-rô-pê-ô-it.",D,Địa lý 7
264,Liên minh châu Âu (EU) được thành lập chính thức vào thời gian nào?,Ngày 1 tháng 1 năm 1993.,Ngày 1 tháng 1 năm 1994.,Ngày 1 tháng 1 năm 1995.,Ngày 1 tháng 1 năm 1996.,A,Địa lý 7
265,Châu Phi ngăn cách với Châu Á bởi Biển Đỏ và,Địa Trung Hải.,Biển Đen.,Kênh đào Panama.,Kênh đào Xuy-ê.,D,Địa lý 7
266,Ấn Độ giáo ra đời khi nào ở châu Á?,Hơn một nghìn năm trước Công nguyên.,Thế kỉ VI trước Công nguyên.,Thế kỉ VII trước Công nguyên.,250 trước Công nguyên.,A,Địa lý 7
267,"Ranh giới tự nhiên nào ở phía đông, ngăn cách châu Âu với châu Á?",Sông Ê-nit-xây.,Dãy U-ran.,Sông Vôn-ga.,Sơn nguyên Trung Xi-bia.,B,Địa lý 7
268,Gia súc chính ở môi trường cận nhiệt là gì?,Lạc đà.,Cừu.,Bò.,Dê.,B,Địa lý 7
269,Dân cư châu Âu chủ yếu thuộc chủng tộc nào?,Môn-gô-lô-it.,Nê-grô-it.,Ơ-rô-pê-ô-it.,Ôx-tra-lô-it.,C,Địa lý 7
270,Nước nào là trung tâm lớn của thế giới về khai thác dầu?,Li-bi.,An-giê-ri.,Nam Phi.,Kê - ni - a.,B,Địa lý 7
271,Đồng tiền nào được sử dụng ở Liên minh châu Âu (EU)?,Ơ-rô.,USD.,Yên.,Nhân dân tệ.,A,Địa lý 7
272,Dân số châu Á tăng nhanh khi nào?,Nửa cuối thế kỉ XVIII.,Nửa cuối thế kỉ XIX.,Nửa cuối thế kỉ XX.,Nửa cuối thế kỉ XXI.,C,Địa lý 7
273,Châu Phi tiếp giáp với các đại dương nào?,Đại Tây Dương và Ấn Độ Dương.,Đại Tây Dương và Thái Bình Dương.,Thái Bình Dương và Ấn Độ Dương.,Thái Bình Dương và Đại Tây Dương.,A,Địa lý 7
274,Dãy núi nào có độ cao và độ sộ nhất ở Châu Âu?,Dãy An-pơ.,Dãy Các-pát.,D.Ban-căng.,Dãy A-pen-nin.,A,Địa lý 7
275,Đặc điểm nào sau đây không phải đặc điểm tự nhiên Trung và Nam Mỹ?,Thiên nhiên phân hóa theo chiều Bắc - Nam.,Thiên nhiên phân hóa theo chiều Đông Tây.,Thiên nhiên thay đổi theo chiều cao.,Thiên nhiên thay đổi theo hướng địa hình.,D,Địa lý 7
276,Nguồn tài nguyên rừng bị suy giảm do đâu?,Khai thác rừng.,Cháy rừng.,Biến đổi khí hậu.,Khai thác khoáng sản.,A,Địa lý 7
277,Ai là người tìm ra châu Mỹ?,Bartolomeu Dias.,C.Cô-lôm-bô.,Bartolomeu Dias.,Francis Xavier,B,Địa lý 7
278,Nền văn hóa Mỹ La-tinh ra đời do đâu?,Người gốc bản địa Anh-điêng với người gốc Phi.,Người gốc Phi với người gốc Tây Ban Nha và Bồ Đào Nha.,"Người Tây Ban Nha, Bồ Đào Nha với người gốc bản địa Anh-điêng.","Người gốc Tây Ban Nha, Bồ Đào Nha với người gốc Phi và người Anh-điêng.",D,Địa lý 7
279,Bắc Mỹ có diện tích đất đồng bằng rộng lớn nhưng hiện nay đang bị thoái hóa mạnh do nguyên nhân nào?,Lớp phủ thực vật bị phá hủy.,Sử dụng phân bón hóa học lớn và thuốc bảo vệ thực vật.,Chất thải công nghiệp.,Nguồn nước bị ô nhiễm.,B,Địa lý 7
280,Đặc điểm nào sau đây không đúng với đồng bằng A-ma-dôn?,"Vùng nông nghiệp có diện tích hẹp ngang, kéo dài.",Thảm thực vật rừng mưa nhiệt đới bao phủ.,"Đất đai rộng, bằng phẳng.",Mạng lưới sông ngòi dày đặc.,A,Địa lý 7
281,Kiểu khí hậu nào ở Bắc Mỹ chiếm diện tích lớn nhất?,Ôn đới.,Nhiệt đới.,Hàn đới.,Núi cao.,A,Địa lý 7
282,Các luồng nhập cư có vai trò quan trọng như thế nào đến sự hình thành cộng đồng dân cư Bắc Mỹ?,"Xung đột sắc tộc, tôn giáo.",Gia tăng dân số tự nhiên.,Thành phần chủng tộc đa dạng.,Đô thị hóa phát triển.,C,Địa lý 7
283,Hệ thống Cooc-đi-e kéo dài bao nhiêu ki-lô-mét?,3260 km.,6000 km.,7000 km.,9000 km.,D,Địa lý 7
284,Khu vực địa hình nào nối liền lục địa Bắc Mỹ và Nam Mỹ?,Eo đất Trung Mĩ.,Quần đảo Ăng-ti.,Biển đỏ.,Kênh đào Xuy-ê.,B,Địa lý 7
285,Tại sao đô thị hóa ở Trung và Nam Mỹ mang tính tự phát?,"Không xuất phát từ phát triển công nghiệp, chủ yếu là di dân.","Công nghiệp phát triển mạnh, gia tăng dân số nhanh.","Thành phần chủng tộc đa dạng, ngôn ngữ phong phú.",Tình trạng di dân đông nhất trên thế giới.,A,Địa lý 7
286,Diện tích của châu Mỹ là bao nhiêu?,"10 triệu km
2
.","44,4 triệu km
2
.","42 triệu km
2
.","20,2 triệu km
2
.",C,Địa lý 7
287,Châu Mỹ được người Châu Âu phát kiến khi nào?,Cuối thế kỉ XIV.,Cuối thế kỉ XV.,Cuối thế kỉ XVI.,Cuối thế kỉ XII.,B,Địa lý 7
288,Tại sao diện tích rừng A-ma-dôn đang bị suy giảm?,Thiếu nước để tưới tiêu.,Khí hậu nóng lên.,Tình trạng hoang mạc hóa lan rộng.,"Khai phá rừng lấy gỗ, đất canh tác, làm giao thông, cháy rừng.",D,Địa lý 7
289,Ở Bắc Mỹ có mấy khu vực địa hình chính?,Hai khu vực.,Ba khu vực.,Bốn khu vực.,Năm khu vực.,B,Địa lý 7
290,Phần lớn rừng nhiệt đới A-ma-dôn nằm ở quốc gia nào?,Bra-xin.,Ác-hen-ti-na.,Bô-li-vi-a.,Cô-lôm-bi-a.,A,Địa lý 7
291,Atlat là dãy núi trẻ duy nhất của Châu Phi ở khu vực nào?,Bắc Phi.,Đông Phi.,Trung Phi.,Nam Phi.,A,Địa lý 7
292,"Bắc Mỹ phát triển nền kinh tế đa dạng, đời sống cư dân ở mức cao do đâu?",Phương thức khai thác hợp lí và bền vững.,"Địa hình bằng phẳng, lãnh thổ rộng.",Tài nguyên thiên nhiên phong phú.,"Khí hậu ôn hòa, mát mẻ.",A,Địa lý 7
293,Từ Bắc đến Nam Trung và Nam Mĩ lần lượt có những đới khí hậu nào?,"Xích đạo, nhiệt đới, cận nhiệt, ôn đới, núi cao.","Xích đạo, cận xích đạo, nhiệt đới, cận nhiệt, ôn đới.","Xích đạo, nhiệt đới, ôn đới, cận xích đạo. cận nhiệt.","Xích đạo, nhiệt đới, cận nhiệt, ôn đới, cận xích đạo.",B,Địa lý 7
294,"Dân cư tập trung đông ở phía đông, đông nam và tây nam do những nguyên nhân nào?","Địa hình thấp, độ cao trung bình dưới 200m và nhiều khoáng sản.","Khí hậu nhiệt đới ẩm, nhiều sông ngòi và khoáng sản.","Khí hậu lục địa, nhiều sông ngòi và khoáng sản.","Nhiều sông ngòi, khí hậu lục địa và lịch sử nhập cư.",B,Địa lý 7
295,Đặc điểm nào sau đây không đúng với đồng bằng A-ma-dôn?,"Vùng nông nghiệp có diện tích hẹp ngang, kéo dài.",Thảm thực vật rừng mưa nhiệt đới bao phủ.,"Đất đai rộng, bằng phẳng.",Mạng lưới sông ngòi dày đặc.,A,Địa lý 7
296,Việc khai thác rừng A-ma-dôn đã tác động như thế nào tới môi trường của thế giới?,Tác động lớn đến khí hậu toàn cầu vì A-ma-dôn là “lá phổi” của thế giới.,Chỉ ảnh hưởng đến môi trường của khu vực Nam Mỹ.,Không ảnh hưởng gì tới môi trường toàn cầu do đã có biện pháp khắc phục.,Chỉ ảnh hưởng trực tiếp đến các nước trong khu vực Trung và Nam Mỹ.,A,Địa lý 7
297,Đâu là ngôn ngữ chính thức được sử dụng ở Ô-xtrây-li-a?,Tiếng Anh.,Tiếng Ả-rập.,Tiếng Hoa.,Tiếng Hy Lạp.,A,Địa lý 7
298,Tốc độ đô thị hoá quá nhanh ở Trung và Nam Mỹ là hệ quả của quá trình nào?,Do quá trình phát triển kinh tế nhanh.,Do quá trình công nghiệp hoá rất cao.,"Đô thị hoá tự phát, kinh tế còn chậm phát triển.",Đô thị hoá có quy hoạch theo định hướng phát triển.,C,Địa lý 7
299,Để phù hợp với điều kiện khí hậu khô hạn ngành chăn nuôi nào chú trọng phát triển ở Ô-xtrây-li-a?,Chăn nuôi cừu.,Chăn nuôi bò.,Chăn nuôi dê.,Chăn nuôi lợn.,A,Địa lý 7
300,Loài động vật không sống ở châu Nam Cực là,chim cánh cụt hoàng đế.,Cá voi xanh.,Cú tuyết.,Hải cẩu Oát-đen.,B,Địa lý 7
