Question,A,B,C,D,Answer,subject
Công cuộc đổi mới kinh tế - xã hội của nước ta được triển khai từ năm nào?,1985,1986,1987,1988,B,geography
Lãnh thổ Việt Nam gồm bộ phận:,Phần đất liền,Các đảo và vùng biển,Vùng trời,"Cả 3 ý A,B,C.",D,geography
"Để làm giàu thêm vốn hiểu biết về địa lí ngoài việc đọc kĩ, hiểu và làm tốt bài tập trong sách giáo khoa, các em cần phải:",Sinh hoạt tập thể ngoài trời.,Khảo sát thực tế.,"Tham quan, du lịch.",Tất cả đều đúng.,D,geography
"Diện tích tự nhiên, bao gồm cả phần đất liền và hải đảo của nước ta rộng bao nhiêu?",$330.221 km^2$,$303.221 km^2$,$331.212 km^2$,$332.121 km^2$,C,geography
Điểm cực Bắc phần đất liền của nước ta (23023’B) thuộc tỉnh thành nào:,Điện Biên,Hà Giang,Khánh Hòa,Cà Mau,A,geography
Đặc điểm nào của vị trí của Việt Nam về mặt tự nhiên làm cho khí hậu Việt Nam mang tính chất nhiệt đới:,Nằm trong vùng nội chí tuyến.,"Vị trí cầu nối giữa đất liền và biển, giữa các nước Đông Nam Á đất liền và Đông Nam Á hải đảo.",Vị trí gần trung tâm khu vực Đông Nam Á.,Vị trí tiếp xúc của các luồng gió mùa và các luồng sinh vật.,B,geography
Đặc điểm nào không đúng khi nói về biển Đông,Kín.,Đứng thứ 3 trong các biển thuộc Thái Bình Dương.,Nằm trong khu vực nhiệt đới gió mùa Đông Nam Á,Là vùng biển nằm trong đới khí hậu ôn đới,D,geography
Vùng biển của Việt Nam là một phần của biển,Biển Hoa Đông,Biển Đông,Biển Xu-Lu,Biển Gia-va,B,geography
Chế độ nhiệt trên biển Đông,"Mùa hạ mát, mùa đông ấm hơn đất liền, biên độ nhiệt nhỏ.","Mùa hạ nóng, mùa đông lạnh hơn đất liền, biên độ nhiệt nhỏ.","Mùa hạ nóng, mùa đông lạnh hơn đất liền, biên độ nhiệt lớn.","Mùa hạ mát, mùa đông ấm hơn đất liền, biên độ nhiệt lớn.",A,geography
Ba giai đoạn lịch sử phát triển của tự nhiên Việt Nam là :,"Giai đoạn Tiền Cambri, giai đoạn hậu Cambri, giai đoạn cổ kiến tạo","Giai đoạn Tiền Cambri, giai đoạn cổ kiến tạo, giai đoạn Tân kiến tạo","Giai đoạn Nguyên sinh, giai đoạn cổ sinh, giai đoạn Tân sinh.","Giai đoạn cổ sinh, giai đoạn Trung sinh, giai đoạn Tân sinh.",B,geography
Giai đoạn Tiền Cambri nước ta có những mảng nền nào?,"Việt Bắc, Hoàng Liên Sơn.","Sông Mã, Pu Hoạt,",Kon Tum.,Tất cả đều đúng.,D,geography
"Ở nước ta, vận động Tân kiến tạo (Hi-ma-lay-a) diễn ra cách đây khoảng:",15 triệu năm,20 triệu năm,25 triệu năm,30 triệu năm,C,geography
Giai đoạn nào giới sinh vật phát triển mạnh mẽ và cũng là thời kì cực thịnh của bò sát khủng long và cây hạt trần?,Giai đoạn Tiền Cambri,Giai đoạn Cổ kiến tạo,Giai đoạn Tân kiến tạo,Giai đoạn Trung sinh,B,geography
Giai đoạn nào có nhiều cuộc vận động tạo núi lớn làm thay đổi hẳn hình thể nước ta so với trước?,Giai đoạn Cổ kiến tạo.,Giai đoạn Tân kiến tạo.,Giai đoạn chuyển tiếp giữa cổ kiến tạo và Tân kiến tạo.,Giai đoạn Tiền Cambri,A,geography
"Đến nay, số lượng khoáng sản mà ngành địa chất đã thăm dò, phát hiện được ở Việt Nam là",80 loại,60 loại,50 loại,40 loại,B,geography
Nhận xét nào sau đây đúng và đầy đủ về tài nguyên khoáng sản của nước ta:,Việt Nam là một quốc gia giàu tài nguyên khoáng sản.,"Việt Nam là một quốc gia nghèo tài nguyên khoáng sản, nhưng có có một số mỏ khoáng sản với trữ lượng lớn.",Việt Nam là một quốc gia giàu tài nguyên khoáng sản nhưng chủ yếu là các khoáng sản có trữ lượng vừa và nhỏ.,Tài nguyên khoáng sản nước ta phân bố rộng khắp trên cả nước.,B,geography
Khoáng sản được hình thành trong những điều kiện địa chất và cổ địa lí rất lâu dài và tồn tại dưới dạng:,Rắn,Lỏng,Khí,Tất cả đều đúng,D,geography
"Nguồn tài nguyên khoáng sản nước ta có nhiều loại, phần lớn có trữ lượng:",Nhỏ,Vừa và nhỏ,Lớn,Rất lớn,B,geography
Các mỏ khoáng sản có trữ lượng lớn là:,"Than, dầu mỏ, khí đốt.","Bôxit, apatit.","Đá vôi, mỏ sắt.",Tất cả đều đúng.,D,geography
"Ý nào không đúng về vai trò của việc khai thác họp lí và sử dụng tiết kiệm, hiệu quả nguồn tài nguyên khoáng sản?",Khoáng sản là loại tài nguyên không thể phục hồi được.,"Một số khoáng sản có nguy cơ cạn kiệt,",Khai thác sử dụng còn lãng phí.,Khoáng sản nước ta còn trữ lượng rất lớn,D,geography
"Giai đoạn Tân kiến tạo, đồng bằng nào ờ nước ta tập trung nhiều than bùn?",Đồng bằng sông Hồng.,"Đồng bằng sông Cửu Long,",Đồng bằng duyên hải miền Trung.,Đồng bằng Bắc Trung Bộ,B,geography
Hướng nghiêng của địa hình Việt Nam:,Tây-Đông,Bắc - Nam,Tây Bắc-Đông Nam,Đông Bắc – Tây Nam,C,geography
Kinh tuyến Tây là:,Là kinh tuyến nằm bên trái của kinh tuyến gốc.,Là kinh tuyến nằm bên phải của kinh tuyến gốc.,Nằm phía dưới xích đạo.,Nằm phía trên xích đạo.,A,geography
Kinh tuyến đi qua đài thiên văn Grin-uýt ở ngoại ô thành phố Luân Đôn (nước Anh) gọi là:,Kinh tuyến Đông.,Kinh tuyến Tây.,Kinh tuyến 180 độ.,Kinh tuyến gốc.,D,geography
"Trong hệ Mặt Trời, Trái Đất ở vị trí nào theo thứ tự xa dần Mặt Trời?",Vị trí thứ 3,Vị trí thứ 5,Vị trí thứ 7,Vị trí thứ 8,A,geography
"Bản đồ thể hiện các đối tượng địa lí có độ chi tiết cao, có độ chính xác và đầy đủ nhất là:",Bản đồ có tỉ lệ 1: 250.000,Bản đồ có tỉ lệ 1: 50.000,Bản đồ có tỉ lệ 1: 150.000,Bản đồ có tỉ lệ 1: 5.000.000,B,geography
"Dựa vào số ghi tỉ lệ đối với bản đồ 1:200.000, 6cm trên bản đồ tương ứng trên thực địa là:",10km,12km,16km,20km,B,geography
"Khoảng cách từ Huế đến Đà Nẵng là 105km, trên bản đồ Việt Nam, khoảng cách giữa hai thành phố đo được 15cm, vậy bản đồ có tỉ lệ:",1:600.000,1:700.000,1:500.000,1:400.000,B,geography
Bản đồ là,hình vẽ thu nhỏ tương đối chính xác trên giấy của một khu vực hay cả bề mặt Trái Đất.,Hình vẽ thực tế của một khu vực,Hình vẽ của một quốc gia được thu nhỏ lại,HÌnh vẽ sơ sài về một khu vực,A,geography
Tọa độ địa lí của một điểm là,Kinh độ tại một điểm,Vĩ độ tại một điểm,Kinh độ và vĩ độ tại một điểm,Vĩ độ tại đường vĩ tuyến gốc,C,geography
Theo quy ước đầu phía dưới của kinh tuyến gốc chỉ hướng nào?,Tây,Đông,Bắc,Nam,D,geography
"Hãy xác định trên bản đồ  Đông Nam Á, Việt Nam nằm về hướng:",Tây Nam của châu Á,Đông Nam của châu Á,Tây Bắc của châu Á,Đông Bắc của châu Á,B,geography
Vị trí của một điểm trên bản đồ (hoặc quả địa cầu) được xác định:,Theo đường kinh tuyến gốc và vĩ tuyến gốc., Là chỗ cắt nhau của hai đường kinh tuyến và vĩ tuyến đi qua nó.,Theo phương hướng trên bản đồ.,Theo hướng mũi tên trên bản đồ.,B,geography
"Nằm giữa hướng Bắc và hướng Tây, ta có thể đọc là hướng",Tây Bắc,Bắc Tây,Bắc - Tây Bắc,Tất cả đều sai,A,geography
Các đường đồng mức càng gần nhau thì địa hình có đặc điểm là,Càng dốc,Càng thoải,Bằng phẳng,Càng thấp,A,geography
Khi đọc hiểu nội dung bản đồ thì bước đầu tiên là:,Xem tỉ lệ,Đọc độ cao trên đường đồng mức,Tìm phương hướng,Đọc bản chú giải,D,geography
Kí hiệu bản đồ có mấy dạng:,1,2,3,4,C,geography
Kí hiệu điểm được sử dụng cho các đối tượng địa lý phân bố:,Phân tán rải rác,Kéo dài,Tập trung tại một chỗ,Tất cả đều đúng,A,geography
 Kí hiệu bản đồ thể hiện chính xác đối tượng là dạng hình học hoặc tượng hình là loại kí hiệu nào?,Đường,Diện tích,Điểm,Hình học,C,geography
"Trên Trái Đất, giờ khu vực phía đông bao giờ cũng sớm hơn giờ khu vực phía tây là do:",Trục Trái đất nghiêng,Trái đất quay từ Tây sang Đông,Ngày đêm kế tiếp nhau,Trái đất quay từ Đông sang Tây,B,geography
Các vật thể ở Bắc bán cầu trong khi chuyển đông sẽ bị lệch về hướng:,Bên phải hướng chuyển động,Bên trái hướng chuyển động,Giữ nguyên hướng không đổi,Tất cả đều sai,A,geography
Sự chuyển động của Trái Đất quay quanh trục không tạo ra hiện tượng:,Ngày đêm nối tiếp nhau.,Làm lệch hướng chuyển động.,Giờ giấc mỗi nơi mỗi khác.,Hiện tượng mùa trong năm,D,geography
"Các khoáng sản như dầu mỏ, khí đốt, than đá thuộc nhóm khoáng sản:",Kim loại màu,Kim loại đen,Phi kim loại,Năng lượng,D,geography
Khoáng sản là:,Những tích tụ tự nhiên của khoáng vật.,Khoáng vật và các loại đá có ích.,Các loại đá do nhiều loại khoáng vật khác nhau kết hợp lại.,Các loại nham thạch ở trong lớp vỏ Trái Đất.,B,geography
"Dựa vào tính chất và công dụng, khoáng sản được chia thành mấy nhóm?", 3 nhóm      ,5 nhóm,4 nhóm,2 nhóm,A,geography
Mỏ nội sinh gồm có các mỏ,"Đá vôi, hoa cương","Apatit, dầu lửa","Đồng, chì ,sắt","Than đá, cao lanh",C,geography
Trong các thành phần của không khí chiếm tỉ trọng lớn nhất là:,Khí cacbonic,Khí nito,Hơi nước,Oxi,B,geography
"Dựa vào đặc tính của lớp khí, người ta chia khí quyển ra:",2 tầng,3 tầng,4 tầng,5 tầng,B,geography
Nhiệt độ trung bình ngày là kết quả tổng cộng nhiệt độ 3 lần trong ngày vào các thời điểm:,"9 giờ, 16 giờ, 24 giờ","6 giờ, 14 giờ, 22 giờ","5 giờ, 13 giờ, 21 giờ","7 giờ, 15 giờ, 23 giờ",C,geography
Khi đo nhiệt độ không khí người ta phải đặt nhiệt kế:,"Ngoài trời nắng, cách mặt đất 3m","Nơi mát, cách mặt đất 1m","Ngoài trời, sát mặt đất","Trong bóng râm, cách mặt đất 2m.",D,geography
"Tại sao về mùa hạ, những miền gần biển có không khí mát hơn trong đất liền; ngược lại, về mùa đông, những miền gần biển lại có không khí ấm hơn trong đất liền?","Do mùa hạ, miền gần biển có ngày ngắn hơn đêm, mùa đông ngày dài hơn đêm.","Do mùa hạ, miền gần biển có ngày dài hơn đêm, mùa đông ngày ngắn hơn đêm.",Do đặc tính hấp thụ và tỏa nhiệt của nước và đất là khác nhau: Mặt đất nóng lên chậm và nguội đi chậm hơn nước.,Do đặc tính hấp thụ và tỏa nhiệt của nước và đất là khác nhau: Mặt đất nóng lên nhanh và nguội đi nhanh hơn nước.,D,geography
Khu vực có mưa nhiều trên Trái Đất là vùng,Vùng chí tuyến,Vùng xích đạo,Vùng cực Bắc và cực Nam,Vùng sâu trong nội địa,B,geography
"Trên Trái Đất gồm tất cả 7 đai khí áp cao và thấp, trong đó có:",4 đai áp cao và 3 đai áp thấp,2 đai áp cao và 5 đai áp thấp,3 đai áp cao và 4 đai áp thấp,5 đai áp cao và 2 đai áp thấp,A,geography
"Ở hai bên xích đạo, gió thổi một chiều quanh năm từ vĩ độ 30o Bắc và Nam về xích đạo là gió?",Gió Tây ôn đới.,Gió Tín Phong.,Gió mùa đông Bắc.,Gió mùa đông Nam.,B,geography
 Gió Tây ôn đới là gió thổi thường xuyên từ:,"Vĩ độ 30 độ Bắc, Nam lên khoảng vĩ độ 60 độ Bắc, Nam.","Vĩ độ 60 độ Bắc, Nam lên khoảng vĩ độ 90 độ Bắc, Nam.",Cả A và B đều đúng.,Cả A và B đều sai.,A,geography
 Lượng mưa trong năm tại một địa phương được tính là,Lượng mưa trung bình của 12 tháng trong năm,Tổng lượng mưa của các tháng trong mùa mưa,Tổng số lượng mưa 12 tháng.,Lương mưa trung bình nhiều năm,C,geography
"Khi có nhiệt độ 10 độ C, lượng hơi nước tối đa mà không khí chứa được là",$2 g/cm^{3}$,$5 g/cm^{3}$,$7 g/cm^{3}$,$10 g/cm^{3}$,B,geography
Nguồn chính cung cấp hơi nước cho khí quyển là:,sông ngòi.,"ao, hồ.",sinh vật.,biển và đại dương.,D,geography
Cảnh quan chính ở châu Phi là:,"Hoang mạc, bán hoang mạc và xa-van",Rừng xích đạo và nhiệt đới ẩm,Rừng nhiệt đới khô,Thảo nguyên và thảo nguyên rừng.,A,geography
"Các nước Trung Á có tỷ lệ dân cư theo đạo Hồi cao, trừ quốc gia nào?",Ka-dắc-xtan,Mông Cổ,Cư-rơ-gư-xtan,I-ran,B,geography
Nguyên nhân nào làm cho đầu tư từ nước ngoài vào Mĩ Latinh giảm mạnh?,Tình hình chính trị không ổn định.,Hoa Kì cắt giảm đầu tư vào Mĩ Latinh,Thiếu lao động trình độ chuyên môn cao,"Cơ sở hạ tầng, CSVCKT bị xuống cấp.",B,geography
"Dầu mỏ, khí tự nhiên của khu vực Tây Nam Á tập trung nhiều nhất ở vùng:",Bán đảo Tiểu Á,Đồng bằng Lưỡng Hà,Vịnh Pec-xích,Sơn nguyên Iran,C,geography
Dân cư Hoa Kì đang có xu hướng di chuyển từ:,các bang vùng Đông Bắc đến các bang phía Tây,các bang ven Thái Bình Dương đến các bang vùng Đông Bắc,các bang vùng phía Tây sang các bang vùng phía Đông.,các bang vùng Đông Bắc sang các bang phía Nam và ven Thái Bình Dương.,D,geography
Ý nào sau đây không phải là nguyên nhân làm cho nền kinh tế châu Phi kém phát triển?,Nghèo tài nguyên,Sự thống trị nhiều thế kỉ của chủ nghĩa thực dân,Xung đột sắc tộc,Sự yếu kém trong quản lí đất nước.,A,geography
"Ngành công nghiệp nào chiếm 84,2% giá trị hàng xuất khẩu của Hoa Kì năm 2004?",Công nghiệp chế biến,Công nghiệp điện lực,Công nghiệp khai khoáng,Công nghiệp dệt- may.,A,geography
"Sự hợp tác, liên kết giữa các nước EU diễn ra trên lĩnh vực:",Kinh tế,"Luật pháp, nội vụ","An ninh, đối ngoại","Ý A, B và C đúng.",D,geography
"Năm 2004, so với Hoa Kì, EU có:",Dân số thấp hơn,GDP cao hơn,Tỉ trọng xuất khẩu trong GDP nhỏ hơn,Tỉ trọng của EU trong xuất khẩu của thế giới thấp hơn.,B,geography
Ý nào sau đây không thuộc giải pháp cải cách kinh tế - xã hội của nhiều quốc gia Mĩ Latinh?,Quốc hữu một số ngành kinh tế.,Thực hiện công nghiệp hóa đất nước.,Khuyến khích sản xuất thay thế hàng nhập khẩu.,Phát triển giáo dục.,C,geography
"Về mặt tự nhiên, Tây Nam Á không có đặc điểm là:","Giàu tài nguyên thiên nhiên nhất là dầu mỏ, khí tự nhiên, than đá, tiềm năng thủy điện, sắt, đồng","Điều kiện tự nhiện thuận lợi cho sản xuất nông nghiệp, nhất là trồng cây công nghiệp và cây ăn quả nhiệt đới.","Đa dân tộc, có mật độ dân số thấp, tỉ lệ dân theo đạo hồi cao (trừ MôngCổ).",Từng có “con đường tơ lụa” đi qua nên tiếp thu được nhiều giá trị văn hóa của cả phương Đông và phương Tây.,B,geography
Tài nguyên khoáng sản của Hoa Kì được phân bố như sau,"Quặng sắt ở phía bắc, vàng ở phía nam đồng bằng trung tâm.",Kim loại màu tập trung chủ yếu ở hệ thống núi A-pa-lat.,"Dầu mỏ, khí đốt ở Tếch-dat, ven vịnh Mê-hi-cô, A-lat-xca.",Than đá và quặng sắt có trữ lượng lớn ở miền Tây.,C,geography
"Hiện nay, dân số Hoa Kỳ đông:",Thứ hai thế giới,Thứ ba thế giới,Thứ tư thế giới,Thứ năm thế giới,B,geography
"Năm 2004, GDP của Hoa Kỳ","Hơn châu Á, châu Phi, kém châu Âu","Hơn châu Âu, châu Phi, kém châu Á","Hơn châu Phi, châu Âu, kém châu Á","Kém châu Âu, châu Á, châu Phi",A,geography
"Các ngành công nghiệp truyền thống của Hoa Kỳ như luyện kim, chế tạo ô tô, đóng tàu, hóa chất, dệt… tập trung chủ yếu ở vùng:",Đông Bắc,Ven Thái Bình Dương,Đông Nam,Đồng bằng Trung tâm,A,geography
Những thành tựu nổi bật có ý nghĩa nhất của châu Âu:,Nâng cao sức cạnh tranh của thị trường chung châu Âu trên thị trường thế giới.,"Từ 6 nước thành viên ban đầu, nay đã trở thành một khối với 27 nước.",Thành lập thị trường chung và sử dụng đồng tiền Ơ-rô cho các nước thành viên.,Các nước thành viên có chung chính sách thương mại với các nước ngoài.,C,geography
Đặc điểm nào không đúng với EU:,EU là một trung tâm kinh tế lớn trên thế giới.,EU là liên kết kinh tế khu vực lớn trên thế giới,EU là tổ chức thương mại hàng đầu thế giới,EU là lãnh thổ phát triển đồng đều giữa các vùng,D,geography
Chứng minh EU có vị trí hàng đầu trên TG về mặt kinh tế:,"EU chỉ chiếm 7,1% về dân số TG và 2,2% diện tích lục địa của Trái Đất nhưng lại đứng thứ 1 TG về GDP.",Giá trị FDI của EU đầu tư ra nước ngoài và FDI đầu tư vào EU chỉ đứng sau Hoa Kì và trên Nhật Bản.,Giá trị FDI của EU đầu tư ra nước ngoài và FDI đầu tư vào EU chiếm một nửa của TG.,"EU chỉ chiếm 7,1% về dân số TG và 2,2% diện tích lục địa của Trái Đất nhưng chiếm 60% GDP của TG.",A,geography
Hoa Kỳ có nền nông nghiệp phát triển và đứng hàng đầu thế giới chủ yếu là do,"Đất đai màu mỡ, sản xuất chuyên môn hóa cao, gắn liền với công nghiệp chế biến và thị trường tiêu thụ","Đất đai rộng lớn và màu mỡ, khí hậu thuận lợi, nguồn nước dồi dào, gắn liền với thị trường tiêu thụ","Đất đai rộng lớn và màu mỡ, khí hậu đa dạng, nguồn nước dồi dào, công nghiệp chế biến phát triển","Đất đai rộng lớn và màu mỡ, khí hậu đa dạng, nguồn nước dồi dào, cơ giới hóa cao",B,geography
Liên minh châu Âu được thành lập vào năm 1957 với 6 nước thành viên ban đầu là:,"Bỉ, Pháp, Ý, Luc-xăm-bua, Hà Lan và Đức.","Bỉ, Pháp, Anh, Luc-xăm-bua, Hà Lan và Đức.","Bỉ, Anh, Na Uy, Đan Mạch, Áo và Tây Đức.","Bun-ga-ri, Pháp, Ý, Luc-xăm-bua, Ba Lan và Tây Đức, Áo.",A,geography
Nguyên nhân chủ yếu tạo nên sự tương phản về trình độ phát triển kinh tế - xã hội giữa nhóm nước phát triển với đang phát triển là,Thành phần chủng tộc và tôn giáo.,Quy mô dân số và cơ cấu dân số.,Trình độ khoa học – kĩ thuật.,Điều kiện tự nhiên và tài nguyên thiên nhiên.,C,geography
Ý nào sau đây không phải là biểu hiện về trình độ phát triển ktế - xã hội của các nước phát triển?,Ý nào sau đây không phải là biểu hiện về trình độ phát triển ktế - xã hội của các nước phát triển?,Dân số đông và tăng nhanh,GDP bình quân đầu người cao,Chỉ số phát triển ccon người ở mức cao,B,geography
Biểu hiện về trình độ phát triển kinh tế - xã hội của các nước đang phát triển không bao gồm,Nợ nước ngoài nhiều,GDP bình quân đầu người thấp,Tỉ lệ gia tăng dân số tự nhiên cao,Chỉ số phát triển con người ở mức thấp,C,geography
Nước nào dưới đây thuộc các nước công nghiệp mới (NICs)?,"Hoa Kì, Nhật Bản, Pháp","Pháp, Bô-li-vi-a, Việt Nam","Ni-giê-ri-a, Xu-đăng, Công-gô","Hàn Quốc, Bra-xin, Ác-hen-ti-na",D,geography
Điểm khác biệt trong cơ cấu GDP phân theo khu vực kinh tế của nhóm nước phát triển so với nhóm nước đang phát triển là:,Tỉ trọng khu vực III rất cao,Tỉ trọng khu vực II rất thấp,Tỉ trọng khu vực I còn cao,Cân đối về tỉ trọng giữa các khu vực,A,geography
Điểm khác biệt trong cơ cấu GDP phân theo khu vực kinh tế của nhóm nước đang phát triển so với nhóm nước phát triển là,Khu vực I có tỉ trọng rất thấp,Khu vực III có tỉ trọng rất cao,Khu vực I có tỉ trọng còn cao,Khu vực II có tỉ trọng rất cao,C,geography
"Châu Á có nhiều dầu mỏ, khí đốt tập trung chủ yếu ở khu vực nào?",Đông Nam Á,Tây Nam Á,Trung Á,Nam Á,B,geography
Châu Á có diện tích phần đất liền rộng khoảng:,40 triệu $km^2$.,"41,5 triệu $km^2$.","42,5 triệu $km^2$.","43,5 triệu $km^2$.",B,geography
Châu Á không tiếp giáp với đại dương nào?,Bắc Băng Dương.,Đại Tây Dương.,Thái Bình Dương.,Ấn Độ Dương.,B,geography
Châu Á có diện tích rộng,nhất thế giới.,thứ hai thế giới.,thứ ba thế giới.,thứ tư thế giới.,A,geography
Sông Trường Giang chảy trên đồng bằng nào?,Hoa Bắc,Ấn Hằng,Hoa Trung,Lưỡng Hà,C,geography
Châu Á có bao nhiêu đới khí hậu?,4,5,6,7,B,geography
Nhận xét nào chưa đúng về khí hậu châu Á,Khí hậu châu Á phân hóa thành nhiều đới khác nhau,Các đới khí hậu châu Á phân thành nhiêu kiểu khí hậu khác nhau,Khí hậu châu Á phổ biến là các kiểu khí hậu gió mùa và các kiểu khí hậu lục địa.,Khí hậu châu Á phổ biết là đới khí hậu cực và cận cực.,D,geography
"Châu Á có nhiều đới khí hậu khác nhau, trong mỗi đới lại có sự phân thành các kiểu khí hậu do",Do lãnh thổ trải dải từ vùng cực bắc đến vùng Xích đạo,Do lãnh thổ rất rộng.,Do ảnh hưởng của các dãy núi.,Tất cả các ý trên.,D,geography
Các con sông lớn ở Bắc Á và Đông Á thường bắt nguồn từ,vùng núi Tây Nam Á.,Vùng núi Bắc Á.,vùng núi trung tâm Châu Á.,Vùng núi Đông Nam Á.,B,geography
Cho biết các sông nào sau đây không thuộc khu vực Bắc Á?,"Sông Ê-ni-xây, sông Lê-na","Sông Mê Công, sông Hoàng Hà.",Sông Ô-bi.,Tất cả đều sai.,B,geography
Các sông ở Bắc Á có đặc điểm:,Mạng lưới sông dày đặc.,Chảy theo hướng từ nam lên bắc.,Sông đóng băng vào mùa đông.,Tất cả đều đúng.,D,geography
Giá trị kinh tế các sông của Bắc Á chủ yếu là:,Cung cấp nước cho sản xuất.,Nuôi trồng thủy sản.,Giao thông và thủy điện.,Tất cả đều đúng.,C,geography
Tỉ lệ gia tăng dân số châu Á đang có xu hướng:,giảm.,ngang với mức trung bình thế giới.,Tất cả đều đúng.,Tất cả đều sai.,C,geography
Chủng Môn-gô-lô-it chủ yếu phân bố ở:,"Đông Nam Á, Trung Á, Nam Á.","Tây Nam Á, Trung Á, Nam Á.","Bắc Á, Đông Á, Đông Nam Á","Đông Nam Á, Tây Nam Á, Nam Á.",D,geography
Chủng tộc Ơ-rô-pê-ô-it phân bố chủ yếu ở khu vực:,Tây Nam Á,Nam Á.,Trung Á.,Tất cả đều đúng.,D,geography
Các vùng ven Địa Trung Hải và trung tâm Ấn Độ có mật độ dân số:,Dưới 1 $người/km^2$.,Từ 1 đến 50 $người/km^2$.,Từ 50 đến 100 $người/km^2$.,Trên 100 $người/km^2$.,C,geography
Khu vực có mật độ dân số trên 100 $người/km^2$ thường là những nơi:,Dọc theo ven biển.,Có đồng bằng màu mỡ.,Giao thông thuận tiện.,Tất cả đều đúng.,D,geography
"Thời Cổ đại và Trung đại, các mặt hàng xuất khẩu tiêu biểu nhất của Trung Quốc là:","Vải, bông, đồ gốm","Đồ sứ, tơ lụa","Gia vị, hương liệu","Thảm len, đồ trang sức, vàng bạc",D,geography
Công cuộc đổi mới kinh tế - xã hội của nước ta được triển khai từ năm nào?,1985,1986,1987,1988,B,geography
Nước nào sau đây không có chung biên giới trên đất liền với Việt Nam?,Trung Quốc.,Lào.,Cam-pu-chia.,Thái Lan.,D,geography
Lãnh thổ Việt Nam gồm bộ phận:,Phần đất liền,Các đảo và vùng biển,Vùng trời,"Cả 3 ý A,B,C.",D,geography
"Để làm giàu thêm vốn hiểu biết về địa lí ngoài việc đọc kĩ, hiểu và làm tốt bài tập trong sách giáo khoa, các em cần phải:",Sinh hoạt tập thể ngoài trời.,Khảo sát thực tế.,"Tham quan, du lịch.",Tất cả đều đúng.,D,geography
Điểm cực Bắc phần đất liền của nước ta (23023’B) thuộc tỉnh thành nào:,Điện Biên,Hà Giang,Khánh Hòa,Cà Mau,B,geography
Điểm cực Nam phần đất liền của nước ta (8034’B) thuộc tỉnh thành nào:,Kiên Giang,Bến Tre,Điện Biên,Cà Mau,D,geography
Đặc điểm nào của vị trí của Việt Nam về mặt tự nhiên làm cho khí hậu Việt Nam mang tính chất nhiệt đới:,Nằm trong vùng nội chí tuyến.,"Vị trí cầu nối giữa đất liền và biển, giữa các nước Đông Nam Á đất liền và Đông Nam Á hải đảo",Vị trí gần trung tâm khu vực Đông Nam Á.,Vị trí tiếp xúc của các luồng gió mùa và các luồng sinh vật.,C,geography
Các nước Đông Nam Á có phần biển chung với Việt Nam là :,"Trung Quôc, Phi-lip-pin, Lào, Cam-pu-chia, Ma-lai-xi-a, Bru-nây, In-đô-nê-xi-a, Thái Lan.","Bru-nây, In-đô-nê-xi-a, Xin-ga-po, Ma-lai-xi-a, Thái Lan, Mi-an-ma, Cam-pu-chia, Trung Quốc.","Campuchia, Thái Lan, Ma-lai-xi-a, Xi-ga-po, In-đô-nê-xi-a, Bru-nây, Phi-lip-pi. Trung Quốc","Mi-an-ma, Cam-pu-chia, Ma-lai-xi-a, Bru-nây, In-đô-nê-xi-a, Thái Lan.",C,geography
Vùng biển của Việt Nam là một phần của biển,Biển Hoa Đông,Biển Đông,Biển Xu-Lu,Biển Gia-va,B,geography
Vùng biển của Việt Nam thông qua hai đại dương lớn nào,Thái Bình Dương và Bắc Băng Dương,Thái Bình Dương và Ấn Độ Dương,Ấn Độ Dương và Đại Tây Dương,Đại Tây Dương và Thái Bình Dương,B,geography
Chế độ gió trên biển Đông,Quanh năm chung 1 chế độ gió.,Mùa đông gió có hướng đông bắc; mùa hạ có hướng tây nam khu vực vịnh Bắc Bộ có hướng nam.,Mùa đông gió có hướng tây nam; mùa hạ có hướng đông bắc khu vực vịnh Bắc Bộ có hướng nam.,Mùa đông gió có hướng tây nam; mùa hạ có hướng nam.,B,geography
Lịch sử phát triển của tự nhiên Việt Nam chia làm bao nhiêu giai đoạn:,2,3,4,5,B,geography
Các mảng nền cổ giai đoạn Tiền Cambri ở lãnh thổ nước ta là :,"Vòm sông Chảy, Hoàng Liên Sơn, Bạch Mã, khối nhô Kon Tum.","Vòm sông Chảy, Hoàng Liên Sơn, cánh cung Bắc Trường Sơn, khôi nhô Kon Tum.","Vòm sông Chảy, Hoàng Liên Sơn, cánh cung núi sông Mã, khôi nhô Kon Tum.","Vòm sông Chảy, Bạch Mã, cánh cung Bắc Trường Sơn",C,geography
Giai đoạn Tiền Cambri nước ta có những mảng nền nào?,"Việt Bắc, Hoàng Liên Sơn.","Sông Mã, Pu Hoạt.",Kon Tum.,Tất cả đều đúng.,D,geography
Giai đoạn nào giới sinh vật phát triển mạnh mẽ và cũng là thời kì cực thịnh của bò sát khủng long và cây hạt trần?,Giai đoạn Tiền Cambri,Giai đoạn Cổ kiến tạo,Giai đoạn Tân kiến tạo,Giai đoạn Trung sinh,B,geography
"Đến nay, số lượng khoáng sản mà ngành địa chất đã thăm dò, phát hiện được ở Việt Nam là",80 loại,60 loại,50 loại,40 loại,B,geography
Khoáng sản được hình thành trong những điều kiện địa chất và cổ địa lí rất lâu dài và tồn tại dưới dạng:,Rắn,Lỏng,Khí,Tất cả đều đúng,D,geography
